trial_id,reward,timestamp,checkpoint_dir_name,done,training_iteration,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,experiment_tag,config/exp_name,config/seed,config/torch_deterministic,config/cuda,config/track,config/wandb_project_name,config/wandb_entity,config/capture_video,config/env_id,config/total_timesteps,config/num_updates,config/buffer_size,config/update_epochs,config/update_policy_epochs,config/num_rollouts,config/num_envs,config/gamma,config/policy_lr_start,config/policy_lr_end,config/q_lr_start,config/q_lr_end,config/alpha,config/eta,config/autotune,config/target_entropy_scale,config/use_linear_schedule,config/saddle_point_optimization,config/kl_loss,config/__trial_index__
8a163166,29.0,1711617695,,True,30,2024-03-28_10-21-35,9.954810857772827,283.1454002857208,55617,Nicolass-Air.technicolor.net,127.0.0.1,283.1454002857208,30,"11_trial_index=0,alpha=3.0107,autotune=False,buffer_size=10000,capture_video=False,cuda=True,env_id=CartPole-v1,eta=None,exp_name=QREPS,gamma=0.9900,kl_loss=False,num_envs=4,num_rollouts=5,num_updates=30,policy_lr_end=0.0010,policy_lr_start=0.0185,q_lr_end=0.0010,q_lr_start=0.0485,saddle_point_optimization=False,seed=1,target_entropy_scale=0.1000,torch_deterministic=True,total_timesteps=200,track=False,update_epochs=100,update_policy_epochs=450,use_linear_schedule=True,wandb_entity=TFG,wandb_project_name=QREPS_CartPole-v1",QREPS,1,True,True,False,QREPS_CartPole-v1,TFG,False,CartPole-v1,200,30,10000,100,450,5,4,0.99,0.018512065806307012,0.001,0.04848433672754222,0.001,3.0106739946988053,,False,0.1,True,False,False,0
905fa67c,12.0,1711617611,,True,30,2024-03-28_10-20-11,4.557408094406128,148.9648220539093,55605,Nicolass-Air.technicolor.net,127.0.0.1,148.9648220539093,30,"12_trial_index=1,alpha=3.0107,autotune=False,buffer_size=10000,capture_video=False,cuda=True,env_id=CartPole-v1,eta=None,exp_name=QREPS,gamma=0.9900,kl_loss=False,num_envs=4,num_rollouts=5,num_updates=30,policy_lr_end=0.0010,policy_lr_start=0.0185,q_lr_end=0.0010,q_lr_start=0.0485,saddle_point_optimization=False,seed=1,target_entropy_scale=0.1000,torch_deterministic=True,total_timesteps=200,track=False,update_epochs=100,update_policy_epochs=450,use_linear_schedule=True,wandb_entity=TFG,wandb_project_name=QREPS_CartPole-v1",QREPS,1,True,True,False,QREPS_CartPole-v1,TFG,False,CartPole-v1,200,30,10000,100,450,5,4,0.99,0.018512065806307012,0.001,0.04848433672754222,0.001,3.0106739946988053,,False,0.1,True,False,False,1
5dfee884,9.0,1711617686,,True,30,2024-03-28_10-21-26,5.6482508182525635,193.75409507751465,55590,Nicolass-Air.technicolor.net,127.0.0.1,193.75409507751465,30,"13_trial_index=0,alpha=0.8822,autotune=False,buffer_size=10000,capture_video=False,cuda=True,env_id=CartPole-v1,eta=None,exp_name=QREPS,gamma=0.9900,kl_loss=False,num_envs=4,num_rollouts=5,num_updates=30,policy_lr_end=0.0010,policy_lr_start=0.0088,q_lr_end=0.0010,q_lr_start=0.0090,saddle_point_optimization=False,seed=1,target_entropy_scale=0.1000,torch_deterministic=True,total_timesteps=200,track=False,update_epochs=300,update_policy_epochs=450,use_linear_schedule=True,wandb_entity=TFG,wandb_project_name=QREPS_CartPole-v1",QREPS,1,True,True,False,QREPS_CartPole-v1,TFG,False,CartPole-v1,200,30,10000,300,450,5,4,0.99,0.008781205560775681,0.001,0.009040072822680219,0.001,0.8822439679561648,,False,0.1,True,False,False,0
8bef38ab,13.0,1711617742,,True,30,2024-03-28_10-22-22,7.654831886291504,237.83978414535522,55610,Nicolass-Air.technicolor.net,127.0.0.1,237.83978414535522,30,"14_trial_index=1,alpha=0.8822,autotune=False,buffer_size=10000,capture_video=False,cuda=True,env_id=CartPole-v1,eta=None,exp_name=QREPS,gamma=0.9900,kl_loss=False,num_envs=4,num_rollouts=5,num_updates=30,policy_lr_end=0.0010,policy_lr_start=0.0088,q_lr_end=0.0010,q_lr_start=0.0090,saddle_point_optimization=False,seed=1,target_entropy_scale=0.1000,torch_deterministic=True,total_timesteps=200,track=False,update_epochs=300,update_policy_epochs=450,use_linear_schedule=True,wandb_entity=TFG,wandb_project_name=QREPS_CartPole-v1",QREPS,1,True,True,False,QREPS_CartPole-v1,TFG,False,CartPole-v1,200,30,10000,300,450,5,4,0.99,0.008781205560775681,0.001,0.009040072822680219,0.001,0.8822439679561648,,False,0.1,True,False,False,1
1dea825b,9.0,1711617636,,True,30,2024-03-28_10-20-36,3.883599042892456,118.28000593185425,55571,Nicolass-Air.technicolor.net,127.0.0.1,118.28000593185425,30,"15_trial_index=0,alpha=2.0279,autotune=False,buffer_size=10000,capture_video=False,cuda=True,env_id=CartPole-v1,eta=None,exp_name=QREPS,gamma=0.9900,kl_loss=False,num_envs=4,num_rollouts=5,num_updates=30,policy_lr_end=0.0010,policy_lr_start=0.2399,q_lr_end=0.0010,q_lr_start=0.3486,saddle_point_optimization=False,seed=1,target_entropy_scale=0.1000,torch_deterministic=True,total_timesteps=200,track=False,update_epochs=100,update_policy_epochs=500,use_linear_schedule=True,wandb_entity=TFG,wandb_project_name=QREPS_CartPole-v1",QREPS,1,True,True,False,QREPS_CartPole-v1,TFG,False,CartPole-v1,200,30,10000,100,500,5,4,0.99,0.23991834104119242,0.001,0.3486485542092562,0.001,2.0279010564431044,,False,0.1,True,False,False,0
80b3c4ee,9.0,1711617645,,True,30,2024-03-28_10-20-45,3.6305367946624756,116.63413190841675,55595,Nicolass-Air.technicolor.net,127.0.0.1,116.63413190841675,30,"16_trial_index=1,alpha=2.0279,autotune=False,buffer_size=10000,capture_video=False,cuda=True,env_id=CartPole-v1,eta=None,exp_name=QREPS,gamma=0.9900,kl_loss=False,num_envs=4,num_rollouts=5,num_updates=30,policy_lr_end=0.0010,policy_lr_start=0.2399,q_lr_end=0.0010,q_lr_start=0.3486,saddle_point_optimization=False,seed=1,target_entropy_scale=0.1000,torch_deterministic=True,total_timesteps=200,track=False,update_epochs=100,update_policy_epochs=500,use_linear_schedule=True,wandb_entity=TFG,wandb_project_name=QREPS_CartPole-v1",QREPS,1,True,True,False,QREPS_CartPole-v1,TFG,False,CartPole-v1,200,30,10000,100,500,5,4,0.99,0.23991834104119242,0.001,0.3486485542092562,0.001,2.0279010564431044,,False,0.1,True,False,False,1
a0565930,8.0,1711617695,,True,30,2024-03-28_10-21-35,2.888368844985962,97.0256757736206,55581,Nicolass-Air.technicolor.net,127.0.0.1,97.0256757736206,30,"17_trial_index=0,alpha=0.9271,autotune=False,buffer_size=10000,capture_video=False,cuda=True,env_id=CartPole-v1,eta=None,exp_name=QREPS,gamma=0.9900,kl_loss=False,num_envs=4,num_rollouts=5,num_updates=30,policy_lr_end=0.0010,policy_lr_start=0.1638,q_lr_end=0.0010,q_lr_start=0.0306,saddle_point_optimization=False,seed=1,target_entropy_scale=0.1000,torch_deterministic=True,total_timesteps=200,track=False,update_epochs=100,update_policy_epochs=450,use_linear_schedule=True,wandb_entity=TFG,wandb_project_name=QREPS_CartPole-v1",QREPS,1,True,True,False,QREPS_CartPole-v1,TFG,False,CartPole-v1,200,30,10000,100,450,5,4,0.99,0.16376204858661086,0.001,0.03059398121534041,0.001,0.9271043527602073,,False,0.1,True,False,False,0
d735d49b,27.0,1711617836,,True,30,2024-03-28_10-23-56,6.714632034301758,224.82315254211426,55605,Nicolass-Air.technicolor.net,127.0.0.1,224.82315254211426,30,"18_trial_index=1,alpha=0.9271,autotune=False,buffer_size=10000,capture_video=False,cuda=True,env_id=CartPole-v1,eta=None,exp_name=QREPS,gamma=0.9900,kl_loss=False,num_envs=4,num_rollouts=5,num_updates=30,policy_lr_end=0.0010,policy_lr_start=0.1638,q_lr_end=0.0010,q_lr_start=0.0306,saddle_point_optimization=False,seed=1,target_entropy_scale=0.1000,torch_deterministic=True,total_timesteps=200,track=False,update_epochs=100,update_policy_epochs=450,use_linear_schedule=True,wandb_entity=TFG,wandb_project_name=QREPS_CartPole-v1",QREPS,1,True,True,False,QREPS_CartPole-v1,TFG,False,CartPole-v1,200,30,10000,100,450,5,4,0.99,0.16376204858661086,0.001,0.03059398121534041,0.001,0.9271043527602073,,False,0.1,True,False,False,1
6ecdea7e,0.0,1711617744,,True,12,2024-03-28_10-22-24,4.522013902664185,108.47656512260437,55571,Nicolass-Air.technicolor.net,127.0.0.1,108.47656512260437,12,"19_trial_index=0,alpha=2.1461,autotune=False,buffer_size=10000,capture_video=False,cuda=True,env_id=CartPole-v1,eta=None,exp_name=QREPS,gamma=0.9900,kl_loss=False,num_envs=4,num_rollouts=5,num_updates=30,policy_lr_end=0.0010,policy_lr_start=0.0060,q_lr_end=0.0010,q_lr_start=0.0836,saddle_point_optimization=False,seed=1,target_entropy_scale=0.1000,torch_deterministic=True,total_timesteps=200,track=False,update_epochs=300,update_policy_epochs=500,use_linear_schedule=True,wandb_entity=TFG,wandb_project_name=QREPS_CartPole-v1",QREPS,1,True,True,False,QREPS_CartPole-v1,TFG,False,CartPole-v1,200,30,10000,300,500,5,4,0.99,0.005981672776562887,0.001,0.08355092101114,0.001,2.146135554671428,,False,0.1,True,False,False,0
902f3a73,12.8,1711617874,,True,30,2024-03-28_10-24-34,9.637237071990967,229.50983381271362,55595,Nicolass-Air.technicolor.net,127.0.0.1,229.50983381271362,30,"20_trial_index=1,alpha=2.1461,autotune=False,buffer_size=10000,capture_video=False,cuda=True,env_id=CartPole-v1,eta=None,exp_name=QREPS,gamma=0.9900,kl_loss=False,num_envs=4,num_rollouts=5,num_updates=30,policy_lr_end=0.0010,policy_lr_start=0.0060,q_lr_end=0.0010,q_lr_start=0.0836,saddle_point_optimization=False,seed=1,target_entropy_scale=0.1000,torch_deterministic=True,total_timesteps=200,track=False,update_epochs=300,update_policy_epochs=500,use_linear_schedule=True,wandb_entity=TFG,wandb_project_name=QREPS_CartPole-v1",QREPS,1,True,True,False,QREPS_CartPole-v1,TFG,False,CartPole-v1,200,30,10000,300,500,5,4,0.99,0.005981672776562887,0.001,0.08355092101114,0.001,2.146135554671428,,False,0.1,True,False,False,1
