trial_id,reward,timestamp,checkpoint_dir_name,done,training_iteration,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,experiment_tag,config/exp_name,config/seed,config/torch_deterministic,config/cuda,config/track,config/wandb_project_name,config/wandb_entity,config/capture_video,config/env_id,config/total_timesteps,config/num_steps,config/num_updates,config/buffer_size,config/update_epochs,config/update_policy_epochs,config/num_rollouts,config/num_envs,config/gamma,config/policy_lr,config/q_lr,config/policy_lr_end,config/q_lr_end,config/alpha,config/eta,config/beta,config/use_linear_schedule,config/saddle_point_optimization,config/use_kl_loss,config/policy_activation,config/num_hidden_layers,config/hidden_size,config/q_activation,config/q_hidden_size,config/q_num_hidden_layers,config/__trial_index__
2f4f35f4,20.16666603088379,1713279602,,True,130,2024-04-16_17-00-02,1.5483081340789795,363.35492181777954,10025,Nicolass-Air.technicolor.net,127.0.0.1,363.35492181777954,130,"11_trial_index=0,alpha=6,beta=0.0003,buffer_size=10000,capture_video=False,cuda=True,env_id=CartPole-v1,eta=None,exp_name=QREPS,gamma=0.9900,hidden_size=128,num_envs=1,num_hidden_layers=2,num_rollouts=6,num_steps=128,num_updates=50,policy_activation=ReLU,policy_lr=0.0100,policy_lr_end=0.0001,q_activation=Tanh,q_hidden_size=128,q_lr=0.0025,q_lr_end=0.0001,q_num_hidden_layers=8,saddle_point_optimization=True,seed=1,torch_deterministic=True,total_timesteps=100000,track=False,update_epochs=150,update_policy_epochs=150,use_kl_loss=False,use_linear_schedule=False,wandb_entity=TFG,wandb_project_name=QREPS_CartPole-v1",QREPS,1,True,True,False,QREPS_CartPole-v1,TFG,False,CartPole-v1,100000,128,50,10000,150,150,6,1,0.99,0.01,0.0025,0.0001,0.0001,6,,0.00025,False,True,False,ReLU,2,128,Tanh,128,8,0
f163909a,9.25,1713279362,,True,195,2024-04-16_16-56-02,0.4908928871154785,114.01637744903564,10040,Nicolass-Air.technicolor.net,127.0.0.1,114.01637744903564,195,"12_trial_index=0,alpha=8,beta=0.0000,buffer_size=10000,capture_video=False,cuda=True,env_id=CartPole-v1,eta=None,exp_name=QREPS,gamma=0.9900,hidden_size=128,num_envs=1,num_hidden_layers=1,num_rollouts=4,num_steps=128,num_updates=50,policy_activation=ReLU,policy_lr=0.0005,policy_lr_end=0.0000,q_activation=Tanh,q_hidden_size=256,q_lr=0.0005,q_lr_end=0.0005,q_num_hidden_layers=8,saddle_point_optimization=True,seed=1,torch_deterministic=True,total_timesteps=100000,track=False,update_epochs=15,update_policy_epochs=150,use_kl_loss=False,use_linear_schedule=True,wandb_entity=TFG,wandb_project_name=QREPS_CartPole-v1",QREPS,1,True,True,False,QREPS_CartPole-v1,TFG,False,CartPole-v1,100000,128,50,10000,15,150,4,1,0.99,0.0005,0.0005,5e-06,0.0005,8,,5e-06,True,True,False,ReLU,1,128,Tanh,256,8,0
1a521543,63.125,1713279387,,True,97,2024-04-16_16-56-27,1.443389892578125,129.5544352531433,10049,Nicolass-Air.technicolor.net,127.0.0.1,129.5544352531433,97,"13_trial_index=0,alpha=10,beta=0.0003,buffer_size=10000,capture_video=False,cuda=True,env_id=CartPole-v1,eta=None,exp_name=QREPS,gamma=0.9900,hidden_size=256,num_envs=1,num_hidden_layers=3,num_rollouts=8,num_steps=128,num_updates=50,policy_activation=Tanh,policy_lr=0.0005,policy_lr_end=0.0005,q_activation=Tanh,q_hidden_size=64,q_lr=0.0025,q_lr_end=0.0000,q_num_hidden_layers=2,saddle_point_optimization=True,seed=1,torch_deterministic=True,total_timesteps=100000,track=False,update_epochs=15,update_policy_epochs=50,use_kl_loss=False,use_linear_schedule=True,wandb_entity=TFG,wandb_project_name=QREPS_CartPole-v1",QREPS,1,True,True,False,QREPS_CartPole-v1,TFG,False,CartPole-v1,100000,128,50,10000,15,50,8,1,0.99,0.0005,0.0025,0.0005,5e-06,10,,0.00025,True,True,False,Tanh,3,256,Tanh,64,2,0
a5f3c1f3,9.5,1713279303,,True,195,2024-04-16_16-55-03,0.14564800262451172,34.30935192108154,10061,Nicolass-Air.technicolor.net,127.0.0.1,34.30935192108154,195,"14_trial_index=0,alpha=8,beta=0.0000,buffer_size=10000,capture_video=False,cuda=True,env_id=CartPole-v1,eta=None,exp_name=QREPS,gamma=0.9900,hidden_size=256,num_envs=1,num_hidden_layers=1,num_rollouts=4,num_steps=128,num_updates=50,policy_activation=ReLU,policy_lr=0.0100,policy_lr_end=0.0001,q_activation=ReLU,q_hidden_size=128,q_lr=0.0025,q_lr_end=0.0001,q_num_hidden_layers=2,saddle_point_optimization=True,seed=1,torch_deterministic=True,total_timesteps=100000,track=False,update_epochs=15,update_policy_epochs=50,use_kl_loss=False,use_linear_schedule=True,wandb_entity=TFG,wandb_project_name=QREPS_CartPole-v1",QREPS,1,True,True,False,QREPS_CartPole-v1,TFG,False,CartPole-v1,100000,128,50,10000,15,50,4,1,0.99,0.01,0.0025,0.0001,0.0001,8,,5e-06,True,True,False,ReLU,1,256,ReLU,128,2,0
01b019e0,9.25,1713279423,,True,48,2024-04-16_16-57-03,2.6295292377471924,110.76923418045044,10128,Nicolass-Air.technicolor.net,127.0.0.1,110.76923418045044,48,"15_trial_index=0,alpha=6,beta=0.0003,buffer_size=10000,capture_video=False,cuda=True,env_id=CartPole-v1,eta=None,exp_name=QREPS,gamma=0.9900,hidden_size=256,num_envs=1,num_hidden_layers=2,num_rollouts=4,num_steps=512,num_updates=50,policy_activation=Tanh,policy_lr=0.0005,policy_lr_end=0.0001,q_activation=Tanh,q_hidden_size=256,q_lr=0.0005,q_lr_end=0.0001,q_num_hidden_layers=4,saddle_point_optimization=True,seed=1,torch_deterministic=True,total_timesteps=100000,track=False,update_epochs=150,update_policy_epochs=300,use_kl_loss=False,use_linear_schedule=True,wandb_entity=TFG,wandb_project_name=QREPS_CartPole-v1",QREPS,1,True,True,False,QREPS_CartPole-v1,TFG,False,CartPole-v1,100000,512,50,10000,150,300,4,1,0.99,0.0005,0.0005,0.0001,0.0001,6,,0.00025,True,True,False,Tanh,2,256,Tanh,256,4,0
1da1c6bb,37.83333206176758,1713279336,,True,32,2024-04-16_16-55-36,0.5666837692260742,14.380483627319336,10143,Nicolass-Air.technicolor.net,127.0.0.1,14.380483627319336,32,"16_trial_index=0,alpha=10,beta=0.0003,buffer_size=10000,capture_video=False,cuda=True,env_id=CartPole-v1,eta=None,exp_name=QREPS,gamma=0.9900,hidden_size=128,num_envs=1,num_hidden_layers=1,num_rollouts=6,num_steps=512,num_updates=50,policy_activation=ReLU,policy_lr=0.0025,policy_lr_end=0.0005,q_activation=ReLU,q_hidden_size=128,q_lr=0.0025,q_lr_end=0.0000,q_num_hidden_layers=2,saddle_point_optimization=True,seed=1,torch_deterministic=True,total_timesteps=100000,track=False,update_epochs=15,update_policy_epochs=150,use_kl_loss=False,use_linear_schedule=True,wandb_entity=TFG,wandb_project_name=QREPS_CartPole-v1",QREPS,1,True,True,False,QREPS_CartPole-v1,TFG,False,CartPole-v1,100000,512,50,10000,15,150,6,1,0.99,0.0025,0.0025,0.0005,5e-06,10,,0.00025,True,True,False,ReLU,1,128,ReLU,128,2,0
c30b3c6b,17.5,1713279523,,True,97,2024-04-16_16-58-43,2.160351037979126,191.995014667511,10156,Nicolass-Air.technicolor.net,127.0.0.1,191.995014667511,97,"17_trial_index=0,alpha=6,beta=0.0020,buffer_size=10000,capture_video=False,cuda=True,env_id=CartPole-v1,eta=None,exp_name=QREPS,gamma=0.9900,hidden_size=64,num_envs=1,num_hidden_layers=3,num_rollouts=8,num_steps=128,num_updates=50,policy_activation=Tanh,policy_lr=0.0025,policy_lr_end=0.0001,q_activation=Tanh,q_hidden_size=64,q_lr=0.0025,q_lr_end=0.0005,q_num_hidden_layers=4,saddle_point_optimization=True,seed=1,torch_deterministic=True,total_timesteps=100000,track=False,update_epochs=150,update_policy_epochs=150,use_kl_loss=True,use_linear_schedule=False,wandb_entity=TFG,wandb_project_name=QREPS_CartPole-v1",QREPS,1,True,True,False,QREPS_CartPole-v1,TFG,False,CartPole-v1,100000,128,50,10000,150,150,8,1,0.99,0.0025,0.0025,0.0001,0.0005,6,,0.002,False,True,True,Tanh,3,64,Tanh,64,4,0
30b8b2e0,22.375,1713279394,,True,24,2024-04-16_16-56-34,2.092636823654175,51.93649244308472,10169,Nicolass-Air.technicolor.net,127.0.0.1,51.93649244308472,24,"18_trial_index=0,alpha=6,beta=0.0000,buffer_size=10000,capture_video=False,cuda=True,env_id=CartPole-v1,eta=None,exp_name=QREPS,gamma=0.9900,hidden_size=64,num_envs=1,num_hidden_layers=3,num_rollouts=8,num_steps=512,num_updates=50,policy_activation=Tanh,policy_lr=0.0005,policy_lr_end=0.0005,q_activation=Tanh,q_hidden_size=64,q_lr=0.0025,q_lr_end=0.0005,q_num_hidden_layers=4,saddle_point_optimization=True,seed=1,torch_deterministic=True,total_timesteps=100000,track=False,update_epochs=150,update_policy_epochs=150,use_kl_loss=False,use_linear_schedule=True,wandb_entity=TFG,wandb_project_name=QREPS_CartPole-v1",QREPS,1,True,True,False,QREPS_CartPole-v1,TFG,False,CartPole-v1,100000,512,50,10000,150,150,8,1,0.99,0.0005,0.0025,0.0005,0.0005,6,,5e-06,True,True,False,Tanh,3,64,Tanh,64,4,0
f141d055,9.5,1713279379,,True,32,2024-04-16_16-56-19,0.801563024520874,26.524636030197144,10181,Nicolass-Air.technicolor.net,127.0.0.1,26.524636030197144,32,"19_trial_index=0,alpha=6,beta=0.0000,buffer_size=10000,capture_video=False,cuda=True,env_id=CartPole-v1,eta=None,exp_name=QREPS,gamma=0.9900,hidden_size=64,num_envs=1,num_hidden_layers=1,num_rollouts=6,num_steps=512,num_updates=50,policy_activation=ReLU,policy_lr=0.0005,policy_lr_end=0.0005,q_activation=Tanh,q_hidden_size=64,q_lr=0.0025,q_lr_end=0.0000,q_num_hidden_layers=2,saddle_point_optimization=True,seed=1,torch_deterministic=True,total_timesteps=100000,track=False,update_epochs=150,update_policy_epochs=150,use_kl_loss=False,use_linear_schedule=True,wandb_entity=TFG,wandb_project_name=QREPS_CartPole-v1",QREPS,1,True,True,False,QREPS_CartPole-v1,TFG,False,CartPole-v1,100000,512,50,10000,150,150,6,1,0.99,0.0005,0.0025,0.0005,5e-06,6,,5e-06,True,True,False,ReLU,1,64,Tanh,64,2,0
2e881329,11.833333015441895,1713279401,,True,32,2024-04-16_16-56-41,0.8181941509246826,27.225388288497925,10202,Nicolass-Air.technicolor.net,127.0.0.1,27.225388288497925,32,"20_trial_index=0,alpha=6,beta=0.0003,buffer_size=10000,capture_video=False,cuda=True,env_id=CartPole-v1,eta=None,exp_name=QREPS,gamma=0.9900,hidden_size=64,num_envs=1,num_hidden_layers=3,num_rollouts=6,num_steps=512,num_updates=50,policy_activation=ReLU,policy_lr=0.0025,policy_lr_end=0.0005,q_activation=ReLU,q_hidden_size=64,q_lr=0.0025,q_lr_end=0.0000,q_num_hidden_layers=2,saddle_point_optimization=True,seed=1,torch_deterministic=True,total_timesteps=100000,track=False,update_epochs=150,update_policy_epochs=150,use_kl_loss=False,use_linear_schedule=True,wandb_entity=TFG,wandb_project_name=QREPS_CartPole-v1",QREPS,1,True,True,False,QREPS_CartPole-v1,TFG,False,CartPole-v1,100000,512,50,10000,150,150,6,1,0.99,0.0025,0.0025,0.0005,5e-06,6,,0.00025,True,True,False,ReLU,3,64,ReLU,64,2,0
