trial_id,reward,timestamp,checkpoint_dir_name,done,training_iteration,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,experiment_tag,config/exp_name,config/seed,config/torch_deterministic,config/cuda,config/track,config/wandb_project_name,config/wandb_entity,config/capture_video,config/env_id,config/total_timesteps,config/num_steps,config/num_updates,config/buffer_size,config/update_epochs,config/update_policy_epochs,config/num_rollouts,config/num_envs,config/gamma,config/policy_lr,config/q_lr,config/policy_lr_end,config/q_lr_end,config/alpha,config/eta,config/beta,config/use_linear_schedule,config/saddle_point_optimization,config/use_kl_loss,config/__trial_index__
97a58077,-10000.0,1713256445,,True,4,2024-04-16_10-34-05,0.10239267349243164,2.786667823791504,82265,Nicolass-Air.technicolor.net,127.0.0.1,2.786667823791504,4,"1_trial_index=0,alpha=8,beta=0.0020,buffer_size=10000,capture_video=False,cuda=True,env_id=CartPole-v1,eta=None,exp_name=QREPS,gamma=0.9900,num_envs=1,num_rollouts=4,num_steps=512,num_updates=50,policy_lr=0.0100,policy_lr_end=0.0001,q_lr=0.0100,q_lr_end=0.0001,saddle_point_optimization=True,seed=1,torch_deterministic=True,total_timesteps=100000,track=False,update_epochs=150,update_policy_epochs=50,use_kl_loss=False,use_linear_schedule=False,wandb_entity=TFG,wandb_project_name=QREPS_CartPole-v1",QREPS,1,True,True,False,QREPS_CartPole-v1,TFG,False,CartPole-v1,100000,512,50,10000,150,50,4,1,0.99,0.01,0.01,0.0001,0.0001,8,,0.002,False,True,False,0
745a5087,24.66666603088379,1713256603,,True,130,2024-04-16_10-36-43,1.3151099681854248,151.4726963043213,82277,Nicolass-Air.technicolor.net,127.0.0.1,151.4726963043213,130,"2_trial_index=0,alpha=6,beta=0.0003,buffer_size=10000,capture_video=False,cuda=True,env_id=CartPole-v1,eta=None,exp_name=QREPS,gamma=0.9900,num_envs=1,num_rollouts=6,num_steps=128,num_updates=50,policy_lr=0.0025,policy_lr_end=0.0005,q_lr=0.0025,q_lr_end=0.0001,saddle_point_optimization=True,seed=1,torch_deterministic=True,total_timesteps=100000,track=False,update_epochs=15,update_policy_epochs=150,use_kl_loss=True,use_linear_schedule=True,wandb_entity=TFG,wandb_project_name=QREPS_CartPole-v1",QREPS,1,True,True,False,QREPS_CartPole-v1,TFG,False,CartPole-v1,100000,128,50,10000,15,150,6,1,0.99,0.0025,0.0025,0.0005,0.0001,6,,0.00025,True,True,True,0
551b5dc3,8.75,1713256663,,True,195,2024-04-16_10-37-43,0.8522467613220215,202.76384615898132,82302,Nicolass-Air.technicolor.net,127.0.0.1,202.76384615898132,195,"3_trial_index=0,alpha=6,beta=0.0000,buffer_size=10000,capture_video=False,cuda=True,env_id=CartPole-v1,eta=None,exp_name=QREPS,gamma=0.9900,num_envs=1,num_rollouts=4,num_steps=128,num_updates=50,policy_lr=0.0005,policy_lr_end=0.0000,q_lr=0.0005,q_lr_end=0.0000,saddle_point_optimization=True,seed=1,torch_deterministic=True,total_timesteps=100000,track=False,update_epochs=50,update_policy_epochs=150,use_kl_loss=True,use_linear_schedule=True,wandb_entity=TFG,wandb_project_name=QREPS_CartPole-v1",QREPS,1,True,True,False,QREPS_CartPole-v1,TFG,False,CartPole-v1,100000,128,50,10000,50,150,4,1,0.99,0.0005,0.0005,5e-06,5e-06,6,,5e-06,True,True,True,0
e4df417f,22.66666603088379,1713256578,,True,32,2024-04-16_10-36-18,3.712723970413208,108.19343304634094,82313,Nicolass-Air.technicolor.net,127.0.0.1,108.19343304634094,32,"4_trial_index=0,alpha=10,beta=0.0020,buffer_size=10000,capture_video=False,cuda=True,env_id=CartPole-v1,eta=None,exp_name=QREPS,gamma=0.9900,num_envs=1,num_rollouts=6,num_steps=512,num_updates=50,policy_lr=0.0025,policy_lr_end=0.0001,q_lr=0.0025,q_lr_end=0.0005,saddle_point_optimization=True,seed=1,torch_deterministic=True,total_timesteps=100000,track=False,update_epochs=50,update_policy_epochs=300,use_kl_loss=False,use_linear_schedule=False,wandb_entity=TFG,wandb_project_name=QREPS_CartPole-v1",QREPS,1,True,True,False,QREPS_CartPole-v1,TFG,False,CartPole-v1,100000,512,50,10000,50,300,6,1,0.99,0.0025,0.0025,0.0001,0.0005,10,,0.002,False,True,False,0
3bfd4b4a,37.16666793823242,1713256570,,True,32,2024-04-16_10-36-10,4.040927886962891,85.44016695022583,82336,Nicolass-Air.technicolor.net,127.0.0.1,85.44016695022583,32,"5_trial_index=0,alpha=4,beta=0.0003,buffer_size=10000,capture_video=False,cuda=True,env_id=CartPole-v1,eta=None,exp_name=QREPS,gamma=0.9900,num_envs=1,num_rollouts=6,num_steps=512,num_updates=50,policy_lr=0.0025,policy_lr_end=0.0000,q_lr=0.0100,q_lr_end=0.0000,saddle_point_optimization=True,seed=1,torch_deterministic=True,total_timesteps=100000,track=False,update_epochs=50,update_policy_epochs=150,use_kl_loss=False,use_linear_schedule=True,wandb_entity=TFG,wandb_project_name=QREPS_CartPole-v1",QREPS,1,True,True,False,QREPS_CartPole-v1,TFG,False,CartPole-v1,100000,512,50,10000,50,150,6,1,0.99,0.0025,0.01,5e-06,5e-06,4,,0.00025,True,True,False,0
b9cda892,23.25,1713256691,,True,195,2024-04-16_10-38-11,0.5481019020080566,190.7319142818451,82353,Nicolass-Air.technicolor.net,127.0.0.1,190.7319142818451,195,"6_trial_index=0,alpha=10,beta=0.0020,buffer_size=10000,capture_video=False,cuda=True,env_id=CartPole-v1,eta=None,exp_name=QREPS,gamma=0.9900,num_envs=1,num_rollouts=4,num_steps=128,num_updates=50,policy_lr=0.0005,policy_lr_end=0.0001,q_lr=0.0025,q_lr_end=0.0005,saddle_point_optimization=True,seed=1,torch_deterministic=True,total_timesteps=100000,track=False,update_epochs=50,update_policy_epochs=50,use_kl_loss=True,use_linear_schedule=False,wandb_entity=TFG,wandb_project_name=QREPS_CartPole-v1",QREPS,1,True,True,False,QREPS_CartPole-v1,TFG,False,CartPole-v1,100000,128,50,10000,50,50,4,1,0.99,0.0005,0.0025,0.0001,0.0005,10,,0.002,False,True,True,0
2d98a906,9.166666984558105,1713256801,,True,130,2024-04-16_10-40-01,1.330045223236084,282.051584482193,82372,Nicolass-Air.technicolor.net,127.0.0.1,282.051584482193,130,"7_trial_index=0,alpha=8,beta=0.1000,buffer_size=10000,capture_video=False,cuda=True,env_id=CartPole-v1,eta=None,exp_name=QREPS,gamma=0.9900,num_envs=1,num_rollouts=6,num_steps=128,num_updates=50,policy_lr=0.0025,policy_lr_end=0.0001,q_lr=0.0005,q_lr_end=0.0001,saddle_point_optimization=True,seed=1,torch_deterministic=True,total_timesteps=100000,track=False,update_epochs=150,update_policy_epochs=300,use_kl_loss=True,use_linear_schedule=False,wandb_entity=TFG,wandb_project_name=QREPS_CartPole-v1",QREPS,1,True,True,False,QREPS_CartPole-v1,TFG,False,CartPole-v1,100000,128,50,10000,150,300,6,1,0.99,0.0025,0.0005,0.0001,0.0001,8,,0.1,False,True,True,0
fc8ebf92,169.5,1713256687,,True,48,2024-04-16_10-38-07,3.233175039291382,147.19481348991394,82381,Nicolass-Air.technicolor.net,127.0.0.1,147.19481348991394,48,"8_trial_index=0,alpha=6,beta=0.0000,buffer_size=10000,capture_video=False,cuda=True,env_id=CartPole-v1,eta=None,exp_name=QREPS,gamma=0.9900,num_envs=1,num_rollouts=4,num_steps=512,num_updates=50,policy_lr=0.0100,policy_lr_end=0.0005,q_lr=0.0025,q_lr_end=0.0001,saddle_point_optimization=True,seed=1,torch_deterministic=True,total_timesteps=100000,track=False,update_epochs=15,update_policy_epochs=150,use_kl_loss=False,use_linear_schedule=True,wandb_entity=TFG,wandb_project_name=QREPS_CartPole-v1",QREPS,1,True,True,False,QREPS_CartPole-v1,TFG,False,CartPole-v1,100000,512,50,10000,15,150,4,1,0.99,0.01,0.0025,0.0005,0.0001,6,,5e-06,True,True,False,0
0511c70e,16.5,1713256693,,True,48,2024-04-16_10-38-13,1.0198707580566406,126.673184633255,82402,Nicolass-Air.technicolor.net,127.0.0.1,126.673184633255,48,"9_trial_index=0,alpha=4,beta=0.0020,buffer_size=10000,capture_video=False,cuda=True,env_id=CartPole-v1,eta=None,exp_name=QREPS,gamma=0.9900,num_envs=1,num_rollouts=4,num_steps=512,num_updates=50,policy_lr=0.0025,policy_lr_end=0.0000,q_lr=0.0025,q_lr_end=0.0000,saddle_point_optimization=True,seed=1,torch_deterministic=True,total_timesteps=100000,track=False,update_epochs=50,update_policy_epochs=300,use_kl_loss=False,use_linear_schedule=True,wandb_entity=TFG,wandb_project_name=QREPS_CartPole-v1",QREPS,1,True,True,False,QREPS_CartPole-v1,TFG,False,CartPole-v1,100000,512,50,10000,50,300,4,1,0.99,0.0025,0.0025,5e-06,5e-06,4,,0.002,True,True,False,0
9c043d02,9.0,1713256930,,True,130,2024-04-16_10-42-10,1.4591031074523926,119.20789980888367,82589,Nicolass-Air.technicolor.net,127.0.0.1,119.20789980888367,130,"10_trial_index=0,alpha=10,beta=0.0003,buffer_size=10000,capture_video=False,cuda=True,env_id=CartPole-v1,eta=None,exp_name=QREPS,gamma=0.9900,num_envs=1,num_rollouts=6,num_steps=128,num_updates=50,policy_lr=0.0100,policy_lr_end=0.0001,q_lr=0.0005,q_lr_end=0.0005,saddle_point_optimization=True,seed=1,torch_deterministic=True,total_timesteps=100000,track=False,update_epochs=50,update_policy_epochs=150,use_kl_loss=True,use_linear_schedule=False,wandb_entity=TFG,wandb_project_name=QREPS_CartPole-v1",QREPS,1,True,True,False,QREPS_CartPole-v1,TFG,False,CartPole-v1,100000,128,50,10000,50,150,6,1,0.99,0.01,0.0005,0.0001,0.0005,10,,0.00025,False,True,True,0
