trial_id,reward,timestamp,checkpoint_dir_name,done,training_iteration,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,experiment_tag,config/exp_name,config/seed,config/torch_deterministic,config/cuda,config/track,config/wandb_project_name,config/wandb_entity,config/capture_video,config/env_id,config/total_timesteps,config/num_envs,config/num_steps,config/anneal_lr,config/gamma,config/num_minibatches,config/policy_lr_start,config/q_lr_start,config/alpha,config/eta,config/beta,config/update_epochs,config/saddle_point_optimization,config/use_kl_loss,config/sampler,config/parametrized_sampler,config/q_histogram,config/batch_size,config/minibatch_size,config/num_iterations,config/__trial_index__
9410279f,-1000.0,1712921594,,True,18,2024-04-12_13-33-14,0.02827000617980957,119.1997857093811,15157,Nicolass-Air.technicolor.net,127.0.0.1,119.1997857093811,18,"1_trial_index=0,alpha=4.7807,anneal_lr=True,batch_size=0,beta=0.0010,capture_video=False,cuda=True,env_id=LunarLander-v2,eta=None,exp_name=QREPS,gamma=0.9900,minibatch_size=0,num_envs=8,num_iterations=0,num_minibatches=4,num_steps=128,parametrized_sampler=True,policy_lr_start=0.0057,q_histogram=False,q_lr_start=0.0024,saddle_point_optimization=True,sampler=ref_ph_15c28de2,seed=0,torch_deterministic=True,total_timesteps=100000,track=False,update_epochs=100,use_kl_loss=False,wandb_entity=None,wandb_project_name=QREPS_cleanRL",QREPS,0,True,True,False,QREPS_cleanRL,,False,LunarLander-v2,100000,8,128,True,0.99,4,0.005720128141481768,0.0023990534850877416,4.7806624252058345,,0.0009616651590267087,100,True,False,<class '__main__.ExponentiatedGradientSampler'>,True,False,0,0,0,0
a1867ee8,-1000.0,1712921696,,True,34,2024-04-12_13-34-56,2.5946388244628906,212.60111546516418,15183,Nicolass-Air.technicolor.net,127.0.0.1,212.60111546516418,34,"2_trial_index=1,alpha=4.7807,anneal_lr=True,batch_size=0,beta=0.0010,capture_video=False,cuda=True,env_id=LunarLander-v2,eta=None,exp_name=QREPS,gamma=0.9900,minibatch_size=0,num_envs=8,num_iterations=0,num_minibatches=4,num_steps=128,parametrized_sampler=True,policy_lr_start=0.0057,q_histogram=False,q_lr_start=0.0024,saddle_point_optimization=True,sampler=ref_ph_15c28de2,seed=0,torch_deterministic=True,total_timesteps=100000,track=False,update_epochs=100,use_kl_loss=False,wandb_entity=None,wandb_project_name=QREPS_cleanRL",QREPS,0,True,True,False,QREPS_cleanRL,,False,LunarLander-v2,100000,8,128,True,0.99,4,0.005720128141481768,0.0023990534850877416,4.7806624252058345,,0.0009616651590267087,100,True,False,<class '__main__.ExponentiatedGradientSampler'>,True,False,0,0,0,1
c7657a51,-1000.0,1712921648,,True,24,2024-04-12_13-34-08,4.3047449588775635,152.71901893615723,15190,Nicolass-Air.technicolor.net,127.0.0.1,152.71901893615723,24,"3_trial_index=2,alpha=4.7807,anneal_lr=True,batch_size=0,beta=0.0010,capture_video=False,cuda=True,env_id=LunarLander-v2,eta=None,exp_name=QREPS,gamma=0.9900,minibatch_size=0,num_envs=8,num_iterations=0,num_minibatches=4,num_steps=128,parametrized_sampler=True,policy_lr_start=0.0057,q_histogram=False,q_lr_start=0.0024,saddle_point_optimization=True,sampler=ref_ph_15c28de2,seed=0,torch_deterministic=True,total_timesteps=100000,track=False,update_epochs=100,use_kl_loss=False,wandb_entity=None,wandb_project_name=QREPS_cleanRL",QREPS,0,True,True,False,QREPS_cleanRL,,False,LunarLander-v2,100000,8,128,True,0.99,4,0.005720128141481768,0.0023990534850877416,4.7806624252058345,,0.0009616651590267087,100,True,False,<class '__main__.ExponentiatedGradientSampler'>,True,False,0,0,0,2
fa42e129,-1000.0,1712921526,,True,3,2024-04-12_13-32-06,5.815059185028076,15.971226453781128,15197,Nicolass-Air.technicolor.net,127.0.0.1,15.971226453781128,3,"4_trial_index=3,alpha=4.7807,anneal_lr=True,batch_size=0,beta=0.0010,capture_video=False,cuda=True,env_id=LunarLander-v2,eta=None,exp_name=QREPS,gamma=0.9900,minibatch_size=0,num_envs=8,num_iterations=0,num_minibatches=4,num_steps=128,parametrized_sampler=True,policy_lr_start=0.0057,q_histogram=False,q_lr_start=0.0024,saddle_point_optimization=True,sampler=ref_ph_15c28de2,seed=0,torch_deterministic=True,total_timesteps=100000,track=False,update_epochs=100,use_kl_loss=False,wandb_entity=None,wandb_project_name=QREPS_cleanRL",QREPS,0,True,True,False,QREPS_cleanRL,,False,LunarLander-v2,100000,8,128,True,0.99,4,0.005720128141481768,0.0023990534850877416,4.7806624252058345,,0.0009616651590267087,100,True,False,<class '__main__.ExponentiatedGradientSampler'>,True,False,0,0,0,3
ffa2aefb,-1000.0,1712921628,,True,17,2024-04-12_13-33-48,2.6982510089874268,101.19134593009949,15213,Nicolass-Air.technicolor.net,127.0.0.1,101.19134593009949,17,"5_trial_index=4,alpha=4.7807,anneal_lr=True,batch_size=0,beta=0.0010,capture_video=False,cuda=True,env_id=LunarLander-v2,eta=None,exp_name=QREPS,gamma=0.9900,minibatch_size=0,num_envs=8,num_iterations=0,num_minibatches=4,num_steps=128,parametrized_sampler=True,policy_lr_start=0.0057,q_histogram=False,q_lr_start=0.0024,saddle_point_optimization=True,sampler=ref_ph_15c28de2,seed=0,torch_deterministic=True,total_timesteps=100000,track=False,update_epochs=100,use_kl_loss=False,wandb_entity=None,wandb_project_name=QREPS_cleanRL",QREPS,0,True,True,False,QREPS_cleanRL,,False,LunarLander-v2,100000,8,128,True,0.99,4,0.005720128141481768,0.0023990534850877416,4.7806624252058345,,0.0009616651590267087,100,True,False,<class '__main__.ExponentiatedGradientSampler'>,True,False,0,0,0,4
04226784,-1000.0,1712921672,,True,51,2024-04-12_13-34-32,0.030566930770874023,127.54977703094482,15226,Nicolass-Air.technicolor.net,127.0.0.1,127.54977703094482,51,"6_trial_index=0,alpha=1.3465,anneal_lr=False,batch_size=0,beta=0.0017,capture_video=False,cuda=True,env_id=LunarLander-v2,eta=None,exp_name=QREPS,gamma=0.9900,minibatch_size=0,num_envs=4,num_iterations=0,num_minibatches=8,num_steps=256,parametrized_sampler=False,policy_lr_start=0.0005,q_histogram=False,q_lr_start=0.0002,saddle_point_optimization=True,sampler=ref_ph_15c28de2,seed=0,torch_deterministic=True,total_timesteps=100000,track=False,update_epochs=50,use_kl_loss=True,wandb_entity=None,wandb_project_name=QREPS_cleanRL",QREPS,0,True,True,False,QREPS_cleanRL,,False,LunarLander-v2,100000,4,256,False,0.99,8,0.0004889331858122513,0.00019457028143958645,1.3464935038677173,,0.0016806792879407765,50,True,True,<class '__main__.ExponentiatedGradientSampler'>,False,False,0,0,0,0
f5696f27,-1000.0,1712921675,,True,47,2024-04-12_13-34-35,1.131437063217163,115.24611496925354,15239,Nicolass-Air.technicolor.net,127.0.0.1,115.24611496925354,47,"7_trial_index=1,alpha=1.3465,anneal_lr=False,batch_size=0,beta=0.0017,capture_video=False,cuda=True,env_id=LunarLander-v2,eta=None,exp_name=QREPS,gamma=0.9900,minibatch_size=0,num_envs=4,num_iterations=0,num_minibatches=8,num_steps=256,parametrized_sampler=False,policy_lr_start=0.0005,q_histogram=False,q_lr_start=0.0002,saddle_point_optimization=True,sampler=ref_ph_15c28de2,seed=0,torch_deterministic=True,total_timesteps=100000,track=False,update_epochs=50,use_kl_loss=True,wandb_entity=None,wandb_project_name=QREPS_cleanRL",QREPS,0,True,True,False,QREPS_cleanRL,,False,LunarLander-v2,100000,4,256,False,0.99,8,0.0004889331858122513,0.00019457028143958645,1.3464935038677173,,0.0016806792879407765,50,True,True,<class '__main__.ExponentiatedGradientSampler'>,False,False,0,0,0,1
66a4e18c,-1000.0,1712921682,,True,47,2024-04-12_13-34-42,0.028761863708496094,113.54046487808228,15261,Nicolass-Air.technicolor.net,127.0.0.1,113.54046487808228,47,"8_trial_index=2,alpha=1.3465,anneal_lr=False,batch_size=0,beta=0.0017,capture_video=False,cuda=True,env_id=LunarLander-v2,eta=None,exp_name=QREPS,gamma=0.9900,minibatch_size=0,num_envs=4,num_iterations=0,num_minibatches=8,num_steps=256,parametrized_sampler=False,policy_lr_start=0.0005,q_histogram=False,q_lr_start=0.0002,saddle_point_optimization=True,sampler=ref_ph_15c28de2,seed=0,torch_deterministic=True,total_timesteps=100000,track=False,update_epochs=50,use_kl_loss=True,wandb_entity=None,wandb_project_name=QREPS_cleanRL",QREPS,0,True,True,False,QREPS_cleanRL,,False,LunarLander-v2,100000,4,256,False,0.99,8,0.0004889331858122513,0.00019457028143958645,1.3464935038677173,,0.0016806792879407765,50,True,True,<class '__main__.ExponentiatedGradientSampler'>,False,False,0,0,0,2
76f412c1,-202.05148315429688,1712921798,,True,97,2024-04-12_13-36-38,2.68664288520813,219.2405424118042,15272,Nicolass-Air.technicolor.net,127.0.0.1,219.2405424118042,97,"9_trial_index=3,alpha=1.3465,anneal_lr=False,batch_size=0,beta=0.0017,capture_video=False,cuda=True,env_id=LunarLander-v2,eta=None,exp_name=QREPS,gamma=0.9900,minibatch_size=0,num_envs=4,num_iterations=0,num_minibatches=8,num_steps=256,parametrized_sampler=False,policy_lr_start=0.0005,q_histogram=False,q_lr_start=0.0002,saddle_point_optimization=True,sampler=ref_ph_15c28de2,seed=0,torch_deterministic=True,total_timesteps=100000,track=False,update_epochs=50,use_kl_loss=True,wandb_entity=None,wandb_project_name=QREPS_cleanRL",QREPS,0,True,True,False,QREPS_cleanRL,,False,LunarLander-v2,100000,4,256,False,0.99,8,0.0004889331858122513,0.00019457028143958645,1.3464935038677173,,0.0016806792879407765,50,True,True,<class '__main__.ExponentiatedGradientSampler'>,False,False,0,0,0,3
b6d83fd9,-1000.0,1712921711,,True,48,2024-04-12_13-35-11,0.46743321418762207,105.89601302146912,15305,Nicolass-Air.technicolor.net,127.0.0.1,105.89601302146912,48,"10_trial_index=4,alpha=1.3465,anneal_lr=False,batch_size=0,beta=0.0017,capture_video=False,cuda=True,env_id=LunarLander-v2,eta=None,exp_name=QREPS,gamma=0.9900,minibatch_size=0,num_envs=4,num_iterations=0,num_minibatches=8,num_steps=256,parametrized_sampler=False,policy_lr_start=0.0005,q_histogram=False,q_lr_start=0.0002,saddle_point_optimization=True,sampler=ref_ph_15c28de2,seed=0,torch_deterministic=True,total_timesteps=100000,track=False,update_epochs=50,use_kl_loss=True,wandb_entity=None,wandb_project_name=QREPS_cleanRL",QREPS,0,True,True,False,QREPS_cleanRL,,False,LunarLander-v2,100000,4,256,False,0.99,8,0.0004889331858122513,0.00019457028143958645,1.3464935038677173,,0.0016806792879407765,50,True,True,<class '__main__.ExponentiatedGradientSampler'>,False,False,0,0,0,4
