trial_id,reward,timestamp,checkpoint_dir_name,done,training_iteration,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,experiment_tag,config/exp_name,config/seed,config/torch_deterministic,config/cuda,config/track,config/wandb_project_name,config/wandb_entity,config/capture_video,config/env_id,config/total_timesteps,config/num_updates,config/buffer_size,config/update_epochs,config/update_policy_epochs,config/num_rollouts,config/num_envs,config/gamma,config/policy_lr_start,config/policy_lr_end,config/q_lr_start,config/q_lr_end,config/alpha,config/eta,config/autotune,config/target_entropy_scale,config/linear_schedule,config/saddle_point_optimization,config/kl_loss,config/__trial_index__
e2549f5c,9.0,1711571005,,True,30,2024-03-27_21-23-25,4.786271810531616,145.31612277030945,36276,Nicolass-Air.technicolor.net,127.0.0.1,145.31612277030945,30,"11_trial_index=1,alpha=5.8465,autotune=False,buffer_size=10000,capture_video=False,cuda=True,env_id=CartPole-v1,eta=None,exp_name=QREPS,gamma=0.9900,kl_loss=True,linear_schedule=False,num_envs=4,num_rollouts=5,num_updates=30,policy_lr_end=0.0010,policy_lr_start=0.0334,q_lr_end=0.0010,q_lr_start=0.0472,saddle_point_optimization=True,seed=1,target_entropy_scale=0.1000,torch_deterministic=True,total_timesteps=200,track=False,update_epochs=100,update_policy_epochs=450,wandb_entity=TFG,wandb_project_name=QREPS_CartPole-v1",QREPS,1,True,True,False,QREPS_CartPole-v1,TFG,False,CartPole-v1,200,30,10000,100,450,5,4,0.99,0.03337645308520251,0.001,0.04715068975692808,0.001,5.846536778784072,,False,0.1,False,True,True,1
99e0132e,8.0,1711571030,,True,30,2024-03-27_21-23-50,4.430312156677246,134.43422389030457,36225,Nicolass-Air.technicolor.net,127.0.0.1,134.43422389030457,30,"12_trial_index=2,alpha=5.8465,autotune=False,buffer_size=10000,capture_video=False,cuda=True,env_id=CartPole-v1,eta=None,exp_name=QREPS,gamma=0.9900,kl_loss=True,linear_schedule=False,num_envs=4,num_rollouts=5,num_updates=30,policy_lr_end=0.0010,policy_lr_start=0.0334,q_lr_end=0.0010,q_lr_start=0.0472,saddle_point_optimization=True,seed=1,target_entropy_scale=0.1000,torch_deterministic=True,total_timesteps=200,track=False,update_epochs=100,update_policy_epochs=450,wandb_entity=TFG,wandb_project_name=QREPS_CartPole-v1",QREPS,1,True,True,False,QREPS_CartPole-v1,TFG,False,CartPole-v1,200,30,10000,100,450,5,4,0.99,0.03337645308520251,0.001,0.04715068975692808,0.001,5.846536778784072,,False,0.1,False,True,True,2
6c7da59b,8.0,1711571108,,True,30,2024-03-27_21-25-08,4.62462306022644,153.9642653465271,36234,Nicolass-Air.technicolor.net,127.0.0.1,153.9642653465271,30,"13_trial_index=0,alpha=2.0258,autotune=False,buffer_size=10000,capture_video=False,cuda=True,env_id=CartPole-v1,eta=None,exp_name=QREPS,gamma=1.0000,kl_loss=True,linear_schedule=False,num_envs=4,num_rollouts=5,num_updates=30,policy_lr_end=0.0010,policy_lr_start=0.0111,q_lr_end=0.0010,q_lr_start=0.0271,saddle_point_optimization=True,seed=1,target_entropy_scale=0.1000,torch_deterministic=True,total_timesteps=200,track=False,update_epochs=100,update_policy_epochs=450,wandb_entity=TFG,wandb_project_name=QREPS_CartPole-v1",QREPS,1,True,True,False,QREPS_CartPole-v1,TFG,False,CartPole-v1,200,30,10000,100,450,5,4,1.0,0.011138422578723417,0.001,0.027079392992590365,0.001,2.0258027721054885,,False,0.1,False,True,True,0
51abee33,9.0,1711571144,,True,30,2024-03-27_21-25-44,4.810196876525879,157.0198793411255,36290,Nicolass-Air.technicolor.net,127.0.0.1,157.0198793411255,30,"14_trial_index=1,alpha=2.0258,autotune=False,buffer_size=10000,capture_video=False,cuda=True,env_id=CartPole-v1,eta=None,exp_name=QREPS,gamma=1.0000,kl_loss=True,linear_schedule=False,num_envs=4,num_rollouts=5,num_updates=30,policy_lr_end=0.0010,policy_lr_start=0.0111,q_lr_end=0.0010,q_lr_start=0.0271,saddle_point_optimization=True,seed=1,target_entropy_scale=0.1000,torch_deterministic=True,total_timesteps=200,track=False,update_epochs=100,update_policy_epochs=450,wandb_entity=TFG,wandb_project_name=QREPS_CartPole-v1",QREPS,1,True,True,False,QREPS_CartPole-v1,TFG,False,CartPole-v1,200,30,10000,100,450,5,4,1.0,0.011138422578723417,0.001,0.027079392992590365,0.001,2.0258027721054885,,False,0.1,False,True,True,1
4207726c,29.8,1711571341,,True,30,2024-03-27_21-29-01,10.141137838363647,335.9517743587494,36276,Nicolass-Air.technicolor.net,127.0.0.1,335.9517743587494,30,"15_trial_index=2,alpha=2.0258,autotune=False,buffer_size=10000,capture_video=False,cuda=True,env_id=CartPole-v1,eta=None,exp_name=QREPS,gamma=1.0000,kl_loss=True,linear_schedule=False,num_envs=4,num_rollouts=5,num_updates=30,policy_lr_end=0.0010,policy_lr_start=0.0111,q_lr_end=0.0010,q_lr_start=0.0271,saddle_point_optimization=True,seed=1,target_entropy_scale=0.1000,torch_deterministic=True,total_timesteps=200,track=False,update_epochs=100,update_policy_epochs=450,wandb_entity=TFG,wandb_project_name=QREPS_CartPole-v1",QREPS,1,True,True,False,QREPS_CartPole-v1,TFG,False,CartPole-v1,200,30,10000,100,450,5,4,1.0,0.011138422578723417,0.001,0.027079392992590365,0.001,2.0258027721054885,,False,0.1,False,True,True,2
774454de,0.0,1711571045,,True,2,2024-03-27_21-24-05,3.2234740257263184,20.884811878204346,36219,Nicolass-Air.technicolor.net,127.0.0.1,20.884811878204346,2,"16_trial_index=0,alpha=0.2175,autotune=False,buffer_size=10000,capture_video=False,cuda=True,env_id=CartPole-v1,eta=None,exp_name=QREPS,gamma=0.9900,kl_loss=True,linear_schedule=False,num_envs=8,num_rollouts=5,num_updates=30,policy_lr_end=0.0010,policy_lr_start=0.0795,q_lr_end=0.0010,q_lr_start=0.0861,saddle_point_optimization=True,seed=1,target_entropy_scale=0.1000,torch_deterministic=True,total_timesteps=200,track=False,update_epochs=300,update_policy_epochs=500,wandb_entity=TFG,wandb_project_name=QREPS_CartPole-v1",QREPS,1,True,True,False,QREPS_CartPole-v1,TFG,False,CartPole-v1,200,30,10000,300,500,5,8,0.99,0.07951771655140634,0.001,0.08614863680352708,0.001,0.21749576443110388,,False,0.1,False,True,True,0
ce4336e0,0.0,1711571153,,True,9,2024-03-27_21-25-53,0.2412400245666504,122.73589539527893,36225,Nicolass-Air.technicolor.net,127.0.0.1,122.73589539527893,9,"17_trial_index=1,alpha=0.2175,autotune=False,buffer_size=10000,capture_video=False,cuda=True,env_id=CartPole-v1,eta=None,exp_name=QREPS,gamma=0.9900,kl_loss=True,linear_schedule=False,num_envs=8,num_rollouts=5,num_updates=30,policy_lr_end=0.0010,policy_lr_start=0.0795,q_lr_end=0.0010,q_lr_start=0.0861,saddle_point_optimization=True,seed=1,target_entropy_scale=0.1000,torch_deterministic=True,total_timesteps=200,track=False,update_epochs=300,update_policy_epochs=500,wandb_entity=TFG,wandb_project_name=QREPS_CartPole-v1",QREPS,1,True,True,False,QREPS_CartPole-v1,TFG,False,CartPole-v1,200,30,10000,300,500,5,8,0.99,0.07951771655140634,0.001,0.08614863680352708,0.001,0.21749576443110388,,False,0.1,False,True,True,1
271cbcf8,0.0,1711571061,,True,2,2024-03-27_21-24-21,0.9937648773193359,17.012277841567993,36239,Nicolass-Air.technicolor.net,127.0.0.1,17.012277841567993,2,"18_trial_index=2,alpha=0.2175,autotune=False,buffer_size=10000,capture_video=False,cuda=True,env_id=CartPole-v1,eta=None,exp_name=QREPS,gamma=0.9900,kl_loss=True,linear_schedule=False,num_envs=8,num_rollouts=5,num_updates=30,policy_lr_end=0.0010,policy_lr_start=0.0795,q_lr_end=0.0010,q_lr_start=0.0861,saddle_point_optimization=True,seed=1,target_entropy_scale=0.1000,torch_deterministic=True,total_timesteps=200,track=False,update_epochs=300,update_policy_epochs=500,wandb_entity=TFG,wandb_project_name=QREPS_CartPole-v1",QREPS,1,True,True,False,QREPS_CartPole-v1,TFG,False,CartPole-v1,200,30,10000,300,500,5,8,0.99,0.07951771655140634,0.001,0.08614863680352708,0.001,0.21749576443110388,,False,0.1,False,True,True,2
e0700287,8.0,1711571263,,True,30,2024-03-27_21-27-43,5.60574197769165,217.231538772583,36219,Nicolass-Air.technicolor.net,127.0.0.1,217.231538772583,30,"19_trial_index=0,alpha=7.9841,autotune=False,buffer_size=10000,capture_video=False,cuda=True,env_id=CartPole-v1,eta=None,exp_name=QREPS,gamma=1.0000,kl_loss=True,linear_schedule=False,num_envs=8,num_rollouts=5,num_updates=30,policy_lr_end=0.0010,policy_lr_start=0.3254,q_lr_end=0.0010,q_lr_start=0.0084,saddle_point_optimization=True,seed=1,target_entropy_scale=0.1000,torch_deterministic=True,total_timesteps=200,track=False,update_epochs=100,update_policy_epochs=500,wandb_entity=TFG,wandb_project_name=QREPS_CartPole-v1",QREPS,1,True,True,False,QREPS_CartPole-v1,TFG,False,CartPole-v1,200,30,10000,100,500,5,8,1.0,0.3253667985472231,0.001,0.008367687118970013,0.001,7.984148547090921,,False,0.1,False,True,True,0
5fe24eb3,8.0,1711571279,,True,30,2024-03-27_21-27-59,6.3819591999053955,217.6784155368805,36239,Nicolass-Air.technicolor.net,127.0.0.1,217.6784155368805,30,"20_trial_index=1,alpha=7.9841,autotune=False,buffer_size=10000,capture_video=False,cuda=True,env_id=CartPole-v1,eta=None,exp_name=QREPS,gamma=1.0000,kl_loss=True,linear_schedule=False,num_envs=8,num_rollouts=5,num_updates=30,policy_lr_end=0.0010,policy_lr_start=0.3254,q_lr_end=0.0010,q_lr_start=0.0084,saddle_point_optimization=True,seed=1,target_entropy_scale=0.1000,torch_deterministic=True,total_timesteps=200,track=False,update_epochs=100,update_policy_epochs=500,wandb_entity=TFG,wandb_project_name=QREPS_CartPole-v1",QREPS,1,True,True,False,QREPS_CartPole-v1,TFG,False,CartPole-v1,200,30,10000,100,500,5,8,1.0,0.3253667985472231,0.001,0.008367687118970013,0.001,7.984148547090921,,False,0.1,False,True,True,1
