"Step","charts/episodic_return","LunarLander-v2__ppo__3__1712512990 - charts/episodic_return__MIN","LunarLander-v2__ppo__3__1712512990 - charts/episodic_return__MAX"
"1","-376.15899658203125","-376.15899658203125","-376.15899658203125"
"2","-117.00663757324219","-117.00663757324219","-117.00663757324219"
"3","-359.9082336425781","-359.9082336425781","-359.9082336425781"
"4","-80.83707427978516","-80.83707427978516","-80.83707427978516"
"6","-46.48862838745117","-46.48862838745117","-46.48862838745117"
"7","-248.6166534423828","-248.6166534423828","-248.6166534423828"
"8","-110.04199981689453","-110.04199981689453","-110.04199981689453"
"9","-113.42707824707031","-113.42707824707031","-113.42707824707031"
"11","-109.72776794433594","-109.72776794433594","-109.72776794433594"
"12","-238.66812133789062","-238.66812133789062","-238.66812133789062"
"13","-127.10525512695312","-127.10525512695312","-127.10525512695312"
"14","-98.84574127197266","-98.84574127197266","-98.84574127197266"
"16","-210.39459228515625","-210.39459228515625","-210.39459228515625"
"17","-213.6773681640625","-213.6773681640625","-213.6773681640625"
"18","-302.2279968261719","-302.2279968261719","-302.2279968261719"
"19","-122.3367919921875","-122.3367919921875","-122.3367919921875"
"20","-130.3791961669922","-130.3791961669922","-130.3791961669922"
"21","-99.15621948242188","-99.15621948242188","-99.15621948242188"
"22","-130.92205810546875","-130.92205810546875","-130.92205810546875"
"24","-288.2418212890625","-288.2418212890625","-288.2418212890625"
"25","-73.70964050292969","-73.70964050292969","-73.70964050292969"
"26","-103.07504272460938","-103.07504272460938","-103.07504272460938"
"27","-117.42586517333984","-117.42586517333984","-117.42586517333984"
"28","-151.8974609375","-151.8974609375","-151.8974609375"
"29","-152.66726684570312","-152.66726684570312","-152.66726684570312"
"30","-60.85751724243164","-60.85751724243164","-60.85751724243164"
"32","-119.90408325195312","-119.90408325195312","-119.90408325195312"
"33","-100.58939361572266","-100.58939361572266","-100.58939361572266"
"34","-149.47616577148438","-149.47616577148438","-149.47616577148438"
"35","-167.4893798828125","-167.4893798828125","-167.4893798828125"
"37","-240.60775756835938","-240.60775756835938","-240.60775756835938"
"38","-120.06342315673828","-120.06342315673828","-120.06342315673828"
"39","-277.4073181152344","-277.4073181152344","-277.4073181152344"
"40","-226.42257690429688","-226.42257690429688","-226.42257690429688"
"41","-388.2030029296875","-388.2030029296875","-388.2030029296875"
"43","-93.59576416015625","-93.59576416015625","-93.59576416015625"
"44","-259.90838623046875","-259.90838623046875","-259.90838623046875"
"45","-62.06052780151367","-62.06052780151367","-62.06052780151367"
"46","-348.75042724609375","-348.75042724609375","-348.75042724609375"
"48","-7.390968322753906","-7.390968322753906","-7.390968322753906"
"49","-21.9228515625","-21.9228515625","-21.9228515625"
"50","-217.3821563720703","-217.3821563720703","-217.3821563720703"
"51","-194.87548828125","-194.87548828125","-194.87548828125"
"52","-126.02909851074219","-126.02909851074219","-126.02909851074219"
"53","-346.9755859375","-346.9755859375","-346.9755859375"
"55","-250.20257568359375","-250.20257568359375","-250.20257568359375"
"56","-206.26097106933594","-206.26097106933594","-206.26097106933594"
"57","-50.672386169433594","-50.672386169433594","-50.672386169433594"
"58","-110.73985290527344","-110.73985290527344","-110.73985290527344"
"59","-88.49943542480469","-88.49943542480469","-88.49943542480469"
"60","-169.35720825195312","-169.35720825195312","-169.35720825195312"
"62","-452.84991455078125","-452.84991455078125","-452.84991455078125"
"63","-87.66650390625","-87.66650390625","-87.66650390625"
"64","-148.97732543945312","-148.97732543945312","-148.97732543945312"
"65","-187.25018310546875","-187.25018310546875","-187.25018310546875"
"66","-198.22402954101562","-198.22402954101562","-198.22402954101562"
"68","-259.3930969238281","-259.3930969238281","-259.3930969238281"
"69","-173.36972045898438","-173.36972045898438","-173.36972045898438"
"70","-116.7857666015625","-116.7857666015625","-116.7857666015625"
"71","-99.09288024902344","-99.09288024902344","-99.09288024902344"
"72","-242.10423278808594","-242.10423278808594","-242.10423278808594"
"74","-348.5777587890625","-348.5777587890625","-348.5777587890625"
"75","-151.35577392578125","-151.35577392578125","-151.35577392578125"
"76","-135.97792053222656","-135.97792053222656","-135.97792053222656"
"77","-87.73695373535156","-87.73695373535156","-87.73695373535156"
"78","-118.31561279296875","-118.31561279296875","-118.31561279296875"
"79","-423.9727478027344","-423.9727478027344","-423.9727478027344"
"80","-114.53166961669922","-114.53166961669922","-114.53166961669922"
"82","-93.97684478759766","-93.97684478759766","-93.97684478759766"
"83","-153.3562774658203","-153.3562774658203","-153.3562774658203"
"84","-129.57130432128906","-129.57130432128906","-129.57130432128906"
"85","-131.86541748046875","-131.86541748046875","-131.86541748046875"
"87","-110.41055297851562","-110.41055297851562","-110.41055297851562"
"88","-110.34455108642578","-110.34455108642578","-110.34455108642578"
"89","-312.60601806640625","-312.60601806640625","-312.60601806640625"
"90","-104.77459716796875","-104.77459716796875","-104.77459716796875"
"92","-171.94305419921875","-171.94305419921875","-171.94305419921875"
"93","-89.21846771240234","-89.21846771240234","-89.21846771240234"
"94","-215.63839721679688","-215.63839721679688","-215.63839721679688"
"95","-186.61477661132812","-186.61477661132812","-186.61477661132812"
"96","-57.550392150878906","-57.550392150878906","-57.550392150878906"
"98","-231.02940368652344","-231.02940368652344","-231.02940368652344"
"99","-95.47538757324219","-95.47538757324219","-95.47538757324219"
"100","-98.63848876953125","-98.63848876953125","-98.63848876953125"
"101","-117.27320861816406","-117.27320861816406","-117.27320861816406"
"102","28.59722900390625","28.59722900390625","28.59722900390625"
"103","-96.26957702636719","-96.26957702636719","-96.26957702636719"
"105","-109.3729019165039","-109.3729019165039","-109.3729019165039"
"106","-201.20004272460938","-201.20004272460938","-201.20004272460938"
"107","-87.8763656616211","-87.8763656616211","-87.8763656616211"
"108","-132.3072509765625","-132.3072509765625","-132.3072509765625"
"109","-308.05322265625","-308.05322265625","-308.05322265625"
"110","-196.8897247314453","-196.8897247314453","-196.8897247314453"
"111","-172.924560546875","-172.924560546875","-172.924560546875"
"112","-117.54786682128906","-117.54786682128906","-117.54786682128906"
"114","-313.3962707519531","-313.3962707519531","-313.3962707519531"
"115","-115.19457244873047","-115.19457244873047","-115.19457244873047"
"116","-333.216552734375","-333.216552734375","-333.216552734375"
"117","-255.33277893066406","-255.33277893066406","-255.33277893066406"
"119","-64.8306884765625","-64.8306884765625","-64.8306884765625"
"120","-103.1234130859375","-103.1234130859375","-103.1234130859375"
"121","-93.76778411865234","-93.76778411865234","-93.76778411865234"
"122","-116.91413879394531","-116.91413879394531","-116.91413879394531"
"123","-90.16329956054688","-90.16329956054688","-90.16329956054688"
"124","-60.55596160888672","-60.55596160888672","-60.55596160888672"
