"Step","charts/episodic_return","LunarLander-v2__ppo__0__1712512344 - charts/episodic_return__MIN","LunarLander-v2__ppo__0__1712512344 - charts/episodic_return__MAX"
"1","-148.03233337402344","-148.03233337402344","-148.03233337402344"
"2","-118.59709167480469","-118.59709167480469","-118.59709167480469"
"3","-70.6036148071289","-70.6036148071289","-70.6036148071289"
"4","-280.71893310546875","-280.71893310546875","-280.71893310546875"
"6","-132.88827514648438","-132.88827514648438","-132.88827514648438"
"7","-91.96162414550781","-91.96162414550781","-91.96162414550781"
"8","-140.33370971679688","-140.33370971679688","-140.33370971679688"
"9","-204.41152954101562","-204.41152954101562","-204.41152954101562"
"10","-71.7146224975586","-71.7146224975586","-71.7146224975586"
"12","-82.3470687866211","-82.3470687866211","-82.3470687866211"
"13","-375.2021179199219","-375.2021179199219","-375.2021179199219"
"14","-182.45468139648438","-182.45468139648438","-182.45468139648438"
"15","-105.70521545410156","-105.70521545410156","-105.70521545410156"
"16","-213.5921630859375","-213.5921630859375","-213.5921630859375"
"17","-315.09771728515625","-315.09771728515625","-315.09771728515625"
"19","-130.0225830078125","-130.0225830078125","-130.0225830078125"
"20","-329.8813171386719","-329.8813171386719","-329.8813171386719"
"21","-131.11561584472656","-131.11561584472656","-131.11561584472656"
"23","-59.21449279785156","-59.21449279785156","-59.21449279785156"
"24","-133.69093322753906","-133.69093322753906","-133.69093322753906"
"25","-79.68269348144531","-79.68269348144531","-79.68269348144531"
"26","-368.8554382324219","-368.8554382324219","-368.8554382324219"
"27","-121.49126434326172","-121.49126434326172","-121.49126434326172"
"28","-298.0484619140625","-298.0484619140625","-298.0484619140625"
"29","-157.91473388671875","-157.91473388671875","-157.91473388671875"
"31","-363.5466003417969","-363.5466003417969","-363.5466003417969"
"32","-129.2892303466797","-129.2892303466797","-129.2892303466797"
"33","-131.67288208007812","-131.67288208007812","-131.67288208007812"
"35","-107.68165588378906","-107.68165588378906","-107.68165588378906"
"36","-162.57781982421875","-162.57781982421875","-162.57781982421875"
"37","-366.31634521484375","-366.31634521484375","-366.31634521484375"
"38","-137.24143981933594","-137.24143981933594","-137.24143981933594"
"39","-265.96405029296875","-265.96405029296875","-265.96405029296875"
"40","-154.07659912109375","-154.07659912109375","-154.07659912109375"
"42","-165.8614501953125","-165.8614501953125","-165.8614501953125"
"43","-364.40850830078125","-364.40850830078125","-364.40850830078125"
"44","-313.3048095703125","-313.3048095703125","-313.3048095703125"
"45","-214.48406982421875","-214.48406982421875","-214.48406982421875"
"46","-125.74739837646484","-125.74739837646484","-125.74739837646484"
"48","-145.65316772460938","-145.65316772460938","-145.65316772460938"
"49","-207.62655639648438","-207.62655639648438","-207.62655639648438"
"50","-200.88888549804688","-200.88888549804688","-200.88888549804688"
"51","-142.79246520996094","-142.79246520996094","-142.79246520996094"
"52","-107.37442779541016","-107.37442779541016","-107.37442779541016"
"54","-183.3648681640625","-183.3648681640625","-183.3648681640625"
"55","-63.29869079589844","-63.29869079589844","-63.29869079589844"
"56","-212.27366638183594","-212.27366638183594","-212.27366638183594"
"57","-243.3663330078125","-243.3663330078125","-243.3663330078125"
"58","-79.54840087890625","-79.54840087890625","-79.54840087890625"
"59","-130.66891479492188","-130.66891479492188","-130.66891479492188"
"61","-97.90677642822266","-97.90677642822266","-97.90677642822266"
"62","-160.85662841796875","-160.85662841796875","-160.85662841796875"
"63","-95.63257598876953","-95.63257598876953","-95.63257598876953"
"64","-124.79261016845703","-124.79261016845703","-124.79261016845703"
"65","-452.10736083984375","-452.10736083984375","-452.10736083984375"
"66","-206.93902587890625","-206.93902587890625","-206.93902587890625"
"68","-133.0650634765625","-133.0650634765625","-133.0650634765625"
"69","-78.64599609375","-78.64599609375","-78.64599609375"
"70","-88.37515258789062","-88.37515258789062","-88.37515258789062"
"71","-98.85379791259766","-98.85379791259766","-98.85379791259766"
"72","-213.21463012695312","-213.21463012695312","-213.21463012695312"
"74","-146.0001983642578","-146.0001983642578","-146.0001983642578"
"75","-181.20648193359375","-181.20648193359375","-181.20648193359375"
"76","-159.9154052734375","-159.9154052734375","-159.9154052734375"
"77","-97.62767028808594","-97.62767028808594","-97.62767028808594"
"78","-189.42276000976562","-189.42276000976562","-189.42276000976562"
"79","-112.72007751464844","-112.72007751464844","-112.72007751464844"
"81","-18.063316345214844","-18.063316345214844","-18.063316345214844"
"82","-119.90692901611328","-119.90692901611328","-119.90692901611328"
"83","-170.4468994140625","-170.4468994140625","-170.4468994140625"
"84","-116.33267211914062","-116.33267211914062","-116.33267211914062"
"85","-74.04830169677734","-74.04830169677734","-74.04830169677734"
"86","-122.75812530517578","-122.75812530517578","-122.75812530517578"
"88","-91.52056884765625","-91.52056884765625","-91.52056884765625"
"89","-170.76602172851562","-170.76602172851562","-170.76602172851562"
"90","-83.36822509765625","-83.36822509765625","-83.36822509765625"
"91","-97.44232940673828","-97.44232940673828","-97.44232940673828"
"92","-218.32626342773438","-218.32626342773438","-218.32626342773438"
"93","-133.27606201171875","-133.27606201171875","-133.27606201171875"
"95","-285.21295166015625","-285.21295166015625","-285.21295166015625"
"96","-320.8590087890625","-320.8590087890625","-320.8590087890625"
"97","-371.64593505859375","-371.64593505859375","-371.64593505859375"
"98","-88.86201477050781","-88.86201477050781","-88.86201477050781"
"99","-170.21109008789062","-170.21109008789062","-170.21109008789062"
"100","-99.33716583251953","-99.33716583251953","-99.33716583251953"
"101","-36.44926834106445","-36.44926834106445","-36.44926834106445"
"103","-114.58770751953125","-114.58770751953125","-114.58770751953125"
"104","-239.00961303710938","-239.00961303710938","-239.00961303710938"
"105","-39.7662353515625","-39.7662353515625","-39.7662353515625"
"106","-138.65415954589844","-138.65415954589844","-138.65415954589844"
"107","-232.52342224121094","-232.52342224121094","-232.52342224121094"
"108","-254.69955444335938","-254.69955444335938","-254.69955444335938"
"110","-157.77928161621094","-157.77928161621094","-157.77928161621094"
"111","-21.3624267578125","-21.3624267578125","-21.3624267578125"
"112","-218.894775390625","-218.894775390625","-218.894775390625"
"113","-135.87136840820312","-135.87136840820312","-135.87136840820312"
"114","-98.69883728027344","-98.69883728027344","-98.69883728027344"
"115","-181.01052856445312","-181.01052856445312","-181.01052856445312"
"117","-123.51655578613281","-123.51655578613281","-123.51655578613281"
"118","-224.8370361328125","-224.8370361328125","-224.8370361328125"
"119","-154.86582946777344","-154.86582946777344","-154.86582946777344"
"120","-223.25146484375","-223.25146484375","-223.25146484375"
"121","-114.97025299072266","-114.97025299072266","-114.97025299072266"
"123","-291.4442138671875","-291.4442138671875","-291.4442138671875"
"124","-117.44257354736328","-117.44257354736328","-117.44257354736328"
"125","-199.302490234375","-199.302490234375","-199.302490234375"
"126","-117.96849060058594","-117.96849060058594","-117.96849060058594"
"127","-108.89346313476562","-108.89346313476562","-108.89346313476562"
"129","-121.3744888305664","-121.3744888305664","-121.3744888305664"
"130","-376.0701599121094","-376.0701599121094","-376.0701599121094"
"131","-55.74102020263672","-55.74102020263672","-55.74102020263672"
"132","-113.85069274902344","-113.85069274902344","-113.85069274902344"
"133","-91.73374938964844","-91.73374938964844","-91.73374938964844"
"134","-95.70309448242188","-95.70309448242188","-95.70309448242188"
"135","-99.24060821533203","-99.24060821533203","-99.24060821533203"
"136","-94.24211883544922","-94.24211883544922","-94.24211883544922"
"138","-85.03846740722656","-85.03846740722656","-85.03846740722656"
"139","-357.0428771972656","-357.0428771972656","-357.0428771972656"
"140","-416.2170715332031","-416.2170715332031","-416.2170715332031"
"141","-192.63040161132812","-192.63040161132812","-192.63040161132812"
"143","-128.18324279785156","-128.18324279785156","-128.18324279785156"
"144","-64.34147644042969","-64.34147644042969","-64.34147644042969"
"145","-82.9548568725586","-82.9548568725586","-82.9548568725586"
"146","-261.6199951171875","-261.6199951171875","-261.6199951171875"
"147","-131.03652954101562","-131.03652954101562","-131.03652954101562"
"148","-57.13825607299805","-57.13825607299805","-57.13825607299805"
"150","-152.20745849609375","-152.20745849609375","-152.20745849609375"
"151","-82.11511993408203","-82.11511993408203","-82.11511993408203"
"152","-341.555908203125","-341.555908203125","-341.555908203125"
"153","-90.85221862792969","-90.85221862792969","-90.85221862792969"
"154","-124.01282501220703","-124.01282501220703","-124.01282501220703"
"156","-220.69033813476562","-220.69033813476562","-220.69033813476562"
"157","-168.4362030029297","-168.4362030029297","-168.4362030029297"
"158","-110.57494354248047","-110.57494354248047","-110.57494354248047"
"159","-109.84352111816406","-109.84352111816406","-109.84352111816406"
"160","-145.67774963378906","-145.67774963378906","-145.67774963378906"
"161","-81.76664733886719","-81.76664733886719","-81.76664733886719"
"163","-124.15574645996094","-124.15574645996094","-124.15574645996094"
"164","-128.08612060546875","-128.08612060546875","-128.08612060546875"
"165","-139.59439086914062","-139.59439086914062","-139.59439086914062"
"166","-64.30252075195312","-64.30252075195312","-64.30252075195312"
"167","-67.48164367675781","-67.48164367675781","-67.48164367675781"
"168","-235.2728729248047","-235.2728729248047","-235.2728729248047"
"169","-103.39590454101562","-103.39590454101562","-103.39590454101562"
"171","-101.06070709228516","-101.06070709228516","-101.06070709228516"
"172","-135.87274169921875","-135.87274169921875","-135.87274169921875"
"173","-256.0794372558594","-256.0794372558594","-256.0794372558594"
"174","-160.9111785888672","-160.9111785888672","-160.9111785888672"
"176","-243.13121032714844","-243.13121032714844","-243.13121032714844"
"177","-3.5317230224609375","-3.5317230224609375","-3.5317230224609375"
"178","-119.07794189453125","-119.07794189453125","-119.07794189453125"
"179","-299.22857666015625","-299.22857666015625","-299.22857666015625"
"180","-131.37977600097656","-131.37977600097656","-131.37977600097656"
"181","-250.0177459716797","-250.0177459716797","-250.0177459716797"
"182","-86.31669616699219","-86.31669616699219","-86.31669616699219"
"183","-265.4382629394531","-265.4382629394531","-265.4382629394531"
"184","-268.025634765625","-268.025634765625","-268.025634765625"
"185","-84.47935485839844","-84.47935485839844","-84.47935485839844"
"187","-94.3965835571289","-94.3965835571289","-94.3965835571289"
"188","-102.5732650756836","-102.5732650756836","-102.5732650756836"
"189","-91.88369750976562","-91.88369750976562","-91.88369750976562"
"190","-240.97210693359375","-240.97210693359375","-240.97210693359375"
"192","-142.80105590820312","-142.80105590820312","-142.80105590820312"
"193","-120.09812927246094","-120.09812927246094","-120.09812927246094"
"194","-232.25741577148438","-232.25741577148438","-232.25741577148438"
"195","-107.92225646972656","-107.92225646972656","-107.92225646972656"
"196","-56.401954650878906","-56.401954650878906","-56.401954650878906"
"197","-108.13610076904297","-108.13610076904297","-108.13610076904297"
