time/steps,time/epochs,time/steps_per_second,time/dataset,time/preprocess,time/train_step,train/env_steps,train/q_loss,train/target_q,train/value_loss,train/target_v,train/alpha_loss,train/actor_loss,train/entropy,train/alpha,train/reward,train/length,train/num_ep,eval/reward,eval/stddev,eval/length,eval/discount,eval/early_termination,step
1000,0,72.98554315823176,0.00048422813415527344,0.0001430511474609375,0.015099525451660156,988.0,4.9307641020277516e-05,-0.022083660438656807,-0.9998641800880432,-0.0242911159992218,0.9664564977089564,-0.3562466974059741,3.908495525519053,0.09752820804715157,3.1006293538641128,1000.0,1.0,0.1318354278933436,0.07278320166527326,1000.0,1000.0,0.0,1000
2000,0,72.86681106939322,0.0005218982696533203,0.00013327598571777344,0.014853715896606445,1988.0,5.126408570504282e-05,-0.0115235935151577,-0.9999734091758729,-0.01830886710435152,0.9352306127548218,-0.3587353304028511,4.08092733224233,0.09276317556699117,3.0010849429765525,1000.0,2.0,0.15631871811292583,0.08395048687532276,1000.0,1000.0,0.0,2000
3000,0,71.44168199071088,0.0004487037658691406,0.00016260147094726562,0.01523447036743164,2988.0,3.970539211877622e-05,-0.007817293107509614,-0.9999846935272216,-0.01354527298361063,0.8911731292804083,-0.3471282447377841,4.083673357963562,0.08836933846275012,3.2421051484522496,1000.0,3.0,0.24220138499237645,0.10720830951526578,1000.0,1000.0,0.0,3000
4000,0,70.7414666068483,0.0004353523254394531,0.00013375282287597656,0.016359329223632812,3988.0,6.678456506051589e-05,-0.008388346564024686,-0.9999783611297608,-0.01308169323951006,0.849380373954773,-0.3297043442726135,4.078980962435405,0.08426450006663799,2.6266688997133016,1000.0,4.0,0.2722345751118143,0.0777573116446814,1000.0,1000.0,0.0,4000
5000,0,67.39808265227745,0.0004994869232177734,0.00013303756713867188,0.016468286514282227,4988.0,2.3742611665511505e-05,-0.008559434469789266,-0.9999789047241211,-0.012740708962082863,0.8103961199522018,-0.3157954240838687,4.078210790952046,0.08040322363376617,3.2314450196911784,1000.0,5.0,0.27242029667333,0.13747656928164662,1000.0,1000.0,0.0,5000
6000,0,68.65117582396718,0.0005190372467041016,0.0001442432403564453,0.016661643981933594,5988.0,2.7056399703724308e-05,-0.008331074751913548,-0.9999791836738586,-0.012853592671453952,0.7736633519331614,-0.30042662223180133,4.078722318013509,0.07675494750340779,4.956303401891877,1000.0,6.0,0.3384756761691605,0.15354939389257297,1000.0,1000.0,0.0,6000
7000,0,67.55479046969886,0.0006978511810302734,0.0001819133758544922,0.017023801803588867,6988.0,4.812724408111535e-05,-0.00825038854032755,-0.9999767017364501,-0.012942938879132272,0.7388199667135874,-0.28642535706361133,4.079033374786377,0.07329591487844785,3.2789003835616093,1000.0,7.0,0.41927843874057535,0.1956034948675099,1000.0,1000.0,0.0,7000
8000,0,66.45936987013316,0.0004699230194091797,0.00013637542724609375,0.017100095748901367,7988.0,4.206320336379577e-05,-0.005970512432977557,-0.9999754548072814,-0.010352315194904805,0.7058979372183481,-0.27503520001967746,4.081674416859944,0.07001151827474435,4.266583801930979,1000.0,8.0,0.7217467726953426,0.17563823949158913,1000.0,1000.0,0.0,8000
9000,0,68.1107568872295,0.0005021095275878906,0.00014162063598632812,0.016675949096679688,8988.0,6.822280236519874e-05,-0.002293898620409891,-0.9999717664718628,-0.007038932108553126,0.6745101511478424,-0.26698463906844455,4.08374039332072,0.06688475360472997,6.2081597748173705,1000.0,9.0,0.6337401813573996,0.08504974405199486,1000.0,1000.0,0.0,9000
10000,0,66.41727420713593,0.0005626678466796875,0.0001361370086669922,0.01681804656982422,9988.0,5.075116889202036e-05,0.0032184682483784853,-0.9999673342704773,-0.0017737136012874544,0.6440723488728205,-0.25867119431495667,4.077378908793132,0.06390686705708504,6.318894524507188,1000.0,10.0,1.5170641961575777,0.2727730674797416,1000.0,1000.0,0.0,10000
11000,0,62.70431244038738,0.0004780292510986328,0.0001537799835205078,0.01727771759033203,10988.0,8.303177848574706e-05,0.00949387351050973,-0.999960880279541,0.004630002225749195,0.6153096805016199,-0.25397997473677,4.075025161107381,0.061067236587405205,7.132950684180093,1000.0,11.0,5.843812634774665,0.42937777569944713,1000.0,1000.0,0.0,11000
12000,0,61.495982964178914,0.00048065185546875,0.00018930435180664062,0.017144441604614258,11988.0,8.962900610640646e-05,0.017285218983888625,-0.9999554753303528,0.01238475326448679,0.5879105925559998,-0.2498290774722894,4.073652267456055,0.05835592125852903,5.710606917656777,1000.0,12.0,8.50301279505125,1.0000239664111004,1000.0,1000.0,0.0,12000
