,Step,Reward
0,400.0,-105.38003540039062
1,440.0,-112.93473052978516
2,468.0,-133.19471740722656
3,500.0,-99.63460540771484
4,736.0,-195.96917724609375
5,748.0,-95.4263916015625
6,752.0,-194.23904418945312
7,776.0,-327.56890869140625
8,1012.0,-127.29248046875
9,1076.0,-145.9225616455078
10,1120.0,-105.6322250366211
11,1236.0,-140.68910217285156
12,1316.0,-153.3901824951172
13,1452.0,-107.66834259033203
14,1496.0,-176.72784423828125
15,1700.0,-134.9231414794922
16,1748.0,-506.55633544921875
17,1796.0,-66.02615356445312
18,1936.0,-375.6943054199219
19,2040.0,-110.63169860839844
20,2072.0,-109.18374633789062
21,2212.0,-143.47425842285156
22,2316.0,-113.42393493652344
23,2380.0,-124.96791076660156
24,2428.0,-135.83358764648438
25,2640.0,22.02112579345703
26,2644.0,-322.7021179199219
27,2732.0,-188.11697387695312
28,2760.0,-83.88908386230469
29,2920.0,-202.47386169433594
30,3008.0,-93.16827392578125
31,3032.0,-157.0912322998047
32,3116.0,-99.36223602294922
33,3276.0,-160.4817352294922
34,3380.0,-390.165771484375
35,3408.0,-110.77786254882812
36,3672.0,-139.86062622070312
37,3740.0,-230.5457000732422
38,3872.0,-243.84373474121094
39,3988.0,-68.706298828125
40,4148.0,-281.8409118652344
41,4180.0,-101.59390258789062
42,4364.0,-154.897705078125
43,4444.0,-136.720703125
44,4576.0,-126.23368835449219
45,4596.0,-273.97100830078125
46,4656.0,-101.49283599853516
47,4692.0,-169.66908264160156
48,4988.0,-43.37925720214844
49,5024.0,-51.417762756347656
50,5052.0,-220.80300903320312
51,5336.0,-89.10066986083984
52,5404.0,-213.8123779296875
53,5476.0,-243.131103515625
54,5684.0,-174.7056884765625
55,5724.0,-101.87549591064453
56,5748.0,-91.66551208496094
57,5804.0,-112.1253890991211
58,6120.0,-307.40350341796875
59,6144.0,-219.70843505859375
60,6192.0,-149.4907989501953
61,6204.0,-194.02224731445312
62,6420.0,-252.00384521484375
63,6460.0,-68.6891860961914
64,6620.0,-88.97109985351562
65,6808.0,-104.90676879882812
66,6864.0,-100.17899322509766
67,6920.0,-52.609378814697266
68,6952.0,-73.48176574707031
69,7116.0,-164.00326538085938
70,7124.0,-124.32339477539062
71,7360.0,-110.24665069580078
72,7420.0,-118.67230987548828
73,7560.0,-288.6720275878906
74,7788.0,-96.0745620727539
75,7792.0,-158.82789611816406
76,7860.0,-67.56654357910156
77,7952.0,-267.98504638671875
78,8152.0,-323.37255859375
79,8188.0,-196.84197998046875
80,8204.0,-254.8722381591797
81,8256.0,-159.732421875
82,8484.0,-78.38929748535156
83,8488.0,-155.08779907226562
84,8584.0,-123.23373413085938
85,8632.0,-103.12496948242188
86,8908.0,-195.1836395263672
87,8920.0,-383.97601318359375
88,8948.0,-122.11775207519531
89,9032.0,-130.9608612060547
90,9228.0,-32.29035949707031
91,9260.0,-128.71466064453125
92,9388.0,-117.84974670410156
93,9516.0,-203.6905975341797
94,9604.0,-19.835487365722656
95,9620.0,-148.24301147460938
96,9832.0,-66.18099975585938
97,9844.0,-6.75042724609375
