reward,config/num_envs,config/num_steps,config/num_minibatches,config/alpha,config/update_epochs,config/target_network_frequency,config/beta,config/policy_lr_start,config/q_lr_start,config/use_kl_loss,config/target_network,config/anneal_lr,config/saddle_point_optimization,config/policy_activation,config/num_hidden_layers,config/hidden_size,config/q_activation,config/q_hidden_size,config/q_num_hidden_layers,config/q_optimizer,config/actor_optimizer,config/eps
45.29682540893555,4,256,4,4,100,0,0.0049300242640488,0.0045919307740138,0.000661848245345,False,False,False,True,ReLU,4,64,Tanh,128,4,SGD,Adam,1e-08
44.020434061686196,4,256,8,8,100,0,0.0070811743188819,0.0022370473599393,0.002355881927337,False,False,False,True,ReLU,4,512,Tanh,128,4,SGD,Adam,0.0001
42.40157826741537,4,256,8,8,100,0,0.001303225663102,0.0001057078281718,0.0003983976773067,False,False,True,True,ReLU,4,128,Tanh,64,4,SGD,Adam,0.0001
41.416513442993164,4,500,4,12,50,0,0.0410435342180771,0.0019955460698146,0.0028964124387096,False,False,True,True,ReLU,2,64,Tanh,128,2,Adam,Adam,0.0001
37.63299719492594,4,128,8,12,100,0,0.0835559297489052,0.0001459182434552,0.0105164435301253,False,False,False,True,ReLU,4,512,Sigmoid,128,4,SGD,SGD,1e-08
37.2035026550293,4,256,4,12,10,0,0.02640165951949,0.0031606944899271,0.0002273954472638,False,False,False,True,Tanh,2,128,Tanh,128,2,Adam,Adam,0.0001
36.54244899749756,4,256,8,12,100,0,0.0187835778585552,0.001982919607201,0.0068182156839399,False,False,False,True,ReLU,2,128,ReLU,128,2,Adam,Adam,0.0001
35.84625752766927,4,256,4,8,100,0,0.0048465433598787,0.0022121556210355,0.0023852434831041,False,False,False,True,ReLU,4,128,Tanh,128,2,SGD,Adam,1e-08
35.798767725626625,4,256,16,4,100,0,0.0057664496948744,0.0020521025993049,0.0018224730371834,False,False,True,True,ReLU,2,128,Tanh,128,2,Adam,Adam,1e-08
35.33502515157064,4,500,8,12,100,0,0.0033611908916873,0.0039868724107075,0.0012165094945877,False,False,True,True,ReLU,2,64,Tanh,128,4,Adam,Adam,1e-08
33.300426165262856,4,128,16,8,100,0,0.0084475462353451,0.0025572973924328,0.0023451590481766,False,False,True,True,ReLU,4,128,Tanh,128,4,SGD,Adam,1e-08
32.976785024007164,4,256,8,4,100,0,0.0134134929463621,0.0096556333935074,0.001968686275888,True,False,False,True,ReLU,2,128,Tanh,128,2,SGD,Adam,1e-08
32.94679069519043,4,500,8,4,100,0,0.089058175638219,0.0008710391094632,0.0007704394670983,False,False,False,True,ReLU,2,64,Tanh,64,2,Adam,Adam,0.0001
29.630325317382812,4,500,4,4,100,0,0.0057494319165735,0.0036006684877189,0.0007241916442933,False,False,False,True,ReLU,4,512,Tanh,128,4,SGD,Adam,0.0001
28.342742919921875,4,500,4,4,50,0,0.0817980560434025,0.0013816507745229,0.0031529595129323,False,False,True,True,ReLU,2,128,Tanh,128,2,SGD,Adam,1e-08
25.99075762430827,4,500,4,12,50,0,0.0764918555362806,0.001708829761595,0.0027647749055593,False,False,True,True,ReLU,4,128,Tanh,128,4,SGD,Adam,0.0001
25.667219479878742,4,500,16,8,100,0,0.0272857835855079,0.0064131636031765,0.0004322047237633,False,False,True,True,ReLU,2,512,Tanh,128,4,SGD,Adam,0.0001
25.070642471313477,4,256,4,8,100,0,0.0184006288710258,0.0041939040067385,0.0001599563074364,False,False,False,True,ReLU,4,128,Tanh,128,2,SGD,Adam,0.0001
24.789058049519856,4,500,4,8,100,0,0.0934348406497331,0.00131556116375,0.0052828195758023,False,False,True,True,ReLU,2,128,ReLU,64,2,SGD,Adam,1e-08
24.244841893513996,4,500,4,8,100,0,0.0023277320713554,0.0001453283908318,0.0023348281724388,False,False,False,True,ReLU,4,128,Sigmoid,128,4,SGD,Adam,1e-08
23.47201410929362,4,256,8,4,10,0,0.0055960668390327,0.0001827798001906,0.0013822113078379,True,False,True,True,ReLU,2,64,Tanh,64,2,Adam,SGD,1e-08
23.39365069071452,4,128,4,4,10,0,0.004194135042007,0.0013174283970461,0.0001194246921898,True,False,True,True,ReLU,4,64,Sigmoid,512,2,SGD,SGD,0.0001
23.378692309061687,4,256,16,8,100,0,0.024496760097112,0.0043073563277209,0.0001516954972873,False,False,True,True,ReLU,4,128,Sigmoid,128,2,Adam,Adam,0.0001
23.235689798990887,4,128,16,12,10,0,0.0015909510424658,0.0001300219240007,0.0006173095917105,False,False,True,True,Tanh,2,512,Tanh,128,2,SGD,SGD,0.0001
23.011172612508137,4,256,16,12,100,0,0.0070811743188819,0.0024063963936201,0.002355881927337,True,False,False,True,ReLU,4,128,Tanh,128,4,SGD,Adam,1e-08
22.779955863952633,4,256,4,4,100,0,0.0921740795000633,0.0002491097695421,0.0004452410788278,False,False,False,True,ReLU,2,128,Sigmoid,128,4,SGD,Adam,1e-08
22.7217534383138,4,500,4,12,10,0,0.0666071373480099,0.0001110821943134,0.0002453755573932,True,False,True,True,ReLU,4,128,Sigmoid,128,4,SGD,SGD,1e-08
22.685060501098633,4,256,8,8,100,0,0.0197279002369101,0.0020943475086357,0.006818217555469,False,False,False,True,ReLU,2,128,Tanh,64,2,Adam,Adam,1e-08
22.592116673787434,4,128,8,4,10,0,0.081497087172879,0.0005128397609474,0.0056767023519549,False,False,True,True,ReLU,2,64,Sigmoid,128,2,SGD,SGD,1e-08
22.50973383585612,4,256,4,4,100,0,0.0552781875990673,0.025121308699569,0.0005062442665115,True,False,True,True,ReLU,2,128,Tanh,64,2,SGD,SGD,1e-08
22.50802167256673,4,500,8,12,100,0,0.0982791530036419,0.0014972942369251,0.0031969634915201,True,False,False,True,ReLU,2,64,Sigmoid,128,4,Adam,Adam,0.0001
22.458651224772137,4,500,8,8,50,0,0.0921656123689576,0.0003207946529246,0.0021317453374107,True,False,True,True,Tanh,4,128,ReLU,512,4,SGD,SGD,1e-08
22.272705078125,4,128,8,12,100,0,0.0768108107547371,0.0005589458973373,0.0032522309637354,True,False,True,True,ReLU,4,64,Sigmoid,128,4,SGD,SGD,0.0001
22.238629659016926,4,256,4,8,10,0,0.0841725171727897,0.000101258072549,0.0001660776674777,True,False,True,True,Tanh,4,128,Tanh,512,4,SGD,SGD,0.0001
22.22094790140788,4,500,8,4,50,0,0.0406309994618028,0.0006672281995035,0.0002094597329301,True,False,False,True,Tanh,2,128,Tanh,64,2,SGD,Adam,0.0001
22.099947611490887,4,256,8,8,100,0,0.0070811743188819,0.0024063963936201,0.002355881927337,True,False,False,True,ReLU,2,128,Tanh,128,4,SGD,Adam,0.0001
21.964466094970703,4,500,8,4,50,0,0.0178880182503466,0.0001704976253248,0.0002926590082459,True,False,True,True,Tanh,4,64,Tanh,128,4,SGD,SGD,1e-08
21.910147349039715,4,256,16,4,100,0,0.0007092175010879,0.0026609550176557,0.0002355643845424,False,False,False,True,Sigmoid,2,128,Sigmoid,128,2,SGD,Adam,1e-08
21.791802724202473,4,500,4,12,10,0,0.0087543139704404,0.001040942779415,0.0001179904026074,False,False,False,True,Tanh,4,64,Sigmoid,128,2,SGD,SGD,1e-08
21.530864079793293,4,256,4,12,100,0,0.0838508970837119,0.0025624336250183,0.0003790124800293,True,False,True,True,Tanh,4,512,Sigmoid,512,4,SGD,SGD,1e-08
21.5235652923584,4,256,16,12,100,0,0.0021187161780219,0.0002929075157167,0.0001329091423343,True,False,True,True,Tanh,4,128,Tanh,128,2,Adam,Adam,0.0001
21.253410975138348,4,500,4,8,100,0,0.0533427204273723,0.0013851677103193,0.0054718645184521,True,False,True,True,ReLU,4,512,ReLU,128,2,SGD,SGD,1e-08
21.148715337117512,4,128,4,4,10,0,0.020869920080997,0.0025823299983773,0.0003917771466555,True,False,True,True,Tanh,4,64,Tanh,64,4,Adam,SGD,1e-08
21.137481053670246,4,256,8,12,100,0,0.0396230522141062,0.0001316759897752,0.0001007973478543,True,False,False,True,ReLU,4,64,Tanh,512,2,Adam,SGD,1e-08
20.995696385701496,4,256,16,8,100,0,0.0088191390803585,0.0062920457906225,0.002481683158433,True,False,False,True,ReLU,2,128,Tanh,128,2,SGD,Adam,1e-08
20.86452356974284,4,500,4,4,50,0,0.004191197371799,0.0048954037866253,0.0008384902174356,True,False,True,True,Tanh,4,64,Tanh,512,2,SGD,SGD,0.0001
20.851030031840008,4,256,16,8,10,0,0.0835721246450267,0.0169175893934038,0.0001246154244511,True,False,False,True,ReLU,4,64,Tanh,128,4,Adam,SGD,1e-08
20.83863639831543,4,256,8,8,100,0,0.0636713728523671,0.0001885671107894,0.0044608277645056,False,False,True,True,ReLU,4,64,Sigmoid,128,2,SGD,SGD,1e-08
20.524242719014484,4,128,4,4,10,0,0.0628785653269477,0.000669268087924,0.0003384496907991,False,False,True,True,Tanh,4,512,Tanh,64,4,SGD,Adam,0.0001
20.129103660583496,4,256,4,4,100,0,0.0078920109271766,0.0046961791519301,0.0006343080368603,False,False,False,True,ReLU,4,512,Tanh,128,2,Adam,Adam,1e-08
20.009274164835613,4,500,4,12,10,0,0.0943911664880982,0.000916016653725,0.0002963324411501,True,False,True,True,Tanh,2,128,ReLU,64,4,SGD,Adam,1e-08
19.900550842285156,4,500,4,8,50,0,0.061320980142755,0.002311248884982,0.000103237635799,True,False,False,True,ReLU,2,128,Tanh,128,4,SGD,Adam,0.0001
19.84073257446289,4,256,8,4,50,0,0.0364085727843519,0.0017188542870242,0.0025561413032586,True,False,True,True,ReLU,2,512,Tanh,64,2,Adam,SGD,1e-08
19.83416493733724,4,500,16,8,100,0,0.0024224075566014,0.0024635890838091,0.0017479873982097,True,False,False,True,ReLU,4,128,Tanh,128,4,SGD,Adam,1e-08
19.787936210632324,4,500,8,4,50,0,0.0165501447463626,0.0067418252616458,0.0001797314091513,True,False,False,True,Tanh,2,128,Tanh,64,2,SGD,SGD,0.0001
19.664180755615234,4,500,8,8,100,0,0.0018328558517859,0.0001214402722707,0.0003024348459759,True,False,False,True,ReLU,4,512,Sigmoid,128,2,Adam,Adam,1e-08
19.51196797688802,4,500,16,4,100,0,0.0966795980031963,0.0005369302720068,0.0064510215160481,True,False,False,True,Tanh,4,64,Sigmoid,64,2,SGD,SGD,0.0001
19.434375127156574,4,256,4,4,100,0,0.0543466553298035,0.0001026438298724,0.0001253003297673,True,False,False,True,Sigmoid,2,128,Tanh,128,2,Adam,Adam,0.0001
19.35667546590169,4,500,8,8,50,0,0.0159794317293128,0.000914655181453,0.0003559301976974,False,False,False,True,Tanh,4,128,Tanh,128,2,SGD,SGD,0.0001
19.273513793945312,4,256,16,8,50,0,0.0275251346476087,0.0001112698458908,0.0178832902916456,True,False,False,True,ReLU,2,512,Sigmoid,128,2,Adam,SGD,1e-08
19.0894037882487,4,500,4,12,10,0,0.0387659169506922,0.0006412626933227,0.0003376664456708,True,False,False,True,Tanh,2,128,ReLU,64,2,SGD,Adam,0.0001
18.71792602539062,4,500,4,4,50,0,0.0254492571553505,0.0005677136490572,0.000111089365137,True,False,False,True,Sigmoid,2,64,Sigmoid,128,2,Adam,Adam,1e-08
18.63045533498128,4,256,8,8,100,0,0.0560645512734078,0.0011422665146875,0.0058104788965718,True,False,True,True,ReLU,4,128,Tanh,128,4,Adam,Adam,0.0001
18.45500310262044,4,128,8,8,50,0,0.0055654681289961,0.0002018645011614,0.0001288526199367,True,False,True,True,ReLU,4,64,Sigmoid,512,4,Adam,Adam,0.0001
17.94632911682129,4,256,4,12,50,0,0.0683396422811245,0.0027518022142989,0.0006505432270165,True,False,False,True,ReLU,4,128,Tanh,128,4,Adam,Adam,1e-08
17.751797040303547,4,256,8,4,10,0,0.0172702898751818,0.0001522156478722,0.001413523265546,True,False,True,True,Sigmoid,4,128,Tanh,64,2,Adam,SGD,0.0001
17.642857869466145,4,256,8,12,100,0,0.0187835778585552,0.001982919607201,0.006818217555469,False,False,False,True,ReLU,2,128,ReLU,128,2,Adam,Adam,0.0001
17.642857551574707,4,256,4,8,50,0,0.0064822671275692,0.0389625537466596,0.00035854997294,True,False,True,True,ReLU,2,128,Tanh,512,4,Adam,SGD,1e-08
17.605194409688313,4,128,4,4,10,0,0.0628785739567023,0.0006692681338508,0.000338449632736,False,False,True,True,Tanh,4,512,Tanh,64,4,SGD,Adam,0.0001
17.348476727803547,4,500,4,12,10,0,0.067408422165515,0.0001101721411696,0.0011473045462221,True,False,True,True,Sigmoid,2,128,Sigmoid,64,2,SGD,Adam,1e-08
17.287242889404297,4,500,8,12,50,0,0.0909496792599165,0.001500669741178,0.0034398514885467,True,False,False,True,Sigmoid,2,64,Sigmoid,128,2,Adam,SGD,1e-08
17.132181485493977,4,500,8,8,10,0,0.0549128837164777,0.0001593843961759,0.0004937652878979,True,False,False,True,Sigmoid,4,128,ReLU,128,4,SGD,SGD,0.0001
16.859535535176594,4,500,8,8,50,0,0.0767588631460871,0.0016860792740031,0.0030616934229714,False,False,True,True,ReLU,2,128,Tanh,128,4,SGD,Adam,1e-08
16.810871760050457,4,256,8,8,50,0,0.0482152921405079,0.0036224509922021,0.0305021767232143,True,False,True,True,ReLU,4,128,Sigmoid,64,2,Adam,Adam,0.0001
16.750676155090332,4,256,4,8,100,0,0.0105215526254315,0.0011696444956964,0.0006998310701995,True,False,True,True,ReLU,4,512,Tanh,64,2,Adam,Adam,1e-08
16.705588658650715,4,128,4,8,100,0,0.0089479484028322,0.0127564323062117,0.0023527943090325,True,False,False,True,ReLU,4,128,Tanh,128,2,SGD,Adam,1e-08
16.70191764831543,4,500,8,8,10,0,0.0066682068121538,0.0025276289949408,0.0011414452697059,False,False,True,True,Sigmoid,4,128,ReLU,128,2,SGD,SGD,0.0001
