reward,config/num_envs,config/num_steps,config/num_minibatches,config/alpha,config/update_epochs,config/target_network_frequency,config/beta,config/policy_lr_start,config/q_lr_start,config/use_kl_loss,config/target_network,config/anneal_lr,config/saddle_point_optimization,config/policy_activation,config/num_hidden_layers,config/hidden_size,config/q_activation,config/q_hidden_size,config/q_num_hidden_layers,config/q_optimizer,config/actor_optimizer,config/eps
-58.90000025431315,4,128,4,4,100,0,0.0565182658640528,0.0001157387436462,0.0064504665987056,False,False,True,True,ReLU,4,512,ReLU,64,2,SGD,SGD,1e-08
-68.36111132303874,4,256,16,8,50,0,0.0019674852575847,0.0051606430868474,0.0008724660024908,True,False,True,True,Tanh,4,128,ReLU,512,2,SGD,Adam,1e-08
-70.23913033803304,4,128,8,12,100,0,0.0178242399008794,0.001771949951193,0.0006554406936977,True,False,False,True,ReLU,2,128,ReLU,64,4,Adam,Adam,0.0001
-70.75308640797932,4,128,4,8,50,0,0.0222128654339217,0.0108853442294662,0.0014327351891486,True,False,False,True,Sigmoid,2,512,ReLU,128,4,SGD,Adam,0.0001
-70.79999987284343,4,128,16,4,100,0,0.0933413930967368,0.0004793048945536,0.0064510215160481,True,False,True,True,Tanh,4,64,Sigmoid,128,2,Adam,SGD,0.0001
-70.8442366917928,4,256,8,4,100,0,0.0179720329418229,0.0005309634501718,0.0014065977788301,False,False,True,True,Sigmoid,4,64,Tanh,128,4,Adam,SGD,1e-08
-70.86544354756673,4,256,16,4,100,0,0.0977296022378117,0.0011610228667738,0.0074575029110075,False,False,False,True,ReLU,4,128,Sigmoid,128,4,SGD,SGD,1e-08
-70.90606053670247,4,256,8,12,100,0,0.0237235609187431,0.0012034944971554,0.0070155849815215,False,False,False,True,ReLU,4,512,ReLU,64,2,Adam,SGD,0.0001
-111.0,4,256,8,8,100,0,0.0005319920413693,0.0007045807266961,0.0016919159037226,False,False,False,True,Tanh,2,64,ReLU,512,4,SGD,SGD,1e-08
-111.0,4,500,4,8,50,0,0.002440775433403,0.0005063404118005,0.0701419319378602,True,False,True,True,ReLU,4,128,Tanh,64,4,Adam,SGD,0.0001
-111.0,4,500,16,8,10,0,0.0001591563041092,0.0013557408975245,0.0354064219583792,False,False,True,True,ReLU,4,128,Tanh,128,2,Adam,SGD,1e-08
-111.0,4,128,16,8,10,0,0.0113567275651555,0.0672752451470623,0.0007357525783247,False,False,False,True,Tanh,2,512,ReLU,512,2,SGD,Adam,1e-08
-111.0,4,500,4,4,10,0,0.0008798924199852,0.0336406939436174,0.016562380868187,False,False,False,True,ReLU,2,128,ReLU,128,4,Adam,SGD,0.0001
-111.0,4,128,16,4,100,0,0.0002285328015766,0.0004405280574326,0.0012657434976963,True,False,False,True,ReLU,4,128,ReLU,64,4,Adam,SGD,1e-08
-111.0,4,256,8,8,100,0,0.0034905300658176,0.0354189029585048,0.081970695301666,False,False,True,True,ReLU,4,128,Sigmoid,128,4,Adam,Adam,1e-08
-111.0,4,128,8,12,10,0,0.0014982081557813,0.0008985049557356,0.0111167070697681,False,False,True,True,ReLU,4,64,ReLU,512,4,Adam,Adam,1e-08
-111.0,4,256,8,4,50,0,0.0009969096410452,0.0006049104737354,0.0198599968851509,False,False,True,True,Sigmoid,2,512,Tanh,512,4,SGD,SGD,0.0001
-111.0,4,256,8,12,10,0,0.0043942165256761,0.0048573480248793,0.0030954153432587,True,False,False,True,ReLU,4,128,ReLU,64,2,Adam,Adam,1e-08
-111.0,4,256,8,4,50,0,0.0086626232924692,0.0003875460590547,0.0140075251408927,True,False,False,True,ReLU,2,128,ReLU,512,4,Adam,Adam,1e-08
-111.0,4,256,4,8,100,0,0.0001282159350015,0.0264051449984993,0.0027702080885051,False,False,True,True,Sigmoid,4,128,ReLU,128,4,SGD,Adam,0.0001
-111.0,4,128,8,8,50,0,0.0006036588620164,0.0154877409759845,0.0434014897876067,True,False,False,True,ReLU,2,64,Tanh,128,4,Adam,Adam,1e-08
-111.0,4,500,16,12,50,0,0.0004505170168918,0.0042695454767414,0.0057276924587409,True,False,False,True,ReLU,2,128,ReLU,512,2,Adam,SGD,1e-08
-111.0,4,128,8,8,10,0,0.0002787920038941,0.0500904316926015,0.0234880964303812,False,False,False,True,ReLU,2,64,Tanh,64,2,Adam,Adam,0.0001
-111.0,4,500,4,12,100,0,0.0874086237014879,0.0988042885596566,0.0714657535153947,False,False,True,True,ReLU,2,512,ReLU,128,2,Adam,SGD,0.0001
-111.0,4,256,4,8,100,0,0.0997570287622622,0.0003562117460883,0.0720920360833912,True,False,False,True,ReLU,4,128,ReLU,512,2,SGD,SGD,1e-08
-111.0,4,128,8,4,50,0,0.0001086053623789,0.0001453799616873,0.0036968650926404,True,False,True,True,ReLU,4,64,ReLU,128,2,Adam,Adam,0.0001
-111.0,4,128,16,4,100,0,0.0906665297751493,0.0535503475023336,0.0006609743966549,False,False,False,True,ReLU,2,128,Tanh,128,4,SGD,Adam,0.0001
-111.0,4,256,4,8,100,0,0.0141133273251912,0.001314152204824,0.0573898011098112,False,False,False,True,ReLU,2,512,Sigmoid,64,4,Adam,SGD,0.0001
-111.0,4,256,8,8,10,0,0.0743552444756197,0.0012058594254994,0.003301880621204,False,False,False,True,ReLU,4,128,ReLU,64,4,Adam,Adam,1e-08
-111.0,4,256,4,4,50,0,0.0464167781014315,0.0014450700466168,0.0030616785771827,True,False,True,True,ReLU,4,512,ReLU,64,4,Adam,SGD,0.0001
-111.0,4,500,8,4,50,0,0.000803446947428,0.0591736885561859,0.0015901370352191,False,False,True,True,ReLU,2,512,ReLU,64,2,Adam,Adam,1e-08
-111.0,4,128,4,4,50,0,0.0933331640786268,0.0001679556793411,0.0058175524903476,False,False,False,True,Sigmoid,4,512,Tanh,128,2,Adam,Adam,1e-08
-111.0,4,256,4,8,50,0,0.0002395448274934,0.0022544077552072,0.0125354606900285,False,False,True,True,Tanh,2,128,ReLU,128,2,SGD,Adam,0.0001
-111.0,4,128,16,8,50,0,0.0688293188701335,0.0002124287949669,0.0121336331949247,False,False,False,True,Sigmoid,4,512,Tanh,128,2,Adam,Adam,0.0001
-111.0,4,256,4,12,100,0,0.0840188451667836,0.0003052015474506,0.0018257109297361,False,False,True,True,ReLU,4,64,ReLU,64,2,Adam,SGD,1e-08
-111.0,4,256,8,8,100,0,0.0540776317584516,0.0002868717018528,0.0055728018535938,False,False,False,True,ReLU,2,64,Sigmoid,64,4,Adam,SGD,1e-08
-111.0,4,128,8,8,50,0,0.01245800822212,0.0235311614953546,0.0051651177586471,False,False,True,True,Tanh,2,128,ReLU,128,4,SGD,SGD,0.0001
-111.0,4,256,8,4,50,0,0.0056213893974831,0.0001045721613293,0.0013618044456701,False,False,True,True,ReLU,2,512,Tanh,128,2,Adam,SGD,1e-08
-111.0,4,256,4,12,50,0,0.0050875409886877,0.013140551744506,0.0085654026065584,True,False,True,True,ReLU,4,512,ReLU,128,4,Adam,SGD,0.0001
-111.0,4,256,16,12,50,0,0.0417848021490262,0.0010072863911602,0.0006909419600631,False,False,True,True,ReLU,2,64,ReLU,64,4,Adam,SGD,1e-08
-111.0,4,128,8,4,100,0,0.0622842693284836,0.0001431869878432,0.0001005384530431,False,False,False,True,ReLU,4,64,ReLU,512,4,Adam,SGD,0.0001
-111.0,4,500,8,8,100,0,0.0998131323113409,0.0069759722385584,0.0760190378652312,False,False,False,True,Tanh,2,64,ReLU,64,2,SGD,SGD,0.0001
-111.0,4,128,4,8,100,0,0.0998448038366706,0.0004420850729514,0.0292395271467219,False,False,False,True,Sigmoid,2,128,Tanh,512,2,SGD,SGD,0.0001
-111.0,4,256,4,4,10,0,0.000119772170417,0.0061727231493136,0.0911103397354993,True,False,False,True,Sigmoid,4,128,Tanh,512,2,SGD,Adam,0.0001
-111.0,4,256,16,4,100,0,0.0779183645934434,0.0527388935156057,0.0048304953747977,False,False,True,True,ReLU,4,512,ReLU,512,2,Adam,SGD,1e-08
