trial_id,reward,timestamp,checkpoint_dir_name,done,training_iteration,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,experiment_tag,config/exp_name,config/seed,config/torch_deterministic,config/cuda,config/track,config/wandb_project_name,config/wandb_entity,config/capture_video,config/env_id,config/total_timesteps,config/num_updates,config/buffer_size,config/update_epochs,config/update_policy_epochs,config/num_rollouts,config/num_envs,config/gamma,config/policy_lr_start,config/q_lr_start,config/q_lr_end,config/policy_lr_end,config/alpha,config/eta,config/beta,config/autotune,config/target_entropy_scale,config/use_linear_schedule,config/anneal_lr,config/saddle_point_optimization,config/use_kl_loss,config/__trial_index__
7d35e207,-60.29922146615531,1712520993,,True,50,2024-04-07_22-16-33,0.9337279796600342,46.94874095916748,45455,Nicolass-iMac.technicolor.net,127.0.0.1,46.94874095916748,50,"172_trial_index=0,alpha=0.5000,anneal_lr=False,autotune=False,beta=0.1000,buffer_size=10000,capture_video=False,cuda=True,env_id=LunarLander-v2,eta=None,exp_name=QREPS,gamma=0.9900,num_envs=4,num_rollouts=1,num_updates=50,policy_lr_end=0,policy_lr_start=0.0025,q_lr_end=0,q_lr_start=0.0025,saddle_point_optimization=True,seed=1,target_entropy_scale=0.8900,torch_deterministic=True,total_timesteps=1000,track=False,update_epochs=5,update_policy_epochs=300,use_kl_loss=False,use_linear_schedule=False,wandb_entity=TFG,wandb_project_name=QREPS_CartPole-v1",QREPS,1,True,True,False,QREPS_CartPole-v1,TFG,False,LunarLander-v2,1000,50,10000,5,300,1,4,0.99,0.0025,0.0025,0,0,0.5,,0.1,False,0.89,False,False,True,False,0
92548eb2,-16.284695786694304,1712521010,,True,50,2024-04-07_22-16-50,0.6073117256164551,62.42220759391785,45456,Nicolass-iMac.technicolor.net,127.0.0.1,62.42220759391785,50,"173_trial_index=0,alpha=4.0000,anneal_lr=False,autotune=True,beta=0.1000,buffer_size=10000,capture_video=False,cuda=True,env_id=LunarLander-v2,eta=None,exp_name=QREPS,gamma=0.9900,num_envs=6,num_rollouts=1,num_updates=50,policy_lr_end=0,policy_lr_start=0.0025,q_lr_end=0,q_lr_start=0.0200,saddle_point_optimization=True,seed=1,target_entropy_scale=0.2000,torch_deterministic=True,total_timesteps=1000,track=False,update_epochs=5,update_policy_epochs=450,use_kl_loss=True,use_linear_schedule=False,wandb_entity=TFG,wandb_project_name=QREPS_CartPole-v1",QREPS,1,True,True,False,QREPS_CartPole-v1,TFG,False,LunarLander-v2,1000,50,10000,5,450,1,6,0.99,0.0025,0.02,0,0,4.0,,0.1,True,0.2,False,False,True,True,0
34b48d2a,-1000.0,1712520967,,True,12,2024-04-07_22-16-07,0.2210831642150879,18.040976524353027,45460,Nicolass-iMac.technicolor.net,127.0.0.1,18.040976524353027,12,"174_trial_index=0,alpha=2.0000,anneal_lr=True,autotune=True,beta=0.0000,buffer_size=10000,capture_video=False,cuda=True,env_id=LunarLander-v2,eta=None,exp_name=QREPS,gamma=0.9900,num_envs=4,num_rollouts=1,num_updates=50,policy_lr_end=0,policy_lr_start=0.1000,q_lr_end=0,q_lr_start=0.0200,saddle_point_optimization=True,seed=1,target_entropy_scale=0.2000,torch_deterministic=True,total_timesteps=1000,track=False,update_epochs=100,update_policy_epochs=450,use_kl_loss=True,use_linear_schedule=False,wandb_entity=TFG,wandb_project_name=QREPS_CartPole-v1",QREPS,1,True,True,False,QREPS_CartPole-v1,TFG,False,LunarLander-v2,1000,50,10000,100,450,1,4,0.99,0.1,0.02,0,0,2.0,,4e-05,True,0.2,False,True,True,True,0
27b92849,-40.39466628754098,1712521011,,True,50,2024-04-07_22-16-51,0.5135622024536133,59.696319341659546,45461,Nicolass-iMac.technicolor.net,127.0.0.1,59.696319341659546,50,"175_trial_index=0,alpha=0.5000,anneal_lr=False,autotune=False,beta=0.0020,buffer_size=10000,capture_video=False,cuda=True,env_id=LunarLander-v2,eta=None,exp_name=QREPS,gamma=0.9900,num_envs=4,num_rollouts=1,num_updates=50,policy_lr_end=0,policy_lr_start=0.0025,q_lr_end=0,q_lr_start=0.0200,saddle_point_optimization=True,seed=1,target_entropy_scale=0.2000,torch_deterministic=True,total_timesteps=1000,track=False,update_epochs=5,update_policy_epochs=450,use_kl_loss=True,use_linear_schedule=False,wandb_entity=TFG,wandb_project_name=QREPS_CartPole-v1",QREPS,1,True,True,False,QREPS_CartPole-v1,TFG,False,LunarLander-v2,1000,50,10000,5,450,1,4,0.99,0.0025,0.02,0,0,0.5,,0.002,False,0.2,False,False,True,True,0
30009c66,-34.249527214333,1712520965,,True,50,2024-04-07_22-16-05,0.12166500091552734,11.35647177696228,45462,Nicolass-iMac.technicolor.net,127.0.0.1,11.35647177696228,50,"176_trial_index=0,alpha=2.0000,anneal_lr=False,autotune=True,beta=0.0100,buffer_size=10000,capture_video=False,cuda=True,env_id=LunarLander-v2,eta=None,exp_name=QREPS,gamma=0.9900,num_envs=6,num_rollouts=1,num_updates=50,policy_lr_end=0,policy_lr_start=0.0025,q_lr_end=0,q_lr_start=0.0200,saddle_point_optimization=True,seed=1,target_entropy_scale=0.2000,torch_deterministic=True,total_timesteps=1000,track=False,update_epochs=5,update_policy_epochs=50,use_kl_loss=False,use_linear_schedule=False,wandb_entity=TFG,wandb_project_name=QREPS_CartPole-v1",QREPS,1,True,True,False,QREPS_CartPole-v1,TFG,False,LunarLander-v2,1000,50,10000,5,50,1,6,0.99,0.0025,0.02,0,0,2.0,,0.01,True,0.2,False,False,True,False,0
3fabb745,-22.098402800367502,1712521008,,True,50,2024-04-07_22-16-48,0.6142599582672119,51.071690797805786,45469,Nicolass-iMac.technicolor.net,127.0.0.1,51.071690797805786,50,"177_trial_index=0,alpha=6,anneal_lr=False,autotune=True,beta=0.0000,buffer_size=10000,capture_video=False,cuda=True,env_id=LunarLander-v2,eta=None,exp_name=QREPS,gamma=0.9900,num_envs=4,num_rollouts=1,num_updates=50,policy_lr_end=0,policy_lr_start=0.1000,q_lr_end=0,q_lr_start=0.0200,saddle_point_optimization=True,seed=1,target_entropy_scale=0.8900,torch_deterministic=True,total_timesteps=1000,track=False,update_epochs=5,update_policy_epochs=450,use_kl_loss=True,use_linear_schedule=False,wandb_entity=TFG,wandb_project_name=QREPS_CartPole-v1",QREPS,1,True,True,False,QREPS_CartPole-v1,TFG,False,LunarLander-v2,1000,50,10000,5,450,1,4,0.99,0.1,0.02,0,0,6.0,,4e-05,True,0.89,False,False,True,True,0
f827bb88,-73.05723432610763,1712521011,,True,50,2024-04-07_22-16-51,0.5337722301483154,51.85773158073425,45482,Nicolass-iMac.technicolor.net,127.0.0.1,51.85773158073425,50,"178_trial_index=0,alpha=6,anneal_lr=False,autotune=False,beta=0.1000,buffer_size=10000,capture_video=False,cuda=True,env_id=LunarLander-v2,eta=None,exp_name=QREPS,gamma=0.9900,num_envs=6,num_rollouts=1,num_updates=50,policy_lr_end=0,policy_lr_start=0.1000,q_lr_end=0,q_lr_start=0.0200,saddle_point_optimization=True,seed=1,target_entropy_scale=0.3500,torch_deterministic=True,total_timesteps=1000,track=False,update_epochs=5,update_policy_epochs=450,use_kl_loss=True,use_linear_schedule=False,wandb_entity=TFG,wandb_project_name=QREPS_CartPole-v1",QREPS,1,True,True,False,QREPS_CartPole-v1,TFG,False,LunarLander-v2,1000,50,10000,5,450,1,6,0.99,0.1,0.02,0,0,6.0,,0.1,False,0.35,False,False,True,True,0
08bc9a25,-135.4736691853969,1712521029,,True,50,2024-04-07_22-17-09,0.8409860134124756,66.46101498603821,45483,Nicolass-iMac.technicolor.net,127.0.0.1,66.46101498603821,50,"179_trial_index=0,alpha=2,anneal_lr=False,autotune=True,beta=0.0000,buffer_size=10000,capture_video=False,cuda=True,env_id=LunarLander-v2,eta=None,exp_name=QREPS,gamma=0.9900,num_envs=1,num_rollouts=1,num_updates=50,policy_lr_end=0,policy_lr_start=0.0025,q_lr_end=0,q_lr_start=0.0200,saddle_point_optimization=True,seed=1,target_entropy_scale=0.8900,torch_deterministic=True,total_timesteps=1000,track=False,update_epochs=100,update_policy_epochs=450,use_kl_loss=True,use_linear_schedule=False,wandb_entity=TFG,wandb_project_name=QREPS_CartPole-v1",QREPS,1,True,True,False,QREPS_CartPole-v1,TFG,False,LunarLander-v2,1000,50,10000,100,450,1,1,0.99,0.0025,0.02,0,0,2.0,,4e-05,True,0.89,False,False,True,True,0
00234cb8,-115.28354957843203,1712521107,,True,50,2024-04-07_22-18-27,0.944720983505249,71.62160110473633,45535,Nicolass-iMac.technicolor.net,127.0.0.1,71.62160110473633,50,"180_trial_index=0,alpha=2,anneal_lr=False,autotune=False,beta=0.0000,buffer_size=10000,capture_video=False,cuda=True,env_id=LunarLander-v2,eta=None,exp_name=QREPS,gamma=0.9900,num_envs=1,num_rollouts=1,num_updates=50,policy_lr_end=0,policy_lr_start=0.0025,q_lr_end=0,q_lr_start=0.0200,saddle_point_optimization=True,seed=1,target_entropy_scale=0.8900,torch_deterministic=True,total_timesteps=1000,track=False,update_epochs=100,update_policy_epochs=450,use_kl_loss=True,use_linear_schedule=False,wandb_entity=TFG,wandb_project_name=QREPS_CartPole-v1",QREPS,1,True,True,False,QREPS_CartPole-v1,TFG,False,LunarLander-v2,1000,50,10000,100,450,1,1,0.99,0.0025,0.02,0,0,2.0,,4e-05,False,0.89,False,False,True,True,0
a3279b1a,-464.54540908791097,1712521076,,True,50,2024-04-07_22-17-56,0.7103939056396484,39.66270709037781,45536,Nicolass-iMac.technicolor.net,127.0.0.1,39.66270709037781,50,"181_trial_index=0,alpha=2,anneal_lr=False,autotune=False,beta=0.0000,buffer_size=10000,capture_video=False,cuda=True,env_id=LunarLander-v2,eta=None,exp_name=QREPS,gamma=0.9900,num_envs=1,num_rollouts=1,num_updates=50,policy_lr_end=0,policy_lr_start=0.1000,q_lr_end=0,q_lr_start=0.0200,saddle_point_optimization=True,seed=1,target_entropy_scale=0.8900,torch_deterministic=True,total_timesteps=1000,track=False,update_epochs=100,update_policy_epochs=50,use_kl_loss=True,use_linear_schedule=False,wandb_entity=TFG,wandb_project_name=QREPS_CartPole-v1",QREPS,1,True,True,False,QREPS_CartPole-v1,TFG,False,LunarLander-v2,1000,50,10000,100,50,1,1,0.99,0.1,0.02,0,0,2.0,,4e-05,False,0.89,False,False,True,True,0
