"Step","charts/episodic_return","LunarLander-v2__dqn__2__1712515369 - charts/episodic_return__MIN","LunarLander-v2__dqn__2__1712515369 - charts/episodic_return__MAX"
"1","-210.7484130859375","-210.7484130859375","-210.7484130859375"
"2","-166.3968505859375","-166.3968505859375","-166.3968505859375"
"3","-97.31050109863281","-97.31050109863281","-97.31050109863281"
"4","-183.27325439453125","-183.27325439453125","-183.27325439453125"
"5","-120.32894897460938","-120.32894897460938","-120.32894897460938"
"6","-317.7268371582031","-317.7268371582031","-317.7268371582031"
"7","-105.50922393798828","-105.50922393798828","-105.50922393798828"
"8","-238.70166015625","-238.70166015625","-238.70166015625"
"9","-159.28402709960938","-159.28402709960938","-159.28402709960938"
"10","-107.71138000488281","-107.71138000488281","-107.71138000488281"
"11","-160.52694702148438","-160.52694702148438","-160.52694702148438"
"12","-271.1311950683594","-271.1311950683594","-271.1311950683594"
"13","-282.2035827636719","-282.2035827636719","-282.2035827636719"
"14","-199.78213500976562","-199.78213500976562","-199.78213500976562"
"15","-259.0771484375","-259.0771484375","-259.0771484375"
"16","-69.57272338867188","-69.57272338867188","-69.57272338867188"
"17","-163.43804931640625","-163.43804931640625","-163.43804931640625"
"18","-189.04566955566406","-189.04566955566406","-189.04566955566406"
"19","-92.49160766601562","-92.49160766601562","-92.49160766601562"
"20","-145.88275146484375","-145.88275146484375","-145.88275146484375"
"21","-102.80770111083984","-102.80770111083984","-102.80770111083984"
"22","-445.33465576171875","-445.33465576171875","-445.33465576171875"
"23","-266.39630126953125","-266.39630126953125","-266.39630126953125"
"24","-329.77239990234375","-329.77239990234375","-329.77239990234375"
"25","-199.36514282226562","-199.36514282226562","-199.36514282226562"
"26","-139.44219970703125","-139.44219970703125","-139.44219970703125"
"27","-64.89189147949219","-64.89189147949219","-64.89189147949219"
"28","-18.542266845703125","-18.542266845703125","-18.542266845703125"
"29","-173.64930725097656","-173.64930725097656","-173.64930725097656"
"30","-498.7741394042969","-498.7741394042969","-498.7741394042969"
"31","-451.74554443359375","-451.74554443359375","-451.74554443359375"
"32","-122.60250091552734","-122.60250091552734","-122.60250091552734"
"33","-348.9044189453125","-348.9044189453125","-348.9044189453125"
"34","-100.63165283203125","-100.63165283203125","-100.63165283203125"
"35","-107.27070617675781","-107.27070617675781","-107.27070617675781"
"36","-131.3631591796875","-131.3631591796875","-131.3631591796875"
"37","-180.08172607421875","-180.08172607421875","-180.08172607421875"
"38","-39.50415802001953","-39.50415802001953","-39.50415802001953"
"39","-93.22357177734375","-93.22357177734375","-93.22357177734375"
"40","-361.0827331542969","-361.0827331542969","-361.0827331542969"
"41","-215.26251220703125","-215.26251220703125","-215.26251220703125"
"42","-410.6880187988281","-410.6880187988281","-410.6880187988281"
"43","-160.26673889160156","-160.26673889160156","-160.26673889160156"
