"Step","charts/episodic_return","LunarLander-v2__dqn__4__1712515847 - charts/episodic_return__MIN","LunarLander-v2__dqn__4__1712515847 - charts/episodic_return__MAX"
"1","-195.884033203125","-195.884033203125","-195.884033203125"
"2","-103.99014282226562","-103.99014282226562","-103.99014282226562"
"3","-34.88899230957031","-34.88899230957031","-34.88899230957031"
"4","-83.82733154296875","-83.82733154296875","-83.82733154296875"
"5","-181.15914916992188","-181.15914916992188","-181.15914916992188"
"6","-93.22142791748047","-93.22142791748047","-93.22142791748047"
"7","-360.3473815917969","-360.3473815917969","-360.3473815917969"
"8","-102.17054748535156","-102.17054748535156","-102.17054748535156"
"9","-282.7401123046875","-282.7401123046875","-282.7401123046875"
"10","-84.06529235839844","-84.06529235839844","-84.06529235839844"
"11","-216.34898376464844","-216.34898376464844","-216.34898376464844"
"12","-126.57294464111328","-126.57294464111328","-126.57294464111328"
"13","-136.8390655517578","-136.8390655517578","-136.8390655517578"
"14","-140.1333465576172","-140.1333465576172","-140.1333465576172"
"15","-110.55120849609375","-110.55120849609375","-110.55120849609375"
"16","-342.8592529296875","-342.8592529296875","-342.8592529296875"
"17","-256.274169921875","-256.274169921875","-256.274169921875"
"18","-109.0709228515625","-109.0709228515625","-109.0709228515625"
"19","-130.12936401367188","-130.12936401367188","-130.12936401367188"
"20","-100.64591217041016","-100.64591217041016","-100.64591217041016"
"21","-118.28472900390625","-118.28472900390625","-118.28472900390625"
"22","35.1893310546875","35.1893310546875","35.1893310546875"
"23","-280.49298095703125","-280.49298095703125","-280.49298095703125"
"24","17.069503784179688","17.069503784179688","17.069503784179688"
"25","-204.45120239257812","-204.45120239257812","-204.45120239257812"
"26","-99.43428039550781","-99.43428039550781","-99.43428039550781"
"27","-73.06837463378906","-73.06837463378906","-73.06837463378906"
"28","-143.1002655029297","-143.1002655029297","-143.1002655029297"
"29","-259.02325439453125","-259.02325439453125","-259.02325439453125"
"30","-520.7203979492188","-520.7203979492188","-520.7203979492188"
"31","-120.4812240600586","-120.4812240600586","-120.4812240600586"
"32","-287.357421875","-287.357421875","-287.357421875"
"33","-350.26373291015625","-350.26373291015625","-350.26373291015625"
"34","-167.68679809570312","-167.68679809570312","-167.68679809570312"
"35","-176.42184448242188","-176.42184448242188","-176.42184448242188"
"36","-413.8884582519531","-413.8884582519531","-413.8884582519531"
"37","-150.0607452392578","-150.0607452392578","-150.0607452392578"
"38","-179.13262939453125","-179.13262939453125","-179.13262939453125"
"39","-38.79067611694336","-38.79067611694336","-38.79067611694336"
"40","-381.353759765625","-381.353759765625","-381.353759765625"
"41","-53.74629592895508","-53.74629592895508","-53.74629592895508"
"42","-97.08007049560547","-97.08007049560547","-97.08007049560547"
"43","-118.24920654296875","-118.24920654296875","-118.24920654296875"
"44","-290.9856262207031","-290.9856262207031","-290.9856262207031"
"45","-274.93048095703125","-274.93048095703125","-274.93048095703125"
"46","-175.7025604248047","-175.7025604248047","-175.7025604248047"
"47","-150.4270782470703","-150.4270782470703","-150.4270782470703"
"48","-187.5889434814453","-187.5889434814453","-187.5889434814453"
"49","-39.26003646850586","-39.26003646850586","-39.26003646850586"
"50","-261.64971923828125","-261.64971923828125","-261.64971923828125"
"51","-102.29899597167969","-102.29899597167969","-102.29899597167969"
"52","-165.90090942382812","-165.90090942382812","-165.90090942382812"
"53","-116.51528930664062","-116.51528930664062","-116.51528930664062"
"54","-99.21817016601562","-99.21817016601562","-99.21817016601562"
"55","-90.0788345336914","-90.0788345336914","-90.0788345336914"
"56","-283.5697937011719","-283.5697937011719","-283.5697937011719"
"57","-427.3767395019531","-427.3767395019531","-427.3767395019531"
"58","-146.83609008789062","-146.83609008789062","-146.83609008789062"
"59","-107.5782241821289","-107.5782241821289","-107.5782241821289"
"60","24.476348876953125","24.476348876953125","24.476348876953125"
"61","-247.67327880859375","-247.67327880859375","-247.67327880859375"
"62","-85.50675964355469","-85.50675964355469","-85.50675964355469"
"63","-105.27922058105469","-105.27922058105469","-105.27922058105469"
"64","-334.04254150390625","-334.04254150390625","-334.04254150390625"
"65","-331.8314208984375","-331.8314208984375","-331.8314208984375"
"66","-362.7032165527344","-362.7032165527344","-362.7032165527344"
"67","-68.69930267333984","-68.69930267333984","-68.69930267333984"
"68","-166.1082000732422","-166.1082000732422","-166.1082000732422"
"69","-104.49659729003906","-104.49659729003906","-104.49659729003906"
"70","-128.1795654296875","-128.1795654296875","-128.1795654296875"
"71","-72.77264404296875","-72.77264404296875","-72.77264404296875"
"72","-163.69064331054688","-163.69064331054688","-163.69064331054688"
"73","-310.29583740234375","-310.29583740234375","-310.29583740234375"
"74","-136.0238037109375","-136.0238037109375","-136.0238037109375"
"75","-206.8455810546875","-206.8455810546875","-206.8455810546875"
"76","-234.03463745117188","-234.03463745117188","-234.03463745117188"
"77","-130.87017822265625","-130.87017822265625","-130.87017822265625"
"78","-149.53848266601562","-149.53848266601562","-149.53848266601562"
"79","-74.45987701416016","-74.45987701416016","-74.45987701416016"
"80","-104.12226104736328","-104.12226104736328","-104.12226104736328"
"81","-271.55169677734375","-271.55169677734375","-271.55169677734375"
"82","-100.9636459350586","-100.9636459350586","-100.9636459350586"
"83","-208.9130096435547","-208.9130096435547","-208.9130096435547"
"84","-52.992984771728516","-52.992984771728516","-52.992984771728516"
"85","-58.5162353515625","-58.5162353515625","-58.5162353515625"
"86","-226.038818359375","-226.038818359375","-226.038818359375"
"87","-139.05996704101562","-139.05996704101562","-139.05996704101562"
"88","-145.0361785888672","-145.0361785888672","-145.0361785888672"
"89","-118.8699722290039","-118.8699722290039","-118.8699722290039"
"90","-156.59280395507812","-156.59280395507812","-156.59280395507812"
"91","-256.250244140625","-256.250244140625","-256.250244140625"
"92","-119.61622619628906","-119.61622619628906","-119.61622619628906"
"93","-124.04784393310547","-124.04784393310547","-124.04784393310547"
"94","-75.1640396118164","-75.1640396118164","-75.1640396118164"
"95","-70.4430160522461","-70.4430160522461","-70.4430160522461"
"96","-298.816650390625","-298.816650390625","-298.816650390625"
"97","-174.00567626953125","-174.00567626953125","-174.00567626953125"
"98","-111.94578552246094","-111.94578552246094","-111.94578552246094"
"99","-115.42550659179688","-115.42550659179688","-115.42550659179688"
"100","-231.5939178466797","-231.5939178466797","-231.5939178466797"
"101","-330.416015625","-330.416015625","-330.416015625"
"102","-351.9928283691406","-351.9928283691406","-351.9928283691406"
"103","-371.0855407714844","-371.0855407714844","-371.0855407714844"
"104","-202.61172485351562","-202.61172485351562","-202.61172485351562"
"105","-176.39688110351562","-176.39688110351562","-176.39688110351562"
