"Step","charts/episodic_return","LunarLander-v2__dqn__1__1712514173 - charts/episodic_return__MIN","LunarLander-v2__dqn__1__1712514173 - charts/episodic_return__MAX"
"1","-139.15341186523438","-139.15341186523438","-139.15341186523438"
"2","-94.2406005859375","-94.2406005859375","-94.2406005859375"
"3","-100.2840576171875","-100.2840576171875","-100.2840576171875"
"4","-303.8861389160156","-303.8861389160156","-303.8861389160156"
"5","-62.22504806518555","-62.22504806518555","-62.22504806518555"
"6","-271.8992919921875","-271.8992919921875","-271.8992919921875"
"7","-140.36868286132812","-140.36868286132812","-140.36868286132812"
"8","-284.95550537109375","-284.95550537109375","-284.95550537109375"
"9","-265.812744140625","-265.812744140625","-265.812744140625"
"10","-110.02079772949219","-110.02079772949219","-110.02079772949219"
"11","-451.5138854980469","-451.5138854980469","-451.5138854980469"
"12","-84.55951690673828","-84.55951690673828","-84.55951690673828"
"13","-257.0074462890625","-257.0074462890625","-257.0074462890625"
"14","-319.6318054199219","-319.6318054199219","-319.6318054199219"
"15","-103.78453063964844","-103.78453063964844","-103.78453063964844"
"16","-305.0556640625","-305.0556640625","-305.0556640625"
"17","-128.97067260742188","-128.97067260742188","-128.97067260742188"
"18","-121.55792236328125","-121.55792236328125","-121.55792236328125"
"19","-412.75164794921875","-412.75164794921875","-412.75164794921875"
"20","-361.76715087890625","-361.76715087890625","-361.76715087890625"
"21","-210.4845733642578","-210.4845733642578","-210.4845733642578"
"22","-449.2497863769531","-449.2497863769531","-449.2497863769531"
"23","-104.5820541381836","-104.5820541381836","-104.5820541381836"
"24","-95.10323333740234","-95.10323333740234","-95.10323333740234"
"25","-338.5382080078125","-338.5382080078125","-338.5382080078125"
"26","-234.2548065185547","-234.2548065185547","-234.2548065185547"
"27","-472.793701171875","-472.793701171875","-472.793701171875"
"28","-292.64300537109375","-292.64300537109375","-292.64300537109375"
"29","-137.9091339111328","-137.9091339111328","-137.9091339111328"
"30","-233.10435485839844","-233.10435485839844","-233.10435485839844"
"31","-72.65331268310547","-72.65331268310547","-72.65331268310547"
"32","-258.065185546875","-258.065185546875","-258.065185546875"
"33","-88.5377426147461","-88.5377426147461","-88.5377426147461"
"34","-121.66290283203125","-121.66290283203125","-121.66290283203125"
"35","-95.45521545410156","-95.45521545410156","-95.45521545410156"
