"Step","charts/episodic_return","LunarLander-v2__dqn__0__1712514053 - charts/episodic_return__MIN","LunarLander-v2__dqn__0__1712514053 - charts/episodic_return__MAX"
"1","-189.9627227783203","-189.9627227783203","-189.9627227783203"
"2","-82.30729675292969","-82.30729675292969","-82.30729675292969"
"3","-402.7288513183594","-402.7288513183594","-402.7288513183594"
"4","-229.9656524658203","-229.9656524658203","-229.9656524658203"
"5","-284.70556640625","-284.70556640625","-284.70556640625"
"6","-116.94767761230469","-116.94767761230469","-116.94767761230469"
"7","-192.6339111328125","-192.6339111328125","-192.6339111328125"
"8","-274.18121337890625","-274.18121337890625","-274.18121337890625"
"9","-243.05430603027344","-243.05430603027344","-243.05430603027344"
"10","-24.990371704101562","-24.990371704101562","-24.990371704101562"
"11","-129.38499450683594","-129.38499450683594","-129.38499450683594"
"12","-110.27670288085938","-110.27670288085938","-110.27670288085938"
"13","-100.07445526123047","-100.07445526123047","-100.07445526123047"
"14","-171.31661987304688","-171.31661987304688","-171.31661987304688"
"15","-174.77883911132812","-174.77883911132812","-174.77883911132812"
"16","-276.6473083496094","-276.6473083496094","-276.6473083496094"
"17","-228.83517456054688","-228.83517456054688","-228.83517456054688"
"18","-120.09288024902344","-120.09288024902344","-120.09288024902344"
"19","-93.86505889892578","-93.86505889892578","-93.86505889892578"
"20","-113.47831726074219","-113.47831726074219","-113.47831726074219"
"21","-95.44084930419922","-95.44084930419922","-95.44084930419922"
"22","-164.41746520996094","-164.41746520996094","-164.41746520996094"
"23","-95.09408569335938","-95.09408569335938","-95.09408569335938"
"24","-145.3809814453125","-145.3809814453125","-145.3809814453125"
"25","-88.15999603271484","-88.15999603271484","-88.15999603271484"
"26","-140.8325958251953","-140.8325958251953","-140.8325958251953"
"27","-83.31768798828125","-83.31768798828125","-83.31768798828125"
"28","-184.16197204589844","-184.16197204589844","-184.16197204589844"
"29","-237.9473876953125","-237.9473876953125","-237.9473876953125"
"30","-386.97650146484375","-386.97650146484375","-386.97650146484375"
"31","-105.3887939453125","-105.3887939453125","-105.3887939453125"
"32","-147.53433227539062","-147.53433227539062","-147.53433227539062"
"33","-474.62713623046875","-474.62713623046875","-474.62713623046875"
"34","-257.1854553222656","-257.1854553222656","-257.1854553222656"
"35","-114.42375183105469","-114.42375183105469","-114.42375183105469"
"36","-129.015869140625","-129.015869140625","-129.015869140625"
"37","-314.5265808105469","-314.5265808105469","-314.5265808105469"
"38","-379.93505859375","-379.93505859375","-379.93505859375"
"39","-236.5057830810547","-236.5057830810547","-236.5057830810547"
"40","-308.1121826171875","-308.1121826171875","-308.1121826171875"
"41","-371.3913879394531","-371.3913879394531","-371.3913879394531"
