Alpha,Q Learning Rate,Policy Learning Rate,Update Epochs,Update Policy Epochs,Gamma,Num Envs,Reward
0.2,0.0025,0.025,50,50,0.99,2,10.0
0.2,0.0025,0.025,50,50,0.99,5,25.4
0.2,0.0025,0.025,50,50,1.0,5,32.0
0.2,0.0025,0.025,50,300,0.99,2,9.0
0.2,0.0025,0.025,50,300,0.99,5,30.0
0.2,0.0025,0.025,50,300,1.0,2,13.0
0.2,0.0025,0.025,50,300,1.0,5,54.8
0.2,0.0025,0.025,50,450,0.99,2,9.0
0.2,0.0025,0.025,50,450,1.0,5,35.2
0.2,0.0025,0.025,300,50,0.99,2,19.8
0.2,0.0025,0.025,300,50,0.99,5,32.4
0.2,0.0025,0.025,300,300,0.99,2,84.0
0.2,0.0025,0.025,300,450,1.0,5,26.0
0.2,0.0025,0.0025,50,50,0.99,1,23.0
0.2,0.0025,0.0025,50,50,0.99,2,12.2
0.2,0.0025,0.0025,50,50,1.0,2,25.2
0.2,0.0025,0.0025,50,50,1.0,5,24.0
0.2,0.0025,0.0025,50,300,0.99,1,24.8
0.2,0.0025,0.0025,50,300,0.99,5,18.0
0.2,0.0025,0.0025,50,300,1.0,1,33.0
0.2,0.0025,0.0025,50,300,1.0,2,9.0
0.2,0.0025,0.0025,50,300,1.0,5,18.0
0.2,0.0025,0.0025,50,450,0.99,2,11.0
0.2,0.0025,0.0025,50,450,0.99,5,14.0
0.2,0.0025,0.0025,50,450,1.0,2,10.4
0.2,0.0025,0.0025,50,450,1.0,5,16.8
0.2,0.0025,0.0025,300,50,0.99,2,16.6
0.2,0.0025,0.0025,450,450,1.0,5,23.0
0.5,0.1,0.1,50,50,0.99,1,21.6
0.5,0.1,0.1,50,50,0.99,2,17.8
0.5,0.1,0.1,50,50,0.99,5,9.0
0.5,0.1,0.1,50,300,0.99,2,9.0
0.5,0.1,0.1,50,300,0.99,5,9.0
0.5,0.1,0.1,50,450,0.99,2,9.0
0.5,0.1,0.1,50,450,0.99,5,9.0
0.5,0.1,0.1,50,450,1.0,5,9.0
0.5,0.1,0.1,300,50,1.0,2,29.0
0.5,0.1,0.1,450,300,0.99,5,45.4
0.5,0.1,0.025,50,50,0.99,2,9.0
0.5,0.1,0.025,50,50,0.99,5,12.4
0.5,0.1,0.025,50,50,1.0,2,9.0
0.5,0.1,0.025,50,50,1.0,5,15.2
0.5,0.1,0.025,50,300,0.99,2,9.0
0.5,0.1,0.025,50,300,0.99,5,19.2
0.5,0.1,0.025,50,300,1.0,1,24.0
0.5,0.1,0.025,50,300,1.0,2,24.6
0.5,0.1,0.025,50,300,1.0,5,22.0
0.5,0.1,0.025,50,450,0.99,1,172.8
0.5,0.1,0.025,50,450,0.99,2,24.2
0.5,0.1,0.025,50,450,0.99,5,9.0
0.5,0.1,0.025,50,450,1.0,1,18.0
0.5,0.1,0.025,50,450,1.0,2,16.8
0.5,0.1,0.025,50,450,1.0,5,19.2
0.5,0.1,0.025,300,50,0.99,5,35.0
0.5,0.1,0.025,300,300,1.0,5,32.4
0.5,0.1,0.025,300,450,0.99,2,43.0
0.5,0.1,0.025,300,450,1.0,2,11.2
0.5,0.1,0.025,450,50,1.0,5,39.2
0.5,0.1,0.025,450,450,1.0,2,112.0
0.5,0.1,0.0025,50,50,0.99,1,48.2
0.5,0.1,0.0025,50,50,0.99,2,64.4
0.5,0.1,0.0025,50,50,0.99,5,18.0
0.5,0.1,0.0025,50,50,1.0,1,24.0
0.5,0.1,0.0025,50,50,1.0,2,71.2
0.5,0.1,0.0025,50,50,1.0,5,35.6
0.5,0.1,0.0025,50,300,0.99,1,17.0
0.5,0.1,0.0025,50,300,0.99,2,13.0
0.5,0.1,0.0025,50,300,0.99,5,11.0
0.5,0.1,0.0025,50,300,1.0,2,75.0
0.5,0.1,0.0025,50,300,1.0,5,13.0
0.5,0.1,0.0025,50,450,0.99,1,24.0
0.5,0.1,0.0025,50,450,0.99,2,47.0
0.5,0.1,0.0025,50,450,0.99,5,13.0
0.5,0.1,0.0025,50,450,1.0,2,10.0
0.5,0.1,0.0025,50,450,1.0,5,14.0
0.5,0.1,0.0025,300,450,1.0,2,43.0
0.5,0.025,0.1,50,50,0.99,1,21.6
0.5,0.025,0.1,50,50,0.99,2,17.8
0.5,0.025,0.1,50,50,0.99,5,9.0
0.5,0.025,0.1,50,300,0.99,2,9.0
0.5,0.025,0.1,50,300,0.99,5,9.0
0.5,0.025,0.1,50,450,0.99,2,9.0
0.5,0.025,0.1,50,450,0.99,5,9.0
0.5,0.025,0.1,50,450,1.0,5,9.0
0.5,0.025,0.1,300,50,1.0,2,29.0
0.5,0.025,0.1,450,300,0.99,5,45.4
0.5,0.025,0.025,50,50,0.99,2,9.0
0.5,0.025,0.025,50,50,0.99,5,12.4
0.5,0.025,0.025,50,50,1.0,2,9.0
0.5,0.025,0.025,50,50,1.0,5,15.2
0.5,0.025,0.025,50,300,0.99,2,9.0
0.5,0.025,0.025,50,300,0.99,5,19.2
0.5,0.025,0.025,50,300,1.0,1,24.0
0.5,0.025,0.025,50,300,1.0,2,24.6
0.5,0.025,0.025,50,300,1.0,5,22.0
0.5,0.025,0.025,50,450,0.99,1,172.8
0.5,0.025,0.025,50,450,0.99,2,24.2
0.5,0.025,0.025,50,450,0.99,5,9.0
0.5,0.025,0.025,50,450,1.0,1,18.0
0.5,0.025,0.025,50,450,1.0,2,16.8
0.5,0.025,0.025,50,450,1.0,5,19.2
0.5,0.025,0.025,300,50,0.99,5,35.0
0.5,0.025,0.025,300,300,1.0,5,32.4
0.5,0.025,0.025,300,450,0.99,2,43.0
0.5,0.025,0.025,300,450,1.0,2,11.2
0.5,0.025,0.025,450,50,1.0,5,39.2
0.5,0.025,0.025,450,450,1.0,2,112.0
0.5,0.025,0.0025,50,50,0.99,1,48.2
0.5,0.025,0.0025,50,50,0.99,2,64.4
0.5,0.025,0.0025,50,50,0.99,5,18.0
0.5,0.025,0.0025,50,50,1.0,1,24.0
0.5,0.025,0.0025,50,50,1.0,2,71.2
0.5,0.025,0.0025,50,50,1.0,5,35.6
0.5,0.025,0.0025,50,300,0.99,1,17.0
0.5,0.025,0.0025,50,300,0.99,2,13.0
0.5,0.025,0.0025,50,300,0.99,5,11.0
0.5,0.025,0.0025,50,300,1.0,2,75.0
0.5,0.025,0.0025,50,300,1.0,5,13.0
0.5,0.025,0.0025,50,450,0.99,1,24.0
0.5,0.025,0.0025,50,450,0.99,2,47.0
0.5,0.025,0.0025,50,450,0.99,5,13.0
0.5,0.025,0.0025,50,450,1.0,2,10.0
0.5,0.025,0.0025,50,450,1.0,5,14.0
0.5,0.025,0.0025,300,450,1.0,2,43.0
0.5,0.0025,0.1,50,50,0.99,1,21.6
0.5,0.0025,0.1,50,50,0.99,2,17.8
0.5,0.0025,0.1,50,50,0.99,5,9.0
0.5,0.0025,0.1,50,300,0.99,2,9.0
0.5,0.0025,0.1,50,300,0.99,5,9.0
0.5,0.0025,0.1,50,450,0.99,2,9.0
0.5,0.0025,0.1,50,450,0.99,5,9.0
0.5,0.0025,0.1,50,450,1.0,5,9.0
0.5,0.0025,0.1,300,50,1.0,2,29.0
