trial_id,reward,timestamp,checkpoint_dir_name,done,training_iteration,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,experiment_tag,config/exp_name,config/seed,config/torch_deterministic,config/cuda,config/track,config/wandb_project_name,config/wandb_entity,config/capture_video,config/env_id,config/total_timesteps,config/num_envs,config/gamma,config/tau,config/eta,config/num_steps,config/update_epochs,config/target_network_frequency,config/policy_lr_start,config/q_lr_start,config/beta,config/alpha,config/use_kl_loss,config/anneal_lr,config/target_network,config/policy_activation,config/num_hidden_layers,config/hidden_size,config/q_activation,config/q_hidden_size,config/q_num_hidden_layers,config/q_optimizer,config/actor_optimizer,config/eps,config/saddle_point_optimization,config/parametrized_sampler,config/q_histogram,config/batch_size,config/num_iterations,config/__trial_index__
19efc217,9.433961868286133,1713827771,,True,25,2024-04-23_01-16-11,2.2628562450408936,52.30599617958069,79471,Nicolass-Air.technicolor.net,127.0.0.1,52.30599617958069,25,"11_trial_index=0,actor_optimizer=SGD,alpha=10,anneal_lr=False,batch_size=0,beta=0.0002,capture_video=False,cuda=True,env_id=CartPole-v1,eps=0.0001,eta=None,exp_name=QREPS,gamma=0.9900,hidden_size=64,num_envs=4,num_hidden_layers=4,num_iterations=0,num_steps=500,parametrized_sampler=False,policy_activation=ReLU,policy_lr_start=0.0173,q_activation=Tanh,q_hidden_size=64,q_histogram=False,q_lr_start=0.0013,q_num_hidden_layers=4,q_optimizer=Adam,saddle_point_optimization=True,seed=0,target_network=False,target_network_frequency=6,tau=1.0000,torch_deterministic=True,total_timesteps=50000,track=False,update_epochs=50,use_kl_loss=False,wandb_entity=None,wandb_project_name=QREPS_cleanRL",QREPS,0,True,True,False,QREPS_cleanRL,,False,CartPole-v1,50000,4,0.99,1.0,,500,50,6,0.017252199836268974,0.0012697940892853917,0.00016436339599696696,10,False,False,False,ReLU,4,64,Tanh,64,4,Adam,SGD,0.0001,True,False,False,0,0,0
e53187e5,9.283720970153809,1713827782,,True,25,2024-04-23_01-16-22,2.2259011268615723,54.71803283691406,79491,Nicolass-Air.technicolor.net,127.0.0.1,54.71803283691406,25,"12_trial_index=1,actor_optimizer=SGD,alpha=10,anneal_lr=False,batch_size=0,beta=0.0002,capture_video=False,cuda=True,env_id=CartPole-v1,eps=0.0001,eta=None,exp_name=QREPS,gamma=0.9900,hidden_size=64,num_envs=4,num_hidden_layers=4,num_iterations=0,num_steps=500,parametrized_sampler=False,policy_activation=ReLU,policy_lr_start=0.0173,q_activation=Tanh,q_hidden_size=64,q_histogram=False,q_lr_start=0.0013,q_num_hidden_layers=4,q_optimizer=Adam,saddle_point_optimization=True,seed=0,target_network=False,target_network_frequency=6,tau=1.0000,torch_deterministic=True,total_timesteps=50000,track=False,update_epochs=50,use_kl_loss=False,wandb_entity=None,wandb_project_name=QREPS_cleanRL",QREPS,0,True,True,False,QREPS_cleanRL,,False,CartPole-v1,50000,4,0.99,1.0,,500,50,6,0.017252199836268974,0.0012697940892853917,0.00016436339599696696,10,False,False,False,ReLU,4,64,Tanh,64,4,Adam,SGD,0.0001,True,False,False,0,0,1
881a5e90,14.54285717010498,1713827867,,True,97,2024-04-23_01-17-47,0.9733459949493408,130.48419046401978,79518,Nicolass-Air.technicolor.net,127.0.0.1,130.48419046401978,97,"13_trial_index=0,actor_optimizer=RMSprop,alpha=2,anneal_lr=False,batch_size=0,beta=0.0469,capture_video=False,cuda=True,env_id=CartPole-v1,eps=0.0001,eta=None,exp_name=QREPS,gamma=0.9900,hidden_size=128,num_envs=4,num_hidden_layers=4,num_iterations=0,num_steps=128,parametrized_sampler=False,policy_activation=ReLU,policy_lr_start=0.0546,q_activation=ReLU,q_hidden_size=128,q_histogram=False,q_lr_start=0.0046,q_num_hidden_layers=2,q_optimizer=Adam,saddle_point_optimization=True,seed=0,target_network=False,target_network_frequency=12,tau=1.0000,torch_deterministic=True,total_timesteps=50000,track=False,update_epochs=100,use_kl_loss=False,wandb_entity=None,wandb_project_name=QREPS_cleanRL",QREPS,0,True,True,False,QREPS_cleanRL,,False,CartPole-v1,50000,4,0.99,1.0,,128,100,12,0.05457519294518347,0.004585421026446456,0.04688649915345805,2,False,False,False,ReLU,4,128,ReLU,128,2,Adam,RMSprop,0.0001,True,False,False,0,0,0
6ee54d75,10.875,1713827869,,True,97,2024-04-23_01-17-49,0.9017500877380371,121.65880346298218,79528,Nicolass-Air.technicolor.net,127.0.0.1,121.65880346298218,97,"14_trial_index=1,actor_optimizer=RMSprop,alpha=2,anneal_lr=False,batch_size=0,beta=0.0469,capture_video=False,cuda=True,env_id=CartPole-v1,eps=0.0001,eta=None,exp_name=QREPS,gamma=0.9900,hidden_size=128,num_envs=4,num_hidden_layers=4,num_iterations=0,num_steps=128,parametrized_sampler=False,policy_activation=ReLU,policy_lr_start=0.0546,q_activation=ReLU,q_hidden_size=128,q_histogram=False,q_lr_start=0.0046,q_num_hidden_layers=2,q_optimizer=Adam,saddle_point_optimization=True,seed=0,target_network=False,target_network_frequency=12,tau=1.0000,torch_deterministic=True,total_timesteps=50000,track=False,update_epochs=100,use_kl_loss=False,wandb_entity=None,wandb_project_name=QREPS_cleanRL",QREPS,0,True,True,False,QREPS_cleanRL,,False,CartPole-v1,50000,4,0.99,1.0,,128,100,12,0.05457519294518347,0.004585421026446456,0.04688649915345805,2,False,False,False,ReLU,4,128,ReLU,128,2,Adam,RMSprop,0.0001,True,False,False,0,0,1
7c50ce7b,22.566667556762695,1713827786,,True,25,2024-04-23_01-16-26,1.2359189987182617,28.837148427963257,79552,Nicolass-Air.technicolor.net,127.0.0.1,28.837148427963257,25,"15_trial_index=0,actor_optimizer=Adam,alpha=8,anneal_lr=True,batch_size=0,beta=0.0016,capture_video=False,cuda=True,env_id=CartPole-v1,eps=0.0000,eta=None,exp_name=QREPS,gamma=0.9900,hidden_size=128,num_envs=4,num_hidden_layers=2,num_iterations=0,num_steps=500,parametrized_sampler=False,policy_activation=Tanh,policy_lr_start=0.0014,q_activation=Tanh,q_hidden_size=128,q_histogram=False,q_lr_start=0.0002,q_num_hidden_layers=4,q_optimizer=SGD,saddle_point_optimization=True,seed=0,target_network=True,target_network_frequency=6,tau=1.0000,torch_deterministic=True,total_timesteps=50000,track=False,update_epochs=10,use_kl_loss=True,wandb_entity=None,wandb_project_name=QREPS_cleanRL",QREPS,0,True,True,False,QREPS_cleanRL,,False,CartPole-v1,50000,4,0.99,1.0,,500,10,6,0.00138933280871474,0.00023774892973429002,0.001572557652852466,8,True,True,True,Tanh,2,128,Tanh,128,4,SGD,Adam,1e-08,True,False,False,0,0,0
7879da49,22.79310417175293,1713827796,,True,25,2024-04-23_01-16-36,1.2278859615325928,27.858826637268066,79565,Nicolass-Air.technicolor.net,127.0.0.1,27.858826637268066,25,"16_trial_index=1,actor_optimizer=Adam,alpha=8,anneal_lr=True,batch_size=0,beta=0.0016,capture_video=False,cuda=True,env_id=CartPole-v1,eps=0.0000,eta=None,exp_name=QREPS,gamma=0.9900,hidden_size=128,num_envs=4,num_hidden_layers=2,num_iterations=0,num_steps=500,parametrized_sampler=False,policy_activation=Tanh,policy_lr_start=0.0014,q_activation=Tanh,q_hidden_size=128,q_histogram=False,q_lr_start=0.0002,q_num_hidden_layers=4,q_optimizer=SGD,saddle_point_optimization=True,seed=0,target_network=True,target_network_frequency=6,tau=1.0000,torch_deterministic=True,total_timesteps=50000,track=False,update_epochs=10,use_kl_loss=True,wandb_entity=None,wandb_project_name=QREPS_cleanRL",QREPS,0,True,True,False,QREPS_cleanRL,,False,CartPole-v1,50000,4,0.99,1.0,,500,10,6,0.00138933280871474,0.00023774892973429002,0.001572557652852466,8,True,True,True,Tanh,2,128,Tanh,128,4,SGD,Adam,1e-08,True,False,False,0,0,1
60b26507,21.634408950805664,1713827857,,True,25,2024-04-23_01-17-37,3.0794260501861572,72.55570864677429,79589,Nicolass-Air.technicolor.net,127.0.0.1,72.55570864677429,25,"17_trial_index=0,actor_optimizer=SGD,alpha=4,anneal_lr=True,batch_size=0,beta=0.0826,capture_video=False,cuda=True,env_id=CartPole-v1,eps=0.0000,eta=None,exp_name=QREPS,gamma=0.9900,hidden_size=64,num_envs=4,num_hidden_layers=2,num_iterations=0,num_steps=500,parametrized_sampler=False,policy_activation=Tanh,policy_lr_start=0.0031,q_activation=ReLU,q_hidden_size=64,q_histogram=False,q_lr_start=0.0398,q_num_hidden_layers=2,q_optimizer=Adam,saddle_point_optimization=True,seed=0,target_network=False,target_network_frequency=6,tau=1.0000,torch_deterministic=True,total_timesteps=50000,track=False,update_epochs=100,use_kl_loss=True,wandb_entity=None,wandb_project_name=QREPS_cleanRL",QREPS,0,True,True,False,QREPS_cleanRL,,False,CartPole-v1,50000,4,0.99,1.0,,500,100,6,0.0031094530711626494,0.03982757320633607,0.08256012446501176,4,True,True,False,Tanh,2,64,ReLU,64,2,Adam,SGD,1e-08,True,False,False,0,0,0
7e1a45b8,21.33333396911621,1713827867,,True,25,2024-04-23_01-17-47,2.3577728271484375,72.78891730308533,79599,Nicolass-Air.technicolor.net,127.0.0.1,72.78891730308533,25,"18_trial_index=1,actor_optimizer=SGD,alpha=4,anneal_lr=True,batch_size=0,beta=0.0826,capture_video=False,cuda=True,env_id=CartPole-v1,eps=0.0000,eta=None,exp_name=QREPS,gamma=0.9900,hidden_size=64,num_envs=4,num_hidden_layers=2,num_iterations=0,num_steps=500,parametrized_sampler=False,policy_activation=Tanh,policy_lr_start=0.0031,q_activation=ReLU,q_hidden_size=64,q_histogram=False,q_lr_start=0.0398,q_num_hidden_layers=2,q_optimizer=Adam,saddle_point_optimization=True,seed=0,target_network=False,target_network_frequency=6,tau=1.0000,torch_deterministic=True,total_timesteps=50000,track=False,update_epochs=100,use_kl_loss=True,wandb_entity=None,wandb_project_name=QREPS_cleanRL",QREPS,0,True,True,False,QREPS_cleanRL,,False,CartPole-v1,50000,4,0.99,1.0,,500,100,6,0.0031094530711626494,0.03982757320633607,0.08256012446501176,4,True,True,False,Tanh,2,64,ReLU,64,2,Adam,SGD,1e-08,True,False,False,0,0,1
76e4b40b,9.49056625366211,1713827923,,True,97,2024-04-23_01-18-43,1.236849069595337,119.25944089889526,79616,Nicolass-Air.technicolor.net,127.0.0.1,119.25944089889526,97,"19_trial_index=0,actor_optimizer=SGD,alpha=10,anneal_lr=False,batch_size=0,beta=0.0029,capture_video=False,cuda=True,env_id=CartPole-v1,eps=0.0001,eta=None,exp_name=QREPS,gamma=0.9900,hidden_size=512,num_envs=4,num_hidden_layers=4,num_iterations=0,num_steps=128,parametrized_sampler=False,policy_activation=ReLU,policy_lr_start=0.0793,q_activation=Tanh,q_hidden_size=512,q_histogram=False,q_lr_start=0.0021,q_num_hidden_layers=4,q_optimizer=SGD,saddle_point_optimization=True,seed=0,target_network=True,target_network_frequency=12,tau=1.0000,torch_deterministic=True,total_timesteps=50000,track=False,update_epochs=10,use_kl_loss=False,wandb_entity=None,wandb_project_name=QREPS_cleanRL",QREPS,0,True,True,False,QREPS_cleanRL,,False,CartPole-v1,50000,4,0.99,1.0,,128,10,12,0.07932237413834216,0.0020667569558997885,0.002922678220327675,10,False,False,True,ReLU,4,512,Tanh,512,4,SGD,SGD,0.0001,True,False,False,0,0,0
9f8d9271,9.351851463317871,1713827930,,True,97,2024-04-23_01-18-50,1.0273301601409912,114.70245027542114,79635,Nicolass-Air.technicolor.net,127.0.0.1,114.70245027542114,97,"20_trial_index=1,actor_optimizer=SGD,alpha=10,anneal_lr=False,batch_size=0,beta=0.0029,capture_video=False,cuda=True,env_id=CartPole-v1,eps=0.0001,eta=None,exp_name=QREPS,gamma=0.9900,hidden_size=512,num_envs=4,num_hidden_layers=4,num_iterations=0,num_steps=128,parametrized_sampler=False,policy_activation=ReLU,policy_lr_start=0.0793,q_activation=Tanh,q_hidden_size=512,q_histogram=False,q_lr_start=0.0021,q_num_hidden_layers=4,q_optimizer=SGD,saddle_point_optimization=True,seed=0,target_network=True,target_network_frequency=12,tau=1.0000,torch_deterministic=True,total_timesteps=50000,track=False,update_epochs=10,use_kl_loss=False,wandb_entity=None,wandb_project_name=QREPS_cleanRL",QREPS,0,True,True,False,QREPS_cleanRL,,False,CartPole-v1,50000,4,0.99,1.0,,128,10,12,0.07932237413834216,0.0020667569558997885,0.002922678220327675,10,False,False,True,ReLU,4,512,Tanh,512,4,SGD,SGD,0.0001,True,False,False,0,0,1
