trial_id,reward,timestamp,checkpoint_dir_name,done,training_iteration,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,experiment_tag,config/exp_name,config/seed,config/torch_deterministic,config/cuda,config/track,config/wandb_project_name,config/wandb_entity,config/capture_video,config/env_id,config/eta,config/total_timesteps,config/num_envs,config/tau,config/gamma,config/num_steps,config/num_minibatches,config/alpha,config/update_epochs,config/target_network_frequency,config/beta,config/policy_lr_start,config/q_lr_start,config/use_kl_loss,config/target_network,config/anneal_lr,config/q_histogram,config/saddle_point_optimization,config/parametrized_sampler,config/policy_activation,config/num_hidden_layers,config/hidden_size,config/q_activation,config/q_hidden_size,config/q_num_hidden_layers,config/q_optimizer,config/actor_optimizer,config/eps,config/batch_size,config/minibatch_size,config/num_iterations,config/__trial_index__
23c94260,18.372726440429688,1713826046,,True,25,2024-04-23_00-47-26,5.999707221984863,128.91424036026,85177,Nicolass-iMac.technicolor.net,127.0.0.1,128.91424036026,25,"11_trial_index=0,actor_optimizer=Adam,alpha=4,anneal_lr=True,batch_size=0,beta=0.0003,capture_video=False,cuda=True,env_id=CartPole-v1,eps=0.0000,eta=None,exp_name=QREPS,gamma=0.9900,hidden_size=512,minibatch_size=0,num_envs=4,num_hidden_layers=4,num_iterations=0,num_minibatches=16,num_steps=500,parametrized_sampler=False,policy_activation=ReLU,policy_lr_start=0.0060,q_activation=ReLU,q_hidden_size=128,q_histogram=False,q_lr_start=0.0002,q_num_hidden_layers=2,q_optimizer=SGD,saddle_point_optimization=True,seed=0,target_network=True,target_network_frequency=6,tau=1.0000,torch_deterministic=True,total_timesteps=50000,track=False,update_epochs=10,use_kl_loss=True,wandb_entity=None,wandb_project_name=CC",QREPS,0,True,True,False,CC,,False,CartPole-v1,,50000,4,1.0,0.99,500,16,4,10,6,0.000340375059801809,0.006042762370005656,0.0002342576519642104,True,True,True,False,True,False,ReLU,4,512,ReLU,128,2,SGD,Adam,1e-08,0,0,0,0
e9ec2eff,18.163637161254883,1713826053,,True,25,2024-04-23_00-47-33,5.682490825653076,133.90563297271729,85180,Nicolass-iMac.technicolor.net,127.0.0.1,133.90563297271729,25,"12_trial_index=1,actor_optimizer=Adam,alpha=4,anneal_lr=True,batch_size=0,beta=0.0003,capture_video=False,cuda=True,env_id=CartPole-v1,eps=0.0000,eta=None,exp_name=QREPS,gamma=0.9900,hidden_size=512,minibatch_size=0,num_envs=4,num_hidden_layers=4,num_iterations=0,num_minibatches=16,num_steps=500,parametrized_sampler=False,policy_activation=ReLU,policy_lr_start=0.0060,q_activation=ReLU,q_hidden_size=128,q_histogram=False,q_lr_start=0.0002,q_num_hidden_layers=2,q_optimizer=SGD,saddle_point_optimization=True,seed=0,target_network=True,target_network_frequency=6,tau=1.0000,torch_deterministic=True,total_timesteps=50000,track=False,update_epochs=10,use_kl_loss=True,wandb_entity=None,wandb_project_name=CC",QREPS,0,True,True,False,CC,,False,CartPole-v1,,50000,4,1.0,0.99,500,16,4,10,6,0.000340375059801809,0.006042762370005656,0.0002342576519642104,True,True,True,False,True,False,ReLU,4,512,ReLU,128,2,SGD,Adam,1e-08,0,0,0,1
4e372ca0,-111.0,1713826057,,True,2,2024-04-23_00-47-37,0.39887285232543945,1.409024953842163,85361,Nicolass-iMac.technicolor.net,127.0.0.1,1.409024953842163,2,"13_trial_index=0,actor_optimizer=Adam,alpha=2,anneal_lr=True,batch_size=0,beta=0.0008,capture_video=False,cuda=True,env_id=CartPole-v1,eps=0.0001,eta=None,exp_name=QREPS,gamma=0.9900,hidden_size=64,minibatch_size=0,num_envs=4,num_hidden_layers=2,num_iterations=0,num_minibatches=8,num_steps=128,parametrized_sampler=False,policy_activation=ReLU,policy_lr_start=0.0004,q_activation=ReLU,q_hidden_size=128,q_histogram=False,q_lr_start=0.0223,q_num_hidden_layers=2,q_optimizer=SGD,saddle_point_optimization=True,seed=0,target_network=True,target_network_frequency=12,tau=1.0000,torch_deterministic=True,total_timesteps=50000,track=False,update_epochs=100,use_kl_loss=True,wandb_entity=None,wandb_project_name=CC",QREPS,0,True,True,False,CC,,False,CartPole-v1,,50000,4,1.0,0.99,128,8,2,100,12,0.0008080886200090657,0.0003553022565368827,0.02231625160354295,True,True,True,False,True,False,ReLU,2,64,ReLU,128,2,SGD,Adam,0.0001,0,0,0,0
a4541a4c,-111.0,1713826059,,True,2,2024-04-23_00-47-39,0.2154378890991211,0.922111988067627,85364,Nicolass-iMac.technicolor.net,127.0.0.1,0.922111988067627,2,"14_trial_index=1,actor_optimizer=Adam,alpha=2,anneal_lr=True,batch_size=0,beta=0.0008,capture_video=False,cuda=True,env_id=CartPole-v1,eps=0.0001,eta=None,exp_name=QREPS,gamma=0.9900,hidden_size=64,minibatch_size=0,num_envs=4,num_hidden_layers=2,num_iterations=0,num_minibatches=8,num_steps=128,parametrized_sampler=False,policy_activation=ReLU,policy_lr_start=0.0004,q_activation=ReLU,q_hidden_size=128,q_histogram=False,q_lr_start=0.0223,q_num_hidden_layers=2,q_optimizer=SGD,saddle_point_optimization=True,seed=0,target_network=True,target_network_frequency=12,tau=1.0000,torch_deterministic=True,total_timesteps=50000,track=False,update_epochs=100,use_kl_loss=True,wandb_entity=None,wandb_project_name=CC",QREPS,0,True,True,False,CC,,False,CartPole-v1,,50000,4,1.0,0.99,128,8,2,100,12,0.0008080886200090657,0.0003553022565368827,0.02231625160354295,True,True,True,False,True,False,ReLU,2,64,ReLU,128,2,SGD,Adam,0.0001,0,0,0,1
d2a8776d,9.436018943786621,1713826689,,True,25,2024-04-23_00-58-09,25.120381355285645,627.7800757884979,85365,Nicolass-iMac.technicolor.net,127.0.0.1,627.7800757884979,25,"15_trial_index=0,actor_optimizer=Adam,alpha=12,anneal_lr=False,batch_size=0,beta=0.0888,capture_video=False,cuda=True,env_id=CartPole-v1,eps=0.0000,eta=None,exp_name=QREPS,gamma=0.9900,hidden_size=128,minibatch_size=0,num_envs=4,num_hidden_layers=4,num_iterations=0,num_minibatches=8,num_steps=500,parametrized_sampler=False,policy_activation=Tanh,policy_lr_start=0.0886,q_activation=Tanh,q_hidden_size=512,q_histogram=False,q_lr_start=0.0010,q_num_hidden_layers=4,q_optimizer=SGD,saddle_point_optimization=True,seed=0,target_network=False,target_network_frequency=6,tau=1.0000,torch_deterministic=True,total_timesteps=50000,track=False,update_epochs=50,use_kl_loss=False,wandb_entity=None,wandb_project_name=CC",QREPS,0,True,True,False,CC,,False,CartPole-v1,,50000,4,1.0,0.99,500,8,12,50,6,0.08881567205264869,0.08859602140148903,0.0010091860045419883,False,False,False,False,True,False,Tanh,4,128,Tanh,512,4,SGD,Adam,1e-08,0,0,0,0
d8a5b166,9.334905624389648,1713826684,,True,25,2024-04-23_00-58-04,27.42450475692749,620.5413842201233,85368,Nicolass-iMac.technicolor.net,127.0.0.1,620.5413842201233,25,"16_trial_index=1,actor_optimizer=Adam,alpha=12,anneal_lr=False,batch_size=0,beta=0.0888,capture_video=False,cuda=True,env_id=CartPole-v1,eps=0.0000,eta=None,exp_name=QREPS,gamma=0.9900,hidden_size=128,minibatch_size=0,num_envs=4,num_hidden_layers=4,num_iterations=0,num_minibatches=8,num_steps=500,parametrized_sampler=False,policy_activation=Tanh,policy_lr_start=0.0886,q_activation=Tanh,q_hidden_size=512,q_histogram=False,q_lr_start=0.0010,q_num_hidden_layers=4,q_optimizer=SGD,saddle_point_optimization=True,seed=0,target_network=False,target_network_frequency=6,tau=1.0000,torch_deterministic=True,total_timesteps=50000,track=False,update_epochs=50,use_kl_loss=False,wandb_entity=None,wandb_project_name=CC",QREPS,0,True,True,False,CC,,False,CartPole-v1,,50000,4,1.0,0.99,500,8,12,50,6,0.08881567205264869,0.08859602140148903,0.0010091860045419883,False,False,False,False,True,False,Tanh,4,128,Tanh,512,4,SGD,Adam,1e-08,0,0,0,1
92c5a8f5,-111.0,1713826068,,True,2,2024-04-23_00-47-48,0.6038050651550293,2.241373062133789,85369,Nicolass-iMac.technicolor.net,127.0.0.1,2.241373062133789,2,"17_trial_index=0,actor_optimizer=Adam,alpha=8,anneal_lr=False,batch_size=0,beta=0.0471,capture_video=False,cuda=True,env_id=CartPole-v1,eps=0.0001,eta=None,exp_name=QREPS,gamma=0.9900,hidden_size=64,minibatch_size=0,num_envs=4,num_hidden_layers=4,num_iterations=0,num_minibatches=8,num_steps=500,parametrized_sampler=False,policy_activation=Tanh,policy_lr_start=0.0013,q_activation=ReLU,q_hidden_size=64,q_histogram=False,q_lr_start=0.0276,q_num_hidden_layers=2,q_optimizer=SGD,saddle_point_optimization=True,seed=0,target_network=True,target_network_frequency=2,tau=1.0000,torch_deterministic=True,total_timesteps=50000,track=False,update_epochs=50,use_kl_loss=False,wandb_entity=None,wandb_project_name=CC",QREPS,0,True,True,False,CC,,False,CartPole-v1,,50000,4,1.0,0.99,500,8,8,50,2,0.047068838953162245,0.0013335508070102943,0.02762346534562308,False,True,False,False,True,False,Tanh,4,64,ReLU,64,2,SGD,Adam,0.0001,0,0,0,0
a3df6725,-111.0,1713826072,,True,2,2024-04-23_00-47-52,1.0036718845367432,3.257833957672119,85373,Nicolass-iMac.technicolor.net,127.0.0.1,3.257833957672119,2,"18_trial_index=1,actor_optimizer=Adam,alpha=8,anneal_lr=False,batch_size=0,beta=0.0471,capture_video=False,cuda=True,env_id=CartPole-v1,eps=0.0001,eta=None,exp_name=QREPS,gamma=0.9900,hidden_size=64,minibatch_size=0,num_envs=4,num_hidden_layers=4,num_iterations=0,num_minibatches=8,num_steps=500,parametrized_sampler=False,policy_activation=Tanh,policy_lr_start=0.0013,q_activation=ReLU,q_hidden_size=64,q_histogram=False,q_lr_start=0.0276,q_num_hidden_layers=2,q_optimizer=SGD,saddle_point_optimization=True,seed=0,target_network=True,target_network_frequency=2,tau=1.0000,torch_deterministic=True,total_timesteps=50000,track=False,update_epochs=50,use_kl_loss=False,wandb_entity=None,wandb_project_name=CC",QREPS,0,True,True,False,CC,,False,CartPole-v1,,50000,4,1.0,0.99,500,8,8,50,2,0.047068838953162245,0.0013335508070102943,0.02762346534562308,False,True,False,False,True,False,Tanh,4,64,ReLU,64,2,SGD,Adam,0.0001,0,0,0,1
47a7d0a8,9.84615421295166,1713826167,,True,97,2024-04-23_00-49-27,1.5808920860290527,93.03871417045593,85375,Nicolass-iMac.technicolor.net,127.0.0.1,93.03871417045593,97,"19_trial_index=0,actor_optimizer=Adam,alpha=2,anneal_lr=True,batch_size=0,beta=0.0009,capture_video=False,cuda=True,env_id=CartPole-v1,eps=0.0000,eta=None,exp_name=QREPS,gamma=0.9900,hidden_size=128,minibatch_size=0,num_envs=4,num_hidden_layers=2,num_iterations=0,num_minibatches=8,num_steps=128,parametrized_sampler=False,policy_activation=ReLU,policy_lr_start=0.0134,q_activation=Tanh,q_hidden_size=128,q_histogram=False,q_lr_start=0.0008,q_num_hidden_layers=4,q_optimizer=SGD,saddle_point_optimization=True,seed=0,target_network=False,target_network_frequency=6,tau=1.0000,torch_deterministic=True,total_timesteps=50000,track=False,update_epochs=10,use_kl_loss=True,wandb_entity=None,wandb_project_name=CC",QREPS,0,True,True,False,CC,,False,CartPole-v1,,50000,4,1.0,0.99,128,8,2,10,6,0.0009365841394073601,0.013385380570588754,0.0008112644805545664,True,False,True,False,True,False,ReLU,2,128,Tanh,128,4,SGD,Adam,1e-08,0,0,0,0
31a31a16,9.884614944458008,1713826178,,True,97,2024-04-23_00-49-38,0.9201252460479736,99.32796716690063,85387,Nicolass-iMac.technicolor.net,127.0.0.1,99.32796716690063,97,"20_trial_index=1,actor_optimizer=Adam,alpha=2,anneal_lr=True,batch_size=0,beta=0.0009,capture_video=False,cuda=True,env_id=CartPole-v1,eps=0.0000,eta=None,exp_name=QREPS,gamma=0.9900,hidden_size=128,minibatch_size=0,num_envs=4,num_hidden_layers=2,num_iterations=0,num_minibatches=8,num_steps=128,parametrized_sampler=False,policy_activation=ReLU,policy_lr_start=0.0134,q_activation=Tanh,q_hidden_size=128,q_histogram=False,q_lr_start=0.0008,q_num_hidden_layers=4,q_optimizer=SGD,saddle_point_optimization=True,seed=0,target_network=False,target_network_frequency=6,tau=1.0000,torch_deterministic=True,total_timesteps=50000,track=False,update_epochs=10,use_kl_loss=True,wandb_entity=None,wandb_project_name=CC",QREPS,0,True,True,False,CC,,False,CartPole-v1,,50000,4,1.0,0.99,128,8,2,10,6,0.0009365841394073601,0.013385380570588754,0.0008112644805545664,True,False,True,False,True,False,ReLU,2,128,Tanh,128,4,SGD,Adam,1e-08,0,0,0,1
