time/steps,time/epochs,time/steps_per_second,time/dataset,time/preprocess,time/train_step,train/env_steps,train/q_loss,train/target_q,train/alpha_loss,train/actor_loss,train/entropy,train/alpha,train/reward,train/length,train/num_ep,eval/reward,eval/stddev,eval/length,eval/discount,eval/early_termination,step
1000,0,78.30283714265019,0.0005009174346923828,0.00013899803161621094,0.014325380325317383,988.0,-22.611117477416993,-0.0409536837041378,0.9709459046522776,-0.34053776661554974,3.9530945221583047,0.09754227350155513,5.81312337806641,1000.0,1.0,0.10805044805896824,0.057034160838852925,1000.0,1000.0,0.0,1000
2000,0,77.42488078835484,0.0004627704620361328,0.00012683868408203125,0.014696836471557617,1988.0,-22.449378662109375,-0.04382890671491623,0.9340601166089376,-0.32721410940090817,4.064048409461975,0.09280245192348957,2.93414364709116,1000.0,2.0,0.18635035962896906,0.047175792300665036,1000.0,1000.0,0.0,2000
3000,0,77.36735430204358,0.00048065185546875,0.0001327991485595703,0.01487874984741211,2988.0,-23.20390953063965,-0.03767090126872063,0.891340047121048,-0.31719441960255307,4.080041567484538,0.08841775233546893,5.575685876941056,1000.0,3.0,0.17024795356573688,0.03851058322687799,1000.0,1000.0,0.0,3000
4000,0,74.96586208425023,0.0005757808685302734,0.000141143798828125,0.014880180358886719,3988.0,-23.631708984375,-0.025830655694007873,0.8492451657851537,-0.3135385165611903,4.071291883786519,0.08431542913118999,6.778008197003901,1000.0,4.0,0.3076424244780387,0.03871968677561261,1000.0,1000.0,0.0,4000
5000,0,71.94430398159018,0.0007023811340332031,0.0001430511474609375,0.015224933624267578,4988.0,-23.04168701171875,-0.017947799675166607,0.8109267751375834,-0.30606647580862045,4.078354001045227,0.08045471149186294,3.7236544169014207,1000.0,5.0,0.40905171039491217,0.07457796027189974,1000.0,1000.0,0.0,5000
6000,0,70.66347418055517,0.0005846023559570312,0.00013494491577148438,0.01562643051147461,5988.0,-22.353474502563476,-0.00722722502425313,0.7734934439261755,-0.3013666595021884,4.069719473520915,0.07680669861535232,7.481521850374286,1000.0,6.0,0.6493891796435818,0.0716588835721203,1000.0,1000.0,0.0,6000
7000,0,72.5004874500623,0.00067901611328125,0.00016641616821289062,0.016018390655517578,6988.0,-21.892222213745118,0.001662139412946999,0.7389000157515208,-0.29804498702287674,4.07294233640035,0.07334819994866848,9.208262107651286,1000.0,7.0,1.6204127758899074,0.23888758983382305,1000.0,1000.0,0.0,7000
8000,0,72.44483778990516,0.0005822181701660156,0.00013566017150878906,0.015762805938720703,7988.0,-21.490778427124024,0.00727809316245839,0.7053114225467046,-0.28778763115406036,4.065862059593201,0.07006323213378589,8.729844354485554,1000.0,8.0,15.869175414050778,0.5620918179344873,1000.0,1000.0,0.0,8000
9000,0,73.14647977124983,0.00095367431640625,0.0002586841583251953,0.015644550323486328,8988.0,-21.148459854125978,0.01194157510995865,0.673684373497963,-0.27906101445357007,4.063452084859212,0.06693756642440955,7.0951674999673155,1000.0,9.0,25.045181838483625,1.1021991436149496,1000.0,1000.0,0.0,9000
10000,0,73.33530092220238,0.0006549358367919922,0.00014925003051757812,0.016510725021362305,9988.0,-20.682007217407225,0.015512456223368644,0.6429271052281061,-0.2712404852112134,4.051044623057048,0.06396037215987842,7.88260668174465,1000.0,10.0,25.232252475700207,0.46434364057908567,1000.0,1000.0,0.0,10000
