trial_id,reward,timestamp,checkpoint_dir_name,done,training_iteration,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,experiment_tag,config/exp_name,config/seed,config/torch_deterministic,config/cuda,config/track,config/wandb_project_name,config/wandb_entity,config/capture_video,config/env_id,config/total_timesteps,config/num_envs,config/num_steps,config/anneal_lr,config/gamma,config/num_minibatches,config/policy_lr_start,config/q_lr_start,config/alpha,config/eta,config/update_epochs,config/saddle_point_optimization,config/use_kl_loss,config/q_histogram,config/policy_activation,config/num_hidden_layers,config/hidden_size,config/q_activation,config/q_hidden_size,config/q_num_hidden_layers,config/q_optimizer,config/actor_optimizer,config/eps,config/batch_size,config/minibatch_size,config/num_iterations,config/__trial_index__
5da8d5c2,-11111.0,1713648409,,True,15,2024-04-20_23-26-49,0.15294384956359863,3020.3672311306,16314,Nicolass-Air.technicolor.net,127.0.0.1,3020.3672311306,15,"11_trial_index=0,actor_optimizer=RMSprop,alpha=12,anneal_lr=True,batch_size=0,capture_video=False,cuda=True,env_id=LunarLander-v2,eps=0.0000,eta=None,exp_name=QREPS,gamma=0.9900,hidden_size=512,minibatch_size=0,num_envs=4,num_hidden_layers=8,num_iterations=0,num_minibatches=16,num_steps=500,policy_activation=Tanh,policy_lr_start=0.0003,q_activation=ReLU,q_hidden_size=128,q_histogram=False,q_lr_start=0.0003,q_num_hidden_layers=8,q_optimizer=RMSprop,saddle_point_optimization=False,seed=0,torch_deterministic=True,total_timesteps=100000,track=False,update_epochs=100,use_kl_loss=True,wandb_entity=None,wandb_project_name=CC",QREPS,0,True,True,False,CC,,False,LunarLander-v2,100000,4,500,True,0.99,16,0.00025,0.00025,12,,100,False,True,False,Tanh,8,512,ReLU,128,8,RMSprop,RMSprop,1e-08,0,0,0,0
e48f4c53,-11111.0,1713648438,,True,14,2024-04-20_23-27-18,151.44892001152039,2836.2740366458893,16437,Nicolass-Air.technicolor.net,127.0.0.1,2836.2740366458893,14,"12_trial_index=1,actor_optimizer=RMSprop,alpha=12,anneal_lr=True,batch_size=0,capture_video=False,cuda=True,env_id=LunarLander-v2,eps=0.0000,eta=None,exp_name=QREPS,gamma=0.9900,hidden_size=512,minibatch_size=0,num_envs=4,num_hidden_layers=8,num_iterations=0,num_minibatches=16,num_steps=500,policy_activation=Tanh,policy_lr_start=0.0003,q_activation=ReLU,q_hidden_size=128,q_histogram=False,q_lr_start=0.0003,q_num_hidden_layers=8,q_optimizer=RMSprop,saddle_point_optimization=False,seed=0,torch_deterministic=True,total_timesteps=100000,track=False,update_epochs=100,use_kl_loss=True,wandb_entity=None,wandb_project_name=CC",QREPS,0,True,True,False,CC,,False,LunarLander-v2,100000,4,500,True,0.99,16,0.00025,0.00025,12,,100,False,True,False,Tanh,8,512,ReLU,128,8,RMSprop,RMSprop,1e-08,0,0,0,1
41f0d880,-120.20854949951172,1713647710,,True,73,2024-04-20_23-15-10,19.5636248588562,1912.6102378368378,16527,Nicolass-Air.technicolor.net,127.0.0.1,1912.6102378368378,73,"13_trial_index=0,actor_optimizer=SGD,alpha=8,anneal_lr=False,batch_size=0,capture_video=False,cuda=True,env_id=LunarLander-v2,eps=0.0000,eta=None,exp_name=QREPS,gamma=0.9900,hidden_size=256,minibatch_size=0,num_envs=4,num_hidden_layers=4,num_iterations=0,num_minibatches=8,num_steps=256,policy_activation=Tanh,policy_lr_start=0.0010,q_activation=ReLU,q_hidden_size=256,q_histogram=False,q_lr_start=0.0025,q_num_hidden_layers=4,q_optimizer=SGD,saddle_point_optimization=False,seed=0,torch_deterministic=True,total_timesteps=100000,track=False,update_epochs=50,use_kl_loss=True,wandb_entity=None,wandb_project_name=CC",QREPS,0,True,True,False,CC,,False,LunarLander-v2,100000,4,256,False,0.99,8,0.001,0.0025,8,,50,False,True,False,Tanh,4,256,ReLU,256,4,SGD,SGD,1e-06,0,0,0,0
0102c418,-167.1184539794922,1713647759,,True,80,2024-04-20_23-15-59,37.86715269088745,1930.6268117427826,16541,Nicolass-Air.technicolor.net,127.0.0.1,1930.6268117427826,80,"14_trial_index=1,actor_optimizer=SGD,alpha=8,anneal_lr=False,batch_size=0,capture_video=False,cuda=True,env_id=LunarLander-v2,eps=0.0000,eta=None,exp_name=QREPS,gamma=0.9900,hidden_size=256,minibatch_size=0,num_envs=4,num_hidden_layers=4,num_iterations=0,num_minibatches=8,num_steps=256,policy_activation=Tanh,policy_lr_start=0.0010,q_activation=ReLU,q_hidden_size=256,q_histogram=False,q_lr_start=0.0025,q_num_hidden_layers=4,q_optimizer=SGD,saddle_point_optimization=False,seed=0,torch_deterministic=True,total_timesteps=100000,track=False,update_epochs=50,use_kl_loss=True,wandb_entity=None,wandb_project_name=CC",QREPS,0,True,True,False,CC,,False,LunarLander-v2,100000,4,256,False,0.99,8,0.001,0.0025,8,,50,False,True,False,Tanh,4,256,ReLU,256,4,SGD,SGD,1e-06,0,0,0,1
6d86b655,-99.00364685058594,1713650936,,True,93,2024-04-21_00-08-56,45.03516888618469,4588.008999824524,16888,Nicolass-Air.technicolor.net,127.0.0.1,4588.008999824524,93,"15_trial_index=0,actor_optimizer=Adam,alpha=8,anneal_lr=True,batch_size=0,capture_video=False,cuda=True,env_id=LunarLander-v2,eps=0.0000,eta=None,exp_name=QREPS,gamma=0.9900,hidden_size=128,minibatch_size=0,num_envs=4,num_hidden_layers=4,num_iterations=0,num_minibatches=8,num_steps=256,policy_activation=ReLU,policy_lr_start=0.0025,q_activation=Tanh,q_hidden_size=64,q_histogram=False,q_lr_start=0.0025,q_num_hidden_layers=4,q_optimizer=Adam,saddle_point_optimization=False,seed=0,torch_deterministic=True,total_timesteps=100000,track=False,update_epochs=300,use_kl_loss=False,wandb_entity=None,wandb_project_name=CC",QREPS,0,True,True,False,CC,,False,LunarLander-v2,100000,4,256,True,0.99,8,0.0025,0.0025,8,,300,False,False,False,ReLU,4,128,Tanh,64,4,Adam,Adam,1e-06,0,0,0,0
06e292ed,-397.966064453125,1713651109,,True,94,2024-04-21_00-11-49,50.43006777763367,4629.013628721237,16994,Nicolass-Air.technicolor.net,127.0.0.1,4629.013628721237,94,"16_trial_index=1,actor_optimizer=Adam,alpha=8,anneal_lr=True,batch_size=0,capture_video=False,cuda=True,env_id=LunarLander-v2,eps=0.0000,eta=None,exp_name=QREPS,gamma=0.9900,hidden_size=128,minibatch_size=0,num_envs=4,num_hidden_layers=4,num_iterations=0,num_minibatches=8,num_steps=256,policy_activation=ReLU,policy_lr_start=0.0025,q_activation=Tanh,q_hidden_size=64,q_histogram=False,q_lr_start=0.0025,q_num_hidden_layers=4,q_optimizer=Adam,saddle_point_optimization=False,seed=0,torch_deterministic=True,total_timesteps=100000,track=False,update_epochs=300,use_kl_loss=False,wandb_entity=None,wandb_project_name=CC",QREPS,0,True,True,False,CC,,False,LunarLander-v2,100000,4,256,True,0.99,8,0.0025,0.0025,8,,300,False,False,False,ReLU,4,128,Tanh,64,4,Adam,Adam,1e-06,0,0,0,1
404576ed,-140.47286987304688,1713648740,,True,94,2024-04-20_23-32-20,18.83203887939453,979.2631666660309,17758,Nicolass-Air.technicolor.net,127.0.0.1,979.2631666660309,94,"17_trial_index=0,actor_optimizer=RMSprop,alpha=8,anneal_lr=False,batch_size=0,capture_video=False,cuda=True,env_id=LunarLander-v2,eps=0.0000,eta=None,exp_name=QREPS,gamma=0.9900,hidden_size=128,minibatch_size=0,num_envs=4,num_hidden_layers=4,num_iterations=0,num_minibatches=8,num_steps=256,policy_activation=ReLU,policy_lr_start=0.0003,q_activation=Tanh,q_hidden_size=128,q_histogram=False,q_lr_start=0.0025,q_num_hidden_layers=4,q_optimizer=RMSprop,saddle_point_optimization=False,seed=0,torch_deterministic=True,total_timesteps=100000,track=False,update_epochs=50,use_kl_loss=False,wandb_entity=None,wandb_project_name=CC",QREPS,0,True,True,False,CC,,False,LunarLander-v2,100000,4,256,False,0.99,8,0.00025,0.0025,8,,50,False,False,False,ReLU,4,128,Tanh,128,4,RMSprop,RMSprop,1e-08,0,0,0,0
a8e254dc,-146.7935028076172,1713648771,,True,94,2024-04-20_23-32-51,9.84684705734253,966.9306123256683,17783,Nicolass-Air.technicolor.net,127.0.0.1,966.9306123256683,94,"18_trial_index=1,actor_optimizer=RMSprop,alpha=8,anneal_lr=False,batch_size=0,capture_video=False,cuda=True,env_id=LunarLander-v2,eps=0.0000,eta=None,exp_name=QREPS,gamma=0.9900,hidden_size=128,minibatch_size=0,num_envs=4,num_hidden_layers=4,num_iterations=0,num_minibatches=8,num_steps=256,policy_activation=ReLU,policy_lr_start=0.0003,q_activation=Tanh,q_hidden_size=128,q_histogram=False,q_lr_start=0.0025,q_num_hidden_layers=4,q_optimizer=RMSprop,saddle_point_optimization=False,seed=0,torch_deterministic=True,total_timesteps=100000,track=False,update_epochs=50,use_kl_loss=False,wandb_entity=None,wandb_project_name=CC",QREPS,0,True,True,False,CC,,False,LunarLander-v2,100000,4,256,False,0.99,8,0.00025,0.0025,8,,50,False,False,False,ReLU,4,128,Tanh,128,4,RMSprop,RMSprop,1e-08,0,0,0,1
74d0b3a4,-11111.0,1713649144,,True,14,2024-04-20_23-39-04,36.61268711090088,703.6078505516052,18188,Nicolass-Air.technicolor.net,127.0.0.1,703.6078505516052,14,"19_trial_index=0,actor_optimizer=RMSprop,alpha=8,anneal_lr=True,batch_size=0,capture_video=False,cuda=True,env_id=LunarLander-v2,eps=0.0001,eta=None,exp_name=QREPS,gamma=0.9900,hidden_size=256,minibatch_size=0,num_envs=4,num_hidden_layers=4,num_iterations=0,num_minibatches=8,num_steps=256,policy_activation=Tanh,policy_lr_start=0.0025,q_activation=ReLU,q_hidden_size=512,q_histogram=False,q_lr_start=0.0025,q_num_hidden_layers=4,q_optimizer=RMSprop,saddle_point_optimization=False,seed=0,torch_deterministic=True,total_timesteps=100000,track=False,update_epochs=100,use_kl_loss=True,wandb_entity=None,wandb_project_name=CC",QREPS,0,True,True,False,CC,,False,LunarLander-v2,100000,4,256,True,0.99,8,0.0025,0.0025,8,,100,False,True,False,Tanh,4,256,ReLU,512,4,RMSprop,RMSprop,0.0001,0,0,0,0
4fbe3cd7,-11111.0,1713648724,,True,6,2024-04-20_23-32-04,42.405290842056274,260.4709622859955,18214,Nicolass-Air.technicolor.net,127.0.0.1,260.4709622859955,6,"20_trial_index=1,actor_optimizer=RMSprop,alpha=8,anneal_lr=True,batch_size=0,capture_video=False,cuda=True,env_id=LunarLander-v2,eps=0.0001,eta=None,exp_name=QREPS,gamma=0.9900,hidden_size=256,minibatch_size=0,num_envs=4,num_hidden_layers=4,num_iterations=0,num_minibatches=8,num_steps=256,policy_activation=Tanh,policy_lr_start=0.0025,q_activation=ReLU,q_hidden_size=512,q_histogram=False,q_lr_start=0.0025,q_num_hidden_layers=4,q_optimizer=RMSprop,saddle_point_optimization=False,seed=0,torch_deterministic=True,total_timesteps=100000,track=False,update_epochs=100,use_kl_loss=True,wandb_entity=None,wandb_project_name=CC",QREPS,0,True,True,False,CC,,False,LunarLander-v2,100000,4,256,True,0.99,8,0.0025,0.0025,8,,100,False,True,False,Tanh,4,256,ReLU,512,4,RMSprop,RMSprop,0.0001,0,0,0,1
