trial_id,reward,timestamp,checkpoint_dir_name,done,training_iteration,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,experiment_tag,config/exp_name,config/seed,config/torch_deterministic,config/cuda,config/track,config/wandb_project_name,config/wandb_entity,config/capture_video,config/env_id,config/total_timesteps,config/num_envs,config/num_steps,config/anneal_lr,config/gamma,config/num_minibatches,config/policy_lr_start,config/q_lr_start,config/alpha,config/eta,config/update_epochs,config/autotune,config/target_entropy_scale,config/saddle_point_optimization,config/use_kl_loss,config/q_histogram,config/batch_size,config/minibatch_size,config/num_iterations,config/__trial_index__
7102e04a,-1000,1712705599,,True,175,2024-04-10_01-33-19,0.3159201145172119,1.2895894050598145,3584,Nicolass-iMac.technicolor.net,127.0.0.1,1.2895894050598145,175,"11_trial_index=0,alpha=1.5000,anneal_lr=False,autotune=False,batch_size=0,capture_video=False,cuda=True,env_id=CartPole-v1,eta=None,exp_name=QREPS,gamma=0.9900,minibatch_size=0,num_envs=8,num_iterations=0,num_minibatches=16,num_steps=500,policy_lr_start=0.1000,q_histogram=False,q_lr_start=0.0025,saddle_point_optimization=True,seed=0,target_entropy_scale=0.8900,torch_deterministic=True,total_timesteps=100000,track=False,update_epochs=300,use_kl_loss=True,wandb_entity=None,wandb_project_name=QREPS_cleanRL",QREPS,0,True,True,False,QREPS_cleanRL,,False,CartPole-v1,100000,8,500,False,0.99,16,0.1,0.0025,1.5,,300,False,0.89,True,True,False,0,0,0,0
104ade15,[9.],1712705927,,True,8558,2024-04-10_01-38-47,0.0032050609588623047,305.9943630695343,3588,Nicolass-iMac.technicolor.net,127.0.0.1,305.9943630695343,8558,"12_trial_index=0,alpha=4.0000,anneal_lr=True,autotune=True,batch_size=0,capture_video=False,cuda=True,env_id=CartPole-v1,eta=None,exp_name=QREPS,gamma=0.9900,minibatch_size=0,num_envs=4,num_iterations=0,num_minibatches=4,num_steps=128,policy_lr_start=0.0025,q_histogram=False,q_lr_start=0.1000,saddle_point_optimization=False,seed=0,target_entropy_scale=0.3000,torch_deterministic=True,total_timesteps=100000,track=False,update_epochs=50,use_kl_loss=False,wandb_entity=None,wandb_project_name=QREPS_cleanRL",QREPS,0,True,True,False,QREPS_cleanRL,,False,CartPole-v1,100000,4,128,True,0.99,4,0.0025,0.1,4.0,,50,True,0.3,False,False,False,0,0,0,0
b59a6000,-1000,1712705841,,True,85,2024-04-10_01-37-21,3.817592144012451,4.751111268997192,3764,Nicolass-iMac.technicolor.net,127.0.0.1,4.751111268997192,85,"13_trial_index=0,alpha=0.5000,anneal_lr=True,autotune=False,batch_size=0,capture_video=False,cuda=True,env_id=CartPole-v1,eta=None,exp_name=QREPS,gamma=0.9900,minibatch_size=0,num_envs=4,num_iterations=0,num_minibatches=4,num_steps=500,policy_lr_start=0.0025,q_histogram=False,q_lr_start=0.0010,saddle_point_optimization=True,seed=0,target_entropy_scale=0.7000,torch_deterministic=True,total_timesteps=100000,track=False,update_epochs=100,use_kl_loss=False,wandb_entity=None,wandb_project_name=QREPS_cleanRL",QREPS,0,True,True,False,QREPS_cleanRL,,False,CartPole-v1,100000,4,500,True,0.99,4,0.0025,0.001,0.5,,100,False,0.7,True,False,False,0,0,0,0
985e7f96,[9.],1712705937,,True,9088,2024-04-10_01-38-57,0.0029981136322021484,72.77893233299255,3768,Nicolass-iMac.technicolor.net,127.0.0.1,72.77893233299255,9088,"14_trial_index=0,alpha=4.0000,anneal_lr=False,autotune=True,batch_size=0,capture_video=False,cuda=True,env_id=CartPole-v1,eta=None,exp_name=QREPS,gamma=0.9900,minibatch_size=0,num_envs=8,num_iterations=0,num_minibatches=8,num_steps=128,policy_lr_start=0.0010,q_histogram=False,q_lr_start=0.0003,saddle_point_optimization=False,seed=0,target_entropy_scale=0.5000,torch_deterministic=True,total_timesteps=100000,track=False,update_epochs=10,use_kl_loss=True,wandb_entity=None,wandb_project_name=QREPS_cleanRL",QREPS,0,True,True,False,QREPS_cleanRL,,False,CartPole-v1,100000,8,128,False,0.99,8,0.001,0.00025,4.0,,10,True,0.5,False,True,False,0,0,0,0
fc95c496,-1000,1712705963,,True,1051,2024-04-10_01-39-23,1.5090601444244385,27.912465810775757,3811,Nicolass-iMac.technicolor.net,127.0.0.1,27.912465810775757,1051,"15_trial_index=0,alpha=2.0000,anneal_lr=True,autotune=True,batch_size=0,capture_video=False,cuda=True,env_id=CartPole-v1,eta=None,exp_name=QREPS,gamma=0.9900,minibatch_size=0,num_envs=8,num_iterations=0,num_minibatches=4,num_steps=256,policy_lr_start=0.0010,q_histogram=False,q_lr_start=0.0025,saddle_point_optimization=False,seed=0,target_entropy_scale=0.3000,torch_deterministic=True,total_timesteps=100000,track=False,update_epochs=50,use_kl_loss=True,wandb_entity=None,wandb_project_name=QREPS_cleanRL",QREPS,0,True,True,False,QREPS_cleanRL,,False,CartPole-v1,100000,8,256,True,0.99,4,0.001,0.0025,2.0,,50,True,0.3,False,True,False,0,0,0,0
250988d7,-1000,1712705942,,True,44,2024-04-10_01-39-02,0.4186067581176758,1.0742273330688477,3818,Nicolass-iMac.technicolor.net,127.0.0.1,1.0742273330688477,44,"16_trial_index=0,alpha=6.0000,anneal_lr=False,autotune=False,batch_size=0,capture_video=False,cuda=True,env_id=CartPole-v1,eta=None,exp_name=QREPS,gamma=0.9900,minibatch_size=0,num_envs=4,num_iterations=0,num_minibatches=8,num_steps=256,policy_lr_start=0.0003,q_histogram=False,q_lr_start=0.1000,saddle_point_optimization=True,seed=0,target_entropy_scale=0.7000,torch_deterministic=True,total_timesteps=100000,track=False,update_epochs=100,use_kl_loss=False,wandb_entity=None,wandb_project_name=QREPS_cleanRL",QREPS,0,True,True,False,QREPS_cleanRL,,False,CartPole-v1,100000,4,256,False,0.99,8,0.00025,0.1,6.0,,100,False,0.7,True,False,False,0,0,0,0
193571e5,-1000,1712705993,,True,5468,2024-04-10_01-39-53,0.12253308296203613,36.73284077644348,3822,Nicolass-iMac.technicolor.net,127.0.0.1,36.73284077644348,5468,"17_trial_index=0,alpha=4,anneal_lr=False,autotune=True,batch_size=0,capture_video=False,cuda=True,env_id=CartPole-v1,eta=None,exp_name=QREPS,gamma=0.9900,minibatch_size=0,num_envs=8,num_iterations=0,num_minibatches=4,num_steps=128,policy_lr_start=0.1000,q_histogram=False,q_lr_start=0.0003,saddle_point_optimization=False,seed=0,target_entropy_scale=0.5000,torch_deterministic=True,total_timesteps=100000,track=False,update_epochs=10,use_kl_loss=False,wandb_entity=None,wandb_project_name=QREPS_cleanRL",QREPS,0,True,True,False,QREPS_cleanRL,,False,CartPole-v1,100000,8,128,False,0.99,4,0.1,0.00025,4.0,,10,True,0.5,False,False,False,0,0,0,0
2535f52e,[12.],1712706024,,True,5139,2024-04-10_01-40-24,0.002355813980102539,47.06151342391968,3836,Nicolass-iMac.technicolor.net,127.0.0.1,47.06151342391968,5139,"18_trial_index=0,alpha=6,anneal_lr=True,autotune=True,batch_size=0,capture_video=False,cuda=True,env_id=CartPole-v1,eta=None,exp_name=QREPS,gamma=0.9900,minibatch_size=0,num_envs=8,num_iterations=0,num_minibatches=4,num_steps=128,policy_lr_start=0.0010,q_histogram=False,q_lr_start=0.0010,saddle_point_optimization=False,seed=0,target_entropy_scale=0.7000,torch_deterministic=True,total_timesteps=100000,track=False,update_epochs=10,use_kl_loss=False,wandb_entity=None,wandb_project_name=QREPS_cleanRL",QREPS,0,True,True,False,QREPS_cleanRL,,False,CartPole-v1,100000,8,128,True,0.99,4,0.001,0.001,6.0,,10,True,0.7,False,False,False,0,0,0,0
052e712a,-1000,1712706030,,True,1446,2024-04-10_01-40-30,0.27687811851501465,30.802920818328857,3851,Nicolass-iMac.technicolor.net,127.0.0.1,30.802920818328857,1446,"19_trial_index=0,alpha=6,anneal_lr=True,autotune=True,batch_size=0,capture_video=False,cuda=True,env_id=CartPole-v1,eta=None,exp_name=QREPS,gamma=0.9900,minibatch_size=0,num_envs=4,num_iterations=0,num_minibatches=8,num_steps=128,policy_lr_start=0.0025,q_histogram=False,q_lr_start=0.0010,saddle_point_optimization=False,seed=0,target_entropy_scale=0.5000,torch_deterministic=True,total_timesteps=100000,track=False,update_epochs=10,use_kl_loss=True,wandb_entity=None,wandb_project_name=QREPS_cleanRL",QREPS,0,True,True,False,QREPS_cleanRL,,False,CartPole-v1,100000,4,128,True,0.99,8,0.0025,0.001,6.0,,10,True,0.5,False,True,False,0,0,0,0
9350f448,[21.],1712706170,,True,2460,2024-04-10_01-42-50,0.0026988983154296875,137.25804328918457,3868,Nicolass-iMac.technicolor.net,127.0.0.1,137.25804328918457,2460,"20_trial_index=0,alpha=4,anneal_lr=True,autotune=True,batch_size=0,capture_video=False,cuda=True,env_id=CartPole-v1,eta=None,exp_name=QREPS,gamma=0.9900,minibatch_size=0,num_envs=4,num_iterations=0,num_minibatches=16,num_steps=128,policy_lr_start=0.0003,q_histogram=False,q_lr_start=0.0010,saddle_point_optimization=False,seed=0,target_entropy_scale=0.5000,torch_deterministic=True,total_timesteps=100000,track=False,update_epochs=10,use_kl_loss=False,wandb_entity=None,wandb_project_name=QREPS_cleanRL",QREPS,0,True,True,False,QREPS_cleanRL,,False,CartPole-v1,100000,4,128,True,0.99,16,0.00025,0.001,4.0,,10,True,0.5,False,False,False,0,0,0,0
