,Step,Reward
0,244.0,-155.9083709716797
1,400.0,-70.88966369628906
2,432.0,-242.4392547607422
3,476.0,-107.07715606689453
4,576.0,-81.56061553955078
5,772.0,-113.10127258300781
6,840.0,-45.387794494628906
7,912.0,-160.81507873535156
8,952.0,-216.96173095703125
9,1036.0,-192.1718292236328
10,1192.0,-32.42240905761719
11,1268.0,-88.38286590576172
12,1380.0,-297.68646240234375
13,1564.0,-106.07147216796875
14,1612.0,-100.7276840209961
15,1680.0,-136.33753967285156
16,1688.0,-365.41448974609375
17,1996.0,-127.97225952148438
18,2104.0,-375.4874267578125
19,2124.0,-182.53958129882812
20,2448.0,-268.032470703125
21,2504.0,-303.9396667480469
22,2540.0,-75.63107299804688
23,2668.0,-402.3432312011719
24,2868.0,-203.708984375
25,2952.0,-141.67591857910156
26,3004.0,-370.83050537109375
27,3100.0,-186.92251586914062
28,3140.0,-91.07202911376953
29,3288.0,-45.01743698120117
30,3292.0,-119.3985366821289
31,3560.0,-76.08810424804688
32,3592.0,-142.98260498046875
33,3612.0,-200.332275390625
34,3644.0,-218.7725067138672
35,3964.0,-112.92727661132812
36,4020.0,-136.51690673828125
37,4104.0,-78.34536743164062
38,4160.0,-77.35032653808594
39,4416.0,-176.9512176513672
40,4544.0,-195.81802368164062
41,4700.0,-405.0169677734375
42,4788.0,-68.59010314941406
43,4896.0,-13.968505859375
44,5000.0,-61.29039001464844
45,5180.0,-125.51256561279297
46,5368.0,-119.31216430664062
47,5376.0,-77.59712982177734
48,5428.0,-104.92755889892578
49,5640.0,-79.2947998046875
50,5824.0,-33.25755310058594
51,5892.0,-138.78543090820312
52,6012.0,-339.3903503417969
53,6132.0,-123.32310485839844
54,6392.0,-135.96142578125
55,6420.0,-131.80972290039062
56,6444.0,-281.8509826660156
57,6652.0,-62.594879150390625
58,6828.0,-5.503608703613281
59,6876.0,-130.29461669921875
60,6884.0,-85.6722183227539
61,7224.0,-208.33636474609375
62,7340.0,-69.155517578125
63,7360.0,-133.87576293945312
64,7412.0,-317.02642822265625
65,7716.0,-93.62809753417969
66,7824.0,-62.45752716064453
67,7852.0,-34.84516143798828
68,7868.0,-118.92044067382812
69,8392.0,-343.762939453125
70,8396.0,-140.31459045410156
71,8400.0,-83.34738159179688
72,8456.0,-233.16175842285156
73,8936.0,-70.28465270996094
74,8940.0,-108.98143768310547
75,8976.0,-23.301162719726562
76,9168.0,-85.29264831542969
77,9360.0,-45.40652084350586
78,9468.0,-84.52468872070312
79,9504.0,-37.257171630859375
80,9516.0,-80.20362854003906
81,9800.0,-157.62904357910156
82,9816.0,-55.55881118774414
83,9896.0,-80.07475280761719
84,10096.0,-12.536773681640625
85,10108.0,-69.22382354736328
86,10244.0,-109.09539031982422
87,10304.0,-42.4069938659668
88,10520.0,-83.7689437866211
89,10592.0,-204.81764221191406
90,10716.0,-105.80867004394531
91,10848.0,-9.922645568847656
92,11160.0,-118.82099914550781
93,11260.0,-44.67301559448242
94,11308.0,6.953361511230469
95,11512.0,-37.14973831176758
96,11588.0,-29.178436279296875
97,11784.0,-107.40958404541016
98,12152.0,-327.02392578125
99,12404.0,-32.469383239746094
100,12520.0,-201.67959594726562
101,12592.0,-92.6531982421875
102,13124.0,-90.55325317382812
103,13128.0,-51.04828643798828
104,13232.0,-47.667293548583984
105,13720.0,-63.037681579589844
106,14044.0,-27.542373657226562
107,14544.0,-177.05197143554688
108,14632.0,-37.74779510498047
109,15080.0,-61.29743576049805
110,15260.0,40.90285110473633
111,15368.0,-184.02330017089844
112,15676.0,-27.4935302734375
113,15856.0,-62.84218978881836
114,15896.0,-95.13301849365234
115,16496.0,-10.943603515625
116,16812.0,-1.5911865234375
117,16992.0,-10.700126647949219
118,17128.0,5.387031078338623
119,17336.0,-1.6773529052734375
120,18052.0,20.496810913085938
121,18144.0,-66.05422973632812
122,18388.0,-76.11539459228516
123,18740.0,9.131423950195312
124,19100.0,14.720077514648438
125,19320.0,-60.15034866333008
126,19624.0,-53.823631286621094
127,19896.0,80.7229232788086
128,20000.0,-39.02882385253906
129,20168.0,-37.590003967285156
130,21200.0,-102.62789916992188
131,21304.0,-57.65470504760742
132,21752.0,-27.745765686035156
133,21776.0,-26.792404174804688
134,22144.0,-6.409088134765625
135,22312.0,-54.8242073059082
136,22528.0,227.61009216308594
137,22664.0,-76.63381958007812
138,23024.0,-29.172019958496094
139,23108.0,-14.860633850097656
140,23340.0,-80.31425476074219
141,23628.0,38.00041198730469
142,23736.0,-31.586219787597656
143,24100.0,-25.546401977539062
144,24464.0,-25.91521453857422
145,24884.0,-39.00275421142578
146,25180.0,146.33265686035156
147,25224.0,-186.77560424804688
148,25444.0,-68.35606384277344
149,25596.0,-221.44720458984375
150,26096.0,-16.630752563476562
151,26624.0,42.5440673828125
152,26772.0,-202.67819213867188
153,26828.0,-43.76506423950195
154,27148.0,-73.51473999023438
155,27404.0,72.81829833984375
156,27468.0,-220.99688720703125
157,28064.0,67.83294677734375
158,28360.0,9.94879150390625
159,28684.0,-255.3426055908203
160,28752.0,-194.29376220703125
161,28980.0,212.86790466308594
162,29280.0,-3.9914779663085938
163,29468.0,-1.5695724487304688
164,29716.0,-33.420249938964844
165,29960.0,-68.78022766113281
166,30084.0,53.70637512207031
167,30400.0,21.79248809814453
168,30632.0,-22.451759338378906
169,31208.0,-120.94596862792969
170,31268.0,-85.01641082763672
171,31720.0,-16.22528839111328
172,31732.0,17.49523162841797
173,32072.0,-152.67137145996094
174,33036.0,-94.67822265625
175,33884.0,-41.0410270690918
176,33960.0,41.72216796875
177,35000.0,-117.22738647460938
178,35272.0,-157.9375762939453
179,35564.0,-86.8953857421875
180,35720.0,55.75009536743164
181,37312.0,-67.85281372070312
182,37444.0,141.0545654296875
183,37960.0,62.921573638916016
184,38160.0,-27.59026336669922
185,38484.0,26.422500610351562
186,39440.0,-198.76846313476562
187,39776.0,-211.38555908203125
188,40064.0,242.85638427734375
189,40120.0,-204.7676239013672
190,41560.0,-51.2015266418457
191,42160.0,-15.508895874023438
192,43172.0,265.9386291503906
193,43424.0,-104.52599334716797
194,43508.0,154.317626953125
195,43776.0,-28.672197341918945
196,44076.0,7.2456512451171875
197,44552.0,-21.42359161376953
198,45312.0,-26.1962890625
199,45612.0,139.04541015625
200,45852.0,148.82919311523438
201,46496.0,-27.41748809814453
202,46644.0,-20.01789093017578
203,46880.0,120.05609130859375
204,47456.0,-41.50090408325195
205,47496.0,37.884979248046875
206,47756.0,36.95332336425781
207,48044.0,64.24905395507812
208,48752.0,-67.55494689941406
209,49312.0,20.231168746948242
210,49720.0,186.5579071044922
211,50812.0,169.11007690429688
212,51220.0,-85.03866577148438
213,51496.0,1.085311770439148
214,51744.0,-64.16962432861328
215,52536.0,-89.26995849609375
216,52688.0,-87.13169860839844
217,52844.0,-41.66226577758789
218,53572.0,3.0479354858398438
219,54724.0,97.08610534667969
220,55464.0,126.15343475341797
221,55744.0,93.86957550048828
222,55992.0,217.13047790527344
223,56180.0,-102.02297973632812
224,57428.0,120.9839859008789
225,57536.0,-184.10804748535156
226,57572.0,41.81363296508789
227,58216.0,114.24467468261719
228,58488.0,20.45519256591797
229,59252.0,-62.57484436035156
230,59804.0,158.8484649658203
231,60196.0,176.26071166992188
232,60232.0,-25.644012451171875
233,60704.0,23.55744171142578
234,61428.0,-16.43033218383789
235,61596.0,-82.31954956054688
236,62696.0,-27.459266662597656
237,63116.0,99.11913299560547
238,63564.0,149.93382263183594
239,63792.0,116.45245361328125
240,64436.0,211.3726806640625
241,64808.0,-87.61491394042969
242,64832.0,-12.419784545898438
243,65364.0,36.41108703613281
244,65796.0,16.69903564453125
245,66044.0,-162.4727325439453
246,66828.0,-141.000244140625
247,67116.0,-24.204763412475586
248,68204.0,77.12981414794922
249,68700.0,155.16795349121094
250,69164.0,116.56253814697266
251,69852.0,-43.755836486816406
252,69944.0,-58.787139892578125
253,70044.0,28.307353973388672
254,70316.0,103.58502197265625
255,70772.0,22.9710693359375
256,71868.0,205.8061981201172
257,71884.0,-164.8231658935547
258,71908.0,146.26805114746094
259,72732.0,-135.82928466796875
260,72964.0,16.16912841796875
261,73096.0,-50.580902099609375
262,73496.0,-79.15386962890625
263,73936.0,-34.0440673828125
264,74772.0,31.471799850463867
265,74972.0,-26.56256866455078
266,74976.0,131.1719970703125
267,76256.0,-68.41387176513672
268,76808.0,142.96849060058594
269,77488.0,24.246864318847656
270,77496.0,0.1289810836315155
271,78168.0,-161.54071044921875
272,78512.0,-20.574729919433594
273,78976.0,42.2828254699707
274,79272.0,-187.963134765625
275,79928.0,-18.687606811523438
276,79984.0,137.36720275878906
277,80256.0,47.39143371582031
278,80896.0,-0.26334381103515625
279,81972.0,117.30235290527344
280,82300.0,-125.4509506225586
281,82976.0,75.26465606689453
282,83076.0,1.0723190307617188
283,84112.0,143.41053771972656
284,84896.0,50.79386901855469
285,85352.0,-70.96626281738281
286,85624.0,15.941612243652344
287,85764.0,-162.77955627441406
288,86344.0,-1.6414108276367188
289,87076.0,68.26519012451172
