,reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/exp_name,config/seed,config/torch_deterministic,config/cuda,config/track,config/wandb_project_name,config/wandb_entity,config/capture_video,config/env_id,config/total_timesteps,config/num_envs,config/gamma,config/total_iterations,config/num_minibatches,config/update_epochs,config/update_epochs_policy,config/alpha,config/eta,config/policy_lr,config/q_lr,config/anneal_lr,config/layer_init,config/policy_activation,config/num_hidden_layers,config/hidden_size,config/actor_last_layer_std,config/q_activation,config/q_num_hidden_layers,config/q_hidden_size,config/q_last_layer_std,config/use_policy,config/q_optimizer,config/actor_optimizer,config/eps,config/average_critics,config/normalize_delta,config/use_kl_loss,config/q_histogram,config/target_network,config/gae_lambda,config/save_learning_curve,config/minibatch_size,config/num_iterations,config/num_steps,config/__trial_index__,logdir
0,10.829787254333496,1715000078,,True,20,f4d9308a,2024-05-06_14-54-38,15.459282875061035,348.46721172332764,87596,Nicolass-Air.technicolor.net,127.0.0.1,348.46721172332764,20,QREPS,0,True,True,False,CC,,False,CartPole-v1,100000,16,0.99,512,32,150,50,32,,0.001,0.0001,True,kaiming_normal,Tanh,2,128,0.01,Tanh,4,128,1.0,True,Adam,Adam,1e-08,True,False,True,False,True,0.95,False,0,0,0,0,f4d9308a
1,21.0,1714999783,,False,20,5104f9d2,2024-05-06_14-49-43,2.9239418506622314,51.547420501708984,87599,Nicolass-Air.technicolor.net,127.0.0.1,51.547420501708984,20,QREPS,0,True,True,False,CC,,False,CartPole-v1,100000,256,0.99,1024,16,25,50,4,,0.0001,0.001,False,orthogonal_gain,Tanh,2,128,0.01,Tanh,4,128,1.0,False,Adam,Adam,1e-08,False,True,False,False,False,0.95,False,0,0,0,0,5104f9d2
2,9.363636016845703,1714999871,,True,20,e60c7da6,2024-05-06_14-51-11,5.462656021118164,136.79761791229248,87602,Nicolass-Air.technicolor.net,127.0.0.1,136.79761791229248,20,QREPS,0,True,True,False,CC,,False,CartPole-v1,100000,128,0.99,1024,32,50,50,8,,0.00025,0.0001,False,xavier_normal,Tanh,2,128,0.01,Tanh,4,128,1.0,False,Adam,Adam,1e-08,False,True,True,False,True,0.95,False,0,0,0,0,e60c7da6
3,21.287233352661133,1714999837,,False,48,902e1891,2024-05-06_14-50-37,1.6978728771209717,99.4627525806427,87614,Nicolass-Air.technicolor.net,127.0.0.1,99.4627525806427,48,QREPS,0,True,True,False,CC,,False,CartPole-v1,100000,32,0.99,2048,4,25,50,64,,0.001,0.0003,True,sparse,Tanh,2,128,0.01,Tanh,4,128,1.0,True,Adam,Adam,1e-08,True,False,False,False,False,0.95,False,0,0,0,0,902e1891
4,9.405405044555664,1714999812,,False,97,8aed50b9,2024-05-06_14-50-12,0.6600189208984375,70.904531955719,87619,Nicolass-Air.technicolor.net,127.0.0.1,70.904531955719,97,QREPS,0,True,True,False,CC,,False,CartPole-v1,100000,64,0.99,1024,8,10,50,64,,0.0003,0.00025,False,orthogonal,Tanh,2,128,0.01,Tanh,4,128,1.0,False,Adam,Adam,1e-08,False,False,True,False,False,0.95,False,0,0,0,0,8aed50b9
5,84.60713958740234,1715000238,,False,48,39bcd5a3,2024-05-06_14-57-18,8.372443914413452,491.72656655311584,87637,Nicolass-Air.technicolor.net,127.0.0.1,491.72656655311584,48,QREPS,0,True,True,False,CC,,False,CartPole-v1,100000,64,0.99,2048,16,100,50,12,,3e-05,0.0003,True,kaiming_uniform,Tanh,2,128,0.01,Tanh,4,128,1.0,True,Adam,Adam,1e-08,True,True,False,False,True,0.95,False,0,0,0,0,39bcd5a3
6,22.0,1714999821,,True,20,233b5333,2024-05-06_14-50-21,4.124441862106323,71.24910259246826,87645,Nicolass-Air.technicolor.net,127.0.0.1,71.24910259246826,20,QREPS,0,True,True,False,CC,,False,CartPole-v1,100000,128,0.99,512,8,50,50,4,,0.00025,3e-05,True,xavier_uniform,Tanh,2,128,0.01,Tanh,4,128,1.0,True,Adam,Adam,1e-08,True,True,True,False,False,0.95,False,0,0,0,0,233b5333
7,20.44230842590332,1714999781,,False,2,ace1182f,2024-05-06_14-49-41,26.410518884658813,27.34189486503601,87652,Nicolass-Air.technicolor.net,127.0.0.1,27.34189486503601,2,QREPS,0,True,True,False,CC,,False,CartPole-v1,100000,32,0.99,1024,64,100,50,12,,0.001,0.001,False,default,Tanh,2,128,0.01,Tanh,4,128,1.0,False,Adam,Adam,1e-08,False,False,False,False,True,0.95,False,0,0,0,0,ace1182f
8,436.0,1715000744,,False,46,9be29838,2024-05-06_15-05-44,9.322189092636108,494.569216966629,88271,Nicolass-Air.technicolor.net,127.0.0.1,494.569216966629,46,QREPS,0,True,True,False,CC,,False,CartPole-v1,100000,32,0.99,1024,8,100,50,4,,0.003,0.00025,False,xavier_normal,Tanh,2,128,0.01,Tanh,4,128,1.0,True,Adam,Adam,1e-08,False,False,False,False,False,0.95,False,0,0,0,0,9be29838
9,16.007518768310547,1715000303,,True,20,489261f5,2024-05-06_14-58-23,2.960068941116333,52.32696771621704,88275,Nicolass-Air.technicolor.net,127.0.0.1,52.32696771621704,20,QREPS,0,True,True,False,CC,,False,CartPole-v1,100000,128,0.99,2048,64,10,50,32,,0.00025,0.0003,True,kaiming_normal,Tanh,2,128,0.01,Tanh,4,128,1.0,False,Adam,Adam,1e-08,True,True,True,False,True,0.95,False,0,0,0,0,489261f5
